nodesPerPartition bytesPerNode cliquesPerPartition
287 7 55
26 0 1
18 0 1
955 9 71
609 4 32
3 0 1
46 1 5
804 9 65
6 0 1
190 13 98
44 1 2
69 0 1
3 0 1
112 1 6
420 15 119
72 1 5
121 5 38
189 4 30
89 3 18
18 1 2
202 21 168
9 0 1
129 1 7
89 1 2
25 1 7
76 1 2
142 2 12
20 1 3
12 0 1
4 0 1
17 1 2
6 0 1
9 0 1
356 8 61
305 3 18
234 9 71
55 3 17
773 4 27
178 2 9
29 0 1
60 1 2
44 1 2
46 0 1
89 2 15
37 1 4
59 2 12
21 0 1
100 1 8
109 1 3
498 7 52
12 1 2
538 9 65
7 1 2
1189 8 62
4 0 1
250 1 6
9 0 1
19 1 3
72 2 14
721 5 35
67 1 4
474 10 76
133 1 6
461 4 31
452 8 64
954 7 54
11 1 2
185 1 3
3 0 1
306 2 16
209 2 15
436 7 49
14 1 3
431 8 59
24 1 7
31 1 3
92 2 14
494 5 40
11 1 3
69 1 7
77 2 10
10 1 2
14 0 1
148 3 17
51 0 1
184 1 7
328 10 76
120 2 10
35 1 6
419 3 21
5 1 2
23 1 2
29 0 1
141 2 9
18 0 1
112 1 8
20 1 2
297 4 32
221 1 5
518 3 19
161 8 63
589 5 33
56 1 4
28 1 2
10 1 2
136 1 7
13 0 1
97 1 4
4 0 1
143 2 9
80 1 3
153 3 22
114 1 8
136 0 1
82 1 4
62 1 3
94 0 1
96 1 3
5 1 2
101 1 5
32 1 2
33 1 2
34 1 2
116 1 2
44 1 3
102 2 12
63 0 1
42 0 1
40 1 2
29 1 5
206 4 29
1084 2 12
692 3 17
17 0 1
17 0 1
310 5 33
15 0 1
214 4 25
3 0 1
383 2 16
14 0 1
256 1 7
545 4 25
537 4 30
578 7 51
12 0 1
291 5 36
104 2 9
120 1 4
1101 2 14
29 1 2
171 1 6
244 3 24
385 5 34
282 2 11
75 1 3
68 1 2
6 0 1
51 1 6
377 4 25
49 1 3
21 1 3
237 2 13
126 4 29
475 2 10
11 0 1
49 1 2
36 1 3
53 1 2
187 2 15
16 0 1
244 4 25
1013 4 32
36 0 1
23 0 1
154 1 5
4 0 1
46 1 2
7 0 1
147 2 13
12 0 1
5 1 2
253 4 29
35 2 10
36 1 8
881 3 17
14 1 2
601 2 15
16 0 1
5 0 1
222 2 10
82 1 7
24 1 3
203 1 8
395 5 34
45 1 5
258 1 8
224 5 36
106 1 7
296 3 18
58 1 4
49 1 2
6 0 1
5 0 1
28 0 1
4 0 1
72 1 2
18 0 1
84 1 5
117 1 6
140 1 3
78 1 5
239 1 7
22 0 1
97 1 3
6 0 1
856 6 48
222 4 25
2 0 1
18 1 2
74 1 7
95 1 5
58 1 2
5 0 1
93 1 3
30 0 1
40 1 3
5 0 1
197 3 24
232 2 14
213 2 11
19 1 2
241 2 9
28 1 4
20 0 1
139 3 18
8 0 1
151 1 5
71 1 4
574 7 55
43 1 4
25 0 1
67 1 5
126 1 6
235 10 78
450 5 39
843 4 28
80 1 5
70 1 4
31 0 1
599 3 24
453 12 91
21 0 1
9 0 1
53 2 11
17 0 1
2 0 1
8 0 1
42 1 2
83 1 5
471 1 8
15 1 4
32 1 2
12 0 1
11 0 1
241 2 10
6 0 1
6 1 3
24 1 3
25 0 1
8 0 1
648 3 21
428 8 63
175 3 21
517 2 11
69 1 4
118 1 6
132 1 3
27 1 2
71 1 2
74 1 5
69 2 9
3 0 1
22 1 4
3 0 1
49 1 2
101 0 1
473 3 24
162 1 7
17 1 2
49 0 1
168 1 5
50 1 2
180 3 17
187 1 3
34 1 3
121 1 4
75 1 4
146 2 14
61 1 2
18 0 1
17 0 1
25 0 1
59 1 2
163 3 22
48 1 2
198 5 36
37 1 2
22 0 1
17 0 1
21 1 3
16 0 1
30 1 2
52 1 4
31 1 2
35 1 2
114 1 5
49 1 7
121 2 12
41 1 2
4 0 1
598 3 23
57 1 2
67 1 3
43 1 2
144 2 16
425 2 14
300 2 10
82 1 4
34 1 2
69 1 3
7 0 1
216 3 18
38 1 3
36 1 4
101 1 5
65 1 2
15 1 2
5 0 1
59 1 7
209 2 9
4 0 1
486 2 15
40 1 2
18 0 1
181 1 7
206 6 45
128 1 7
2 0 1
234 1 8
137 1 3
669 3 20
48 0 1
549 3 21
17 0 1
740 2 15
661 6 45
18 0 1
102 2 13
15 0 1
62 1 4
29 1 2
88 1 7
256 2 11
29 0 1
59 0 1
106 1 7
308 2 14
36 0 1
50 0 1
169 1 3
397 3 24
711 3 17
125 3 24
6 0 1
29 1 3
237 2 16
60 1 3
9 0 1
12 0 1
21 1 3
25 0 1
47 1 2
25 1 2
15 0 1
74 0 1
17 0 1
209 3 21
152 2 9
16 0 1
82 1 2
306 1 8
44 0 1
43 0 1
45 1 5
78 1 3
11 1 2
48 1 4
314 3 22
22 1 4
58 1 6
6 0 1
63 1 3
78 1 5
239 1 4
261 1 6
62 0 1
156 4 25
124 1 6
17 1 2
4 0 1
4 0 1
5 0 1
5 0 1
57 0 1
161 2 11
5 0 1
144 0 1
22 0 1
53 1 4
248 5 36
5 0 1
181 5 37
7 0 1
45 1 5
301 1 8
6 0 1
73 2 14
237 2 14
52 1 2
10 0 1
51 1 7
43 2 9
196 1 7
84 1 6
325 2 13
26 1 5
307 2 9
28 0 1
12 0 1
53 2 11
122 2 11
4 0 1
350 6 48
39 1 3
49 0 1
11 0 1
303 2 12
46 1 2
30 0 1
11 0 1
30 1 3
24 0 1
68 1 4
254 3 22
260 2 13
29 1 3
421 4 27
6 0 1
10 0 1
97 1 4
339 4 28
11 0 1
78 1 8
8 0 1
8 0 1
14 1 2
46 0 1
4 1 2
57 1 3
2 0 1
196 4 25
2 0 1
11 1 6
9 1 3
19 0 1
34 1 6
41 1 2
6 0 1
76 2 10
48 1 5
12 1 3
6 0 1
133 1 8
16 1 2
58 1 2
7 0 1
41 1 2
5 0 1
286 3 22
24 1 2
4 0 1
140 1 6
130 1 7
24 0 1
144 2 9
84 1 6
109 1 8
112 2 15
31 1 3
24 1 3
304 3 17
117 1 3
303 2 14
24 1 4
57 0 1
8 1 2
463 5 39
38 1 2
22 1 4
9 0 1
20 0 1
25 1 4
46 1 4
31 0 1
18 0 1
