nodesPerPartition bytesPerNode cliquesPerPartition
202 21 168
82 2 14
408 17 129
65 2 13
62 3 23
100 1 8
369 9 72
11 1 2
208 5 34
190 13 98
99 3 23
496 13 97
29 0 1
453 12 91
261 3 23
5 1 2
61 1 8
120 2 10
206 6 45
104 3 23
69 1 7
235 10 78
18 1 2
14 1 2
328 10 76
417 6 43
9 0 1
53 2 11
12 0 1
13 1 3
13 0 1
955 9 71
609 4 32
148 3 17
253 4 29
191 9 67
1007 9 65
538 9 65
804 9 65
225 9 65
4 0 1
107 4 27
36 1 8
37 1 4
428 8 63
1189 8 62
297 4 32
96 1 3
356 8 61
222 4 25
144 3 24
198 4 25
91 2 11
21 0 1
431 8 59
689 8 59
661 6 45
76 1 6
22 1 4
71 1 4
4 0 1
14 1 3
788 7 56
15 1 2
73 2 14
612 6 45
374 6 45
287 7 55
218 4 25
7 1 2
11 1 2
351 4 32
30 1 7
35 1 6
174 3 18
83 1 4
33 2 10
236 3 19
29 0 1
5 0 1
18 0 1
26 0 1
214 4 25
76 2 10
31 2 9
17 1 2
42 2 9
181 7 52
12 0 1
76 1 8
392 6 41
461 5 33
305 3 18
46 1 5
151 3 18
47 1 3
83 7 51
35 3 21
26 1 4
14 0 1
3 0 1
25 1 2
436 7 49
350 6 48
287 4 30
196 3 20
856 6 48
171 3 19
203 2 14
83 2 10
42 0 1
221 3 20
292 5 40
92 2 14
156 4 25
15 0 1
18 0 1
45 1 3
175 2 14
77 2 10
112 1 6
66 1 8
12 0 1
112 2 15
61 1 6
6 0 1
19 1 3
146 2 14
72 1 7
12 1 3
37 1 6
25 0 1
102 2 12
315 6 41
35 1 6
270 4 32
332 2 13
53 1 6
18 1 3
62 2 10
132 6 41
63 1 3
138 4 25
140 2 10
114 1 8
73 1 5
255 3 21
147 3 17
176 1 6
101 1 5
369 5 39
184 5 38
150 2 12
44 1 2
11 1 2
61 2 12
52 1 8
507 4 32
232 5 37
656 4 26
257 5 38
60 2 14
3 0 1
293 5 36
25 1 2
101 5 38
69 0 1
25 1 3
42 1 2
6 0 1
698 5 34
221 1 5
424 4 27
55 1 7
45 1 6
887 5 37
249 4 26
240 5 37
34 1 3
181 5 37
248 5 36
62 1 3
17 1 2
39 1 5
16 0 1
9 0 1
306 1 8
17 0 1
66 1 7
6 0 1
194 3 21
170 4 25
41 1 2
56 1 7
52 5 35
24 1 3
72 1 4
26 1 3
2 0 1
159 5 35
189 2 16
377 4 25
51 1 3
245 2 15
49 1 6
218 5 34
44 1 3
183 3 21
3 0 1
113 1 7
139 5 34
9 0 1
91 2 9
23 1 2
19 1 2
32 5 34
519 3 19
232 2 11
848 4 27
228 2 15
589 5 33
34 1 5
12 1 5
48 2 9
52 1 5
13 1 2
132 2 16
72 1 5
310 5 33
48 1 6
24 1 3
427 1 6
53 1 4
49 1 4
29 1 4
8 1 2
27 2 10
164 4 32
6 0 1
198 3 17
446 4 32
81 3 24
881 3 17
40 1 3
11 1 2
72 1 7
61 1 6
223 2 12
147 2 11
103 1 8
39 1 7
89 1 2
76 1 2
47 2 10
33 2 12
24 1 5
318 4 31
336 4 31
229 1 8
16 0 1
29 1 2
5 0 1
17 1 2
631 2 16
171 1 6
103 2 12
32 1 3
106 1 7
461 4 31
162 1 7
47 1 3
42 1 2
216 3 18
70 1 4
24 2 9
55 1 2
46 1 4
305 4 31
8 1 3
11 1 2
16 1 2
228 3 19
107 1 5
118 3 24
70 1 7
6 0 1
69 1 5
11 0 1
32 0 1
312 1 8
119 1 5
123 3 17
245 1 5
133 1 8
215 4 30
24 1 7
114 2 13
25 0 1
37 1 3
155 4 30
73 1 2
106 3 19
133 4 30
77 4 30
10 0 1
439 3 24
100 2 12
878 4 27
34 1 2
199 2 16
90 2 10
242 2 11
73 2 12
10 1 2
21 1 2
59 1 7
178 2 9
36 1 5
286 3 17
45 1 4
170 1 8
2 0 1
103 4 29
51 0 1
127 2 13
16 0 1
41 2 9
227 4 27
64 1 3
127 3 19
206 4 29
126 1 8
24 0 1
107 2 13
57 3 24
436 4 28
89 1 5
33 1 2
482 3 23
104 1 6
38 1 3
49 1 5
18 1 2
14 1 2
116 4 27
138 1 8
298 2 10
85 1 8
49 2 10
87 2 10
67 1 2
29 0 1
64 1 6
3 0 1
59 1 3
176 4 28
