nodesPerPartition bytesPerNode cliquesPerPartition
845 0 1
727 0 1
573 0 1
534 0 1
506 0 1
144 0 1
114 0 1
465 0 1
163 0 1
43 0 1
41 0 1
158 0 1
37 0 1
29 0 1
24 0 1
139 0 1
11 0 1
5 0 1
6 0 1
2 0 1
414 0 1
99 0 1
409 0 1
90 0 1
80 0 1
78 0 1
78 0 1
67 0 1
394 0 1
62 0 1
54 0 1
53 0 1
388 0 1
44 0 1
43 0 1
43 0 1
44 0 1
40 0 1
39 0 1
39 0 1
38 0 1
37 0 1
37 0 1
38 0 1
34 0 1
33 0 1
380 0 1
31 0 1
30 0 1
28 0 1
376 0 1
24 0 1
21 0 1
22 0 1
22 0 1
22 0 1
20 0 1
19 0 1
18 0 1
17 0 1
15 0 1
15 0 1
14 0 1
14 0 1
14 0 1
370 0 1
10 0 1
9 0 1
10 0 1
9 0 1
10 0 1
10 0 1
9 0 1
10 0 1
10 0 1
8 0 1
7 0 1
7 0 1
8 0 1
8 0 1
7 0 1
8 0 1
8 0 1
7 0 1
8 0 1
7 0 1
7 0 1
5 0 1
5 0 1
6 0 1
5 0 1
6 0 1
5 0 1
5 0 1
5 0 1
6 0 1
6 0 1
5 0 1
5 0 1
5 0 1
5 0 1
5 0 1
6 0 1
5 0 1
6 0 1
6 0 1
6 0 1
5 0 1
5 0 1
5 0 1
6 0 1
4 0 1
3 0 1
3 0 1
4 0 1
3 0 1
3 0 1
4 0 1
4 0 1
4 0 1
4 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
4 0 1
4 0 1
3 0 1
3 0 1
3 0 1
4 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
4 0 1
4 0 1
3 0 1
3 0 1
3 0 1
4 0 1
4 0 1
4 0 1
3 0 1
3 0 1
4 0 1
3 0 1
3 0 1
4 0 1
4 0 1
3 0 1
3 0 1
3 0 1
3 0 1
3 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
357 0 1
355 0 1
353 0 1
350 0 1
349 0 1
111 0 1
172 0 1
167 0 1
336 0 1
87 0 1
329 0 1
328 0 1
95 1 2
113 1 2
322 0 1
100 0 1
95 0 1
120 0 1
311 0 1
43 0 1
4 0 1
308 0 1
304 0 1
303 0 1
55 1 2
30 0 1
26 0 1
298 0 1
33 1 2
67 0 1
153 1 2
18 1 2
12 0 1
12 0 1
11 0 1
79 0 1
155 1 3
247 1 2
