nodesPerPartition bytesPerNode cliquesPerPartition
3300 114 907
735 47 373
807 32 250
343 12 92
219 4 28
1203 22 170
189 7 50
161 4 30
690 13 98
26 0 1
33 1 5
35 1 2
78 2 11
49 1 4
20 1 3
35 1 4
27 0 1
78 1 4
448 14 109
36 0 1
126 1 8
238 3 17
43 1 5
191 9 72
401 33 257
118 4 31
400 17 129
111 2 15
170 4 32
30 1 2
218 13 102
92 2 9
33 1 7
38 1 2
32 0 1
181 4 30
130 4 26
48 1 7
63 1 3
146 19 152
79 3 17
52 2 9
46 1 5
57 2 9
7 1 2
28 0 1
930 11 87
61 2 15
290 7 54
232 2 13
331 22 172
4 0 1
193 3 21
510 12 95
18 1 3
270 8 58
61 1 8
134 6 43
258 3 21
4 0 1
12 0 1
568 20 159
114 1 7
32 1 6
5 0 1
182 15 115
100 1 3
757 14 105
44 1 2
35 1 8
33 1 2
305 10 74
19 1 4
162 3 20
156 4 29
65 1 4
646 15 120
534 11 84
92 2 12
38 1 3
98 1 2
518 9 65
271 7 49
1684 19 147
766 15 116
24 1 5
225 1 2
16 0 1
34 1 5
6 0 1
8 0 1
235 4 26
154 8 58
216 2 9
19 0 1
304 15 119
595 8 61
690 6 42
299 10 77
9 1 2
9 0 1
33 1 4
5 0 1
170 1 7
1126 10 79
7 0 1
6 0 1
249 2 10
666 10 76
94 4 28
471 4 27
44 2 9
522 13 101
160 2 16
37 1 8
21 0 1
79 2 11
282 1 2
10 1 2
336 7 49
11 0 1
720 8 63
142 2 9
150 4 25
141 2 12
12 0 1
37 1 4
66 2 10
70 2 12
66 2 13
270 5 39
39 1 3
24 0 1
156 0 1
218 4 31
8 0 1
166 4 30
31 1 5
63 1 5
206 2 10
404 13 104
57 1 4
31 1 6
21 1 2
107 2 14
51 1 6
14 0 1
144 2 11
103 2 16
55 4 26
6 0 1
82 3 21
394 9 66
7 0 1
74 1 7
380 7 53
13 1 3
1136 20 159
36 1 7
76 2 11
13 0 1
566 12 92
374 7 53
1042 12 94
68 1 3
11 1 2
41 1 8
23 1 5
153 3 24
26 1 5
10 0 1
221 11 86
22 1 2
525 4 28
280 5 34
29 1 7
128 3 21
80 1 8
76 1 6
111 2 12
10 1 2
268 4 28
6 0 1
189 5 36
31 1 5
86 2 15
65 1 8
148 1 7
102 2 13
154 8 62
61 1 5
4 0 1
13 1 4
76 2 13
82 2 9
43 1 8
11 1 2
76 2 10
132 3 21
10 0 1
3 0 1
216 5 33
31 1 2
131 1 2
10 1 2
207 3 18
397 3 20
278 8 64
147 3 17
28 1 3
115 3 22
45 1 5
67 1 5
129 2 13
113 2 12
20 0 1
98 1 3
26 0 1
15 1 3
21 1 3
23 1 2
483 11 87
27 1 3
259 6 41
176 5 34
6 0 1
65 2 10
53 1 3
91 2 12
99 2 11
43 1 7
369 6 46
169 2 10
37 1 7
14 1 2
160 3 19
56 2 12
23 1 2
79 2 13
94 3 19
141 1 8
52 2 9
702 9 66
80 2 9
322 9 69
376 4 28
67 1 2
50 1 6
102 4 27
811 2 16
168 4 25
13 0 1
8 0 1
303 10 77
71 2 10
141 1 3
366 4 30
145 2 16
139 9 70
29 1 2
