nodesPerPartition bytesPerNode cliquesPerPartition
3300 114 907
448 14 109
1688 54 429
815 18 141
665 32 252
334 9 72
365 15 115
236 6 45
181 2 14
506 32 253
211 12 94
265 11 81
222 14 105
930 11 87
228 10 73
307 10 77
17 1 3
90 2 16
150 3 23
54 1 8
31 0 1
26 0 1
182 15 115
75 2 15
757 14 105
51 1 7
211 4 29
33 1 5
165 3 24
35 1 2
124 1 7
49 1 4
73 2 9
18 1 3
331 22 172
20 1 3
1136 20 159
568 20 159
18 1 2
659 14 112
270 8 58
146 19 152
1684 19 147
143 2 16
534 11 84
79 2 11
134 6 43
258 3 21
259 4 28
32 0 1
9 0 1
57 2 9
218 4 25
648 6 42
49 1 3
452 8 61
237 2 16
27 0 1
517 4 26
78 1 4
188 5 33
158 3 19
36 0 1
162 3 20
192 8 60
86 1 7
402 3 21
29 1 3
154 8 58
646 15 120
43 1 5
8 0 1
766 15 116
88 3 18
40 1 4
103 1 5
451 14 111
982 10 73
28 1 3
470 14 108
19 1 4
103 2 16
72 2 15
32 1 6
286 13 99
35 1 8
350 12 95
404 13 104
549 13 104
44 1 2
347 7 55
74 1 7
210 6 45
522 13 101
43 1 8
144 3 24
41 1 8
315 5 38
268 9 65
232 4 32
1042 12 94
156 4 29
319 6 44
384 8 61
702 9 66
720 8 63
181 5 37
590 10 79
126 4 27
483 11 87
623 11 87
107 2 14
57 1 5
221 11 86
3 0 1
322 10 76
24 1 5
79 2 11
78 2 14
233 8 60
215 4 30
76 1 6
57 1 4
369 6 46
19 0 1
34 1 5
189 6 45
6 0 1
4 0 1
16 1 3
61 1 5
299 7 52
182 5 36
8 0 1
167 3 20
33 1 7
276 6 44
23 0 1
980 10 76
22 1 3
88 1 7
65 1 4
330 5 38
61 1 8
298 10 78
8 1 2
192 4 31
52 2 9
12 0 1
16 0 1
363 2 15
113 2 16
666 10 76
620 10 76
237 2 13
10 1 2
8 1 2
9 0 1
80 2 9
367 4 26
544 8 64
12 1 2
176 2 13
146 1 6
21 1 3
21 1 6
19 1 2
172 4 32
10 0 1
144 2 11
230 2 12
160 3 19
151 3 20
203 3 17
55 4 26
684 5 40
633 6 42
254 5 40
57 1 6
239 5 35
362 5 34
44 1 3
394 7 56
38 1 2
103 4 27
10 1 2
128 3 23
36 1 6
59 2 12
20 1 5
297 6 44
136 6 46
24 0 1
11 1 2
4 0 1
30 1 4
110 2 11
11 1 2
228 3 18
97 3 19
66 2 13
139 9 70
211 4 26
26 1 2
58 2 11
19 1 3
322 9 69
101 2 9
189 2 13
102 2 15
180 4 29
120 1 8
15 1 2
12 0 1
718 2 15
94 4 28
83 2 13
170 4 31
82 2 10
53 2 10
5 0 1
160 9 67
82 3 21
46 1 5
253 7 49
21 1 3
196 4 29
12 0 1
366 4 30
29 1 4
235 5 39
30 1 6
25 1 3
27 1 7
518 9 65
200 4 25
353 8 60
94 3 19
147 3 20
76 2 10
62 1 7
127 2 11
279 7 52
67 1 5
32 1 2
25 0 1
31 1 2
7 1 2
339 7 54
13 1 4
181 3 21
76 2 11
13 0 1
80 2 11
50 1 6
26 1 5
182 5 35
36 1 5
105 3 22
24 1 6
69 2 10
137 4 25
86 3 17
53 1 7
85 1 3
294 7 52
356 8 59
47 1 7
24 1 2
368 3 21
434 6 42
51 1 6
33 1 2
33 1 4
23 1 5
87 2 16
27 1 3
336 8 58
14 1 2
14 1 2
118 3 18
206 2 10
110 2 15
182 3 17
119 4 25
90 1 5
51 1 4
5 0 1
159 4 31
22 1 4
127 2 11
521 7 52
27 1 6
314 2 16
96 1 6
3 0 1
142 6 42
127 3 20
263 7 55
323 7 55
107 1 6
324 4 31
184 4 28
381 6 48
87 1 4
8 0 1
112 2 9
106 3 23
198 3 21
58 1 6
26 1 2
141 3 20
28 1 2
43 1 5
263 2 10
43 1 2
15 1 4
288 3 23
63 2 9
206 1 7
128 2 16
98 1 2
58 2 9
18 1 2
80 2 9
95 1 8
11 1 2
10 1 2
353 6 48
102 1 8
36 1 4
267 2 13
218 2 13
228 4 31
350 7 53
37 1 8
246 4 26
59 2 9
35 1 4
63 1 6
237 5 36
109 2 11
5 0 1
123 3 19
148 6 41
59 1 6
29 1 7
8 0 1
29 1 2
81 1 6
141 3 17
262 7 52
42 0 1
32 1 8
9 0 1
95 2 12
135 1 7
187 4 27
6 0 1
160 2 16
60 1 8
38 2 13
83 2 10
94 1 5
17 1 3
289 3 18
102 3 23
39 2 10
35 1 4
149 3 18
35 0 1
4 0 1
199 5 33
7 1 2
99 1 7
66 2 10
