nodesPerPartition bytesPerNode cliquesPerPartition
337 0 1
332 0 1
327 0 1
306 0 1
304 0 1
300 0 1
292 0 1
283 0 1
281 0 1
276 0 1
260 0 1
246 0 1
215 0 1
236 0 1
235 0 1
235 0 1
232 0 1
232 0 1
232 0 1
231 0 1
177 0 1
224 0 1
224 0 1
223 0 1
221 1 6
221 0 1
220 0 1
218 0 1
218 0 1
179 0 1
130 0 1
216 0 1
214 0 1
213 0 1
213 0 1
211 0 1
130 0 1
210 0 1
137 0 1
207 0 1
207 0 1
207 0 1
206 0 1
206 0 1
205 0 1
73 0 1
205 0 1
203 0 1
26 0 1
24 0 1
200 0 1
200 0 1
2 0 1
2 0 1
10 0 1
197 0 1
197 0 1
197 0 1
57 0 1
197 0 1
192 0 1
187 0 1
195 0 1
195 0 1
107 0 1
194 0 1
194 0 1
194 0 1
193 0 1
193 0 1
192 0 1
189 0 1
189 0 1
188 0 1
156 0 1
47 0 1
186 0 1
184 0 1
184 0 1
183 0 1
183 0 1
10 0 1
183 0 1
183 0 1
183 0 1
183 0 1
32 0 1
181 0 1
22 1 2
25 0 1
15 1 2
180 0 1
180 0 1
179 0 1
14 1 2
10 1 2
179 0 1
53 0 1
142 0 1
52 0 1
22 0 1
22 0 1
173 0 1
26 0 1
15 0 1
135 1 2
14 0 1
13 0 1
44 0 1
131 1 3
11 0 1
20 0 1
42 0 1
173 0 1
18 0 1
172 0 1
172 0 1
172 0 1
172 0 1
146 0 1
15 0 1
38 0 1
10 0 1
5 0 1
67 0 1
171 0 1
171 0 1
13 0 1
13 0 1
170 0 1
45 1 3
11 0 1
12 0 1
7 0 1
33 0 1
168 0 1
9 0 1
9 0 1
9 0 1
5 0 1
144 0 1
167 0 1
8 0 1
8 0 1
8 0 1
167 0 1
3 0 1
3 0 1
2 0 1
167 0 1
167 0 1
126 0 1
5 0 1
6 0 1
6 0 1
5 0 1
49 0 1
166 0 1
3 0 1
3 0 1
4 0 1
3 0 1
3 0 1
4 0 1
165 0 1
165 0 1
110 0 1
165 0 1
2 0 1
2 0 1
23 0 1
23 0 1
23 0 1
163 0 1
120 0 1
163 0 1
162 0 1
162 0 1
161 0 1
151 1 4
161 0 1
161 0 1
20 0 1
45 0 1
160 0 1
108 0 1
159 0 1
27 0 1
14 0 1
36 0 1
159 0 1
159 0 1
159 0 1
158 0 1
33 0 1
158 0 1
158 0 1
158 0 1
8 0 1
157 0 1
76 0 1
9 0 1
29 0 1
80 0 1
12 0 1
53 0 1
156 0 1
156 0 1
18 0 1
11 0 1
11 0 1
10 0 1
10 0 1
4 0 1
101 0 1
4 0 1
9 0 1
8 0 1
43 0 1
32 1 3
14 0 1
2 0 1
153 0 1
6 0 1
7 0 1
6 0 1
6 0 1
7 0 1
153 0 1
153 0 1
69 0 1
152 0 1
152 0 1
5 0 1
29 0 1
152 0 1
105 0 1
5 0 1
69 1 2
19 0 1
151 0 1
2 0 1
147 1 2
151 0 1
150 0 1
150 0 1
19 0 1
18 0 1
150 0 1
17 0 1
150 0 1
150 0 1
150 0 1
149 0 1
16 0 1
16 0 1
22 0 1
149 0 1
149 0 1
148 0 1
13 0 1
36 0 1
21 0 1
21 0 1
148 0 1
148 0 1
87 0 1
147 0 1
144 1 2
2 0 1
2 0 1
2 0 1
147 0 1
106 0 1
19 0 1
13 1 2
100 1 2
81 1 2
88 1 2
105 1 2
146 0 1
16 0 1
146 0 1
59 0 1
7 0 1
81 0 1
145 0 1
108 0 1
144 0 1
15 0 1
144 0 1
142 1 2
144 0 1
13 0 1
71 0 1
42 0 1
144 0 1
144 0 1
144 0 1
8 0 1
5 0 1
143 0 1
162 1 4
27 0 1
27 0 1
10 0 1
143 0 1
136 0 1
40 0 1
143 0 1
35 0 1
142 0 1
142 0 1
64 0 1
24 0 1
9 0 1
142 0 1
142 0 1
33 0 1
141 0 1
77 0 1
141 0 1
141 0 1
15 0 1
6 0 1
141 0 1
141 0 1
141 0 1
98 0 1
123 0 1
48 0 1
83 0 1
140 0 1
56 0 1
11 0 1
87 0 1
140 0 1
4 0 1
4 0 1
140 0 1
140 0 1
140 0 1
139 0 1
82 1 5
139 0 1
64 1 2
47 0 1
2 0 1
2 0 1
139 0 1
59 0 1
53 0 1
138 0 1
56 0 1
6 0 1
16 0 1
30 0 1
42 0 1
138 0 1
137 0 1
19 0 1
137 0 1
77 0 1
90 0 1
92 0 1
137 0 1
144 1 2
74 0 1
97 0 1
29 0 1
137 0 1
16 0 1
75 0 1
132 0 1
13 0 1
66 0 1
48 0 1
136 0 1
15 0 1
14 0 1
14 0 1
13 0 1
36 0 1
39 0 1
71 1 2
135 0 1
91 0 1
135 0 1
135 0 1
135 0 1
135 0 1
135 0 1
12 0 1
85 0 1
108 0 1
134 0 1
11 1 3
11 0 1
8 0 1
11 0 1
134 0 1
134 0 1
134 0 1
134 0 1
134 0 1
72 0 1
8 0 1
8 0 1
7 0 1
8 0 1
7 0 1
55 0 1
55 0 1
38 0 1
81 0 1
34 0 1
133 0 1
91 1 2
89 0 1
6 0 1
32 0 1
133 0 1
44 0 1
133 0 1
4 0 1
6 0 1
5 0 1
4 0 1
32 0 1
72 0 1
48 1 2
40 0 1
78 1 2
2 0 1
50 0 1
132 0 1
5 0 1
132 0 1
91 0 1
132 0 1
30 0 1
2 0 1
21 1 2
10 0 1
85 0 1
131 0 1
2 0 1
3 0 1
62 0 1
55 0 1
26 0 1
69 0 1
119 0 1
121 0 1
54 0 1
82 0 1
119 1 2
38 1 2
130 0 1
29 0 1
74 0 1
55 0 1
73 1 2
130 0 1
15 0 1
130 0 1
130 0 1
130 0 1
130 0 1
127 1 4
25 0 1
130 0 1
129 0 1
91 0 1
155 1 2
129 0 1
108 0 1
78 0 1
38 0 1
11 0 1
129 0 1
51 0 1
82 0 1
129 0 1
129 0 1
129 0 1
43 0 1
23 0 1
119 0 1
129 0 1
129 0 1
45 0 1
45 0 1
21 0 1
31 0 1
128 0 1
128 0 1
52 0 1
128 0 1
34 0 1
79 0 1
128 0 1
128 0 1
10 0 1
128 0 1
128 0 1
117 0 1
22 0 1
19 0 1
19 0 1
28 0 1
25 0 1
8 0 1
105 1 2
101 0 1
62 1 2
127 0 1
90 1 2
97 1 2
127 0 1
54 0 1
44 0 1
127 0 1
127 0 1
105 0 1
127 0 1
127 0 1
127 0 1
35 0 1
17 0 1
126 0 1
34 0 1
126 0 1
113 0 1
66 0 1
58 0 1
32 0 1
126 0 1
126 0 1
76 0 1
6 0 1
6 0 1
6 0 1
18 0 1
126 0 1
126 0 1
112 0 1
