nodesPerPartition bytesPerNode cliquesPerPartition
235 21 164
54 3 18
188 7 49
226 44 350
149 26 204
160 30 235
53 3 18
71 2 9
102 16 123
90 13 102
105 12 95
76 9 67
52 5 34
93 12 95
179 6 43
50 5 35
32 2 10
143 12 94
134 19 149
57 4 26
26 2 9
12 1 4
79 7 55
111 6 47
30 1 5
16 1 2
10 1 2
10 1 4
5 0 1
21 1 7
7 0 1
4 1 2
12 1 3
27 2 16
115 15 119
7 0 1
36 4 32
84 12 90
42 1 4
74 7 49
2 0 1
10 1 4
136 11 82
75 3 23
72 3 19
126 11 86
141 8 57
14 1 8
102 7 54
8 0 1
31 1 8
65 6 45
95 15 115
83 9 69
11 1 5
3 0 1
108 8 61
27 1 2
70 13 101
41 3 17
76 5 39
67 10 80
94 7 51
31 3 19
28 2 9
124 12 92
149 14 111
65 6 43
124 15 113
111 11 85
87 8 60
8 0 1
56 3 17
4 0 1
23 2 12
4 0 1
34 3 22
52 4 31
31 2 14
52 4 32
12 1 2
141 14 110
170 11 81
3 0 1
41 4 28
55 3 17
75 6 43
127 4 30
81 5 39
35 5 33
7 1 2
56 4 30
7 0 1
3 0 1
119 12 95
130 11 85
34 2 16
64 5 40
133 13 98
31 1 5
56 5 35
58 6 48
104 9 69
11 1 5
104 13 103
88 11 81
68 7 51
97 12 90
71 10 76
76 11 81
4 0 1
86 9 70
79 9 67
67 5 39
33 1 6
79 10 76
8 0 1
74 7 51
151 16 122
151 9 68
7 1 2
38 1 6
153 12 90
30 1 3
54 3 21
44 4 25
21 1 5
16 1 3
110 11 81
68 7 56
150 10 78
147 12 90
19 1 6
133 14 112
74 7 54
65 2 16
62 5 40
5 0 1
100 9 72
35 2 15
136 10 75
51 6 42
82 2 15
98 8 61
160 8 64
131 12 93
96 8 64
78 9 70
56 5 38
59 7 51
141 10 74
152 11 87
18 2 11
49 3 24
8 0 1
46 5 38
40 2 15
6 0 1
88 7 53
126 9 71
15 1 5
105 7 52
22 2 11
75 7 56
48 6 42
14 1 3
3 0 1
107 6 44
99 9 68
73 9 68
24 1 7
42 1 7
120 7 53
116 10 73
67 5 35
41 3 18
107 10 75
115 5 38
92 7 55
102 8 58
36 3 19
2 0 1
86 5 39
124 11 87
43 4 27
88 5 37
49 3 20
25 2 12
6 0 1
71 7 53
89 9 66
142 9 68
131 7 52
49 4 30
92 6 47
92 7 49
12 1 3
57 6 44
8 1 2
4 0 1
85 5 40
25 2 13
85 8 64
8 1 2
36 4 26
4 1 2
139 9 67
4 0 1
88 8 63
22 1 8
117 7 52
97 7 54
32 3 23
63 4 29
75 8 59
47 4 27
30 2 9
34 4 27
59 5 39
48 7 53
111 9 72
51 4 28
87 4 31
57 6 48
13 1 2
90 7 50
11 1 2
92 8 57
75 5 39
73 4 27
109 7 52
46 3 24
109 8 64
92 8 60
32 3 20
107 9 71
14 2 9
49 4 30
111 8 59
116 8 64
94 7 52
26 2 12
87 6 48
35 3 20
58 3 23
62 5 35
28 2 14
20 2 12
12 0 1
57 6 48
35 3 20
78 6 41
5 0 1
40 2 16
92 8 59
74 4 29
95 8 64
59 6 45
152 9 65
32 3 19
47 4 25
65 6 41
25 2 11
7 1 3
96 7 52
49 2 16
71 9 66
68 6 46
9 0 1
2 0 1
45 4 28
123 10 77
47 5 38
53 2 13
105 6 41
109 5 36
41 4 29
17 1 2
94 6 43
28 3 19
45 4 28
98 9 70
67 7 55
65 7 55
12 1 2
72 6 41
20 2 14
31 3 23
33 2 9
10 0 1
9 0 1
105 8 62
53 4 26
73 8 60
73 6 41
94 5 33
13 1 6
67 6 42
24 2 13
81 4 31
14 1 2
23 2 12
74 5 39
97 6 43
25 1 4
29 3 21
3 0 1
13 1 5
51 5 35
81 7 54
7 1 2
61 7 51
21 1 7
6 0 1
40 3 18
89 10 77
42 3 19
16 2 9
30 2 15
3 0 1
50 5 38
31 3 17
25 2 15
12 1 4
45 3 17
85 6 43
54 5 34
66 7 53
59 3 21
36 1 8
44 3 23
90 5 39
94 4 30
58 6 48
68 3 21
26 2 11
10 1 6
62 5 35
99 8 60
13 1 7
102 2 15
42 3 18
37 2 11
69 7 55
19 1 6
60 7 53
71 3 22
45 4 28
23 2 15
31 3 20
52 5 35
33 3 23
28 2 9
55 2 14
74 7 51
85 8 59
95 4 27
36 1 4
30 3 19
36 3 20
30 2 12
83 3 24
58 3 24
85 4 27
41 3 20
6 0 1
22 1 8
46 4 28
72 4 31
64 5 38
68 4 27
20 2 10
54 6 45
99 2 12
16 0 1
85 6 42
58 6 44
52 6 41
38 3 19
85 8 57
90 5 38
52 3 18
89 7 51
32 4 28
5 0 1
40 3 18
84 4 28
47 3 22
47 6 44
4 0 1
8 1 3
39 3 19
53 5 34
15 1 2
81 7 56
18 1 2
11 1 7
61 3 23
50 4 27
55 5 38
59 6 45
48 4 29
5 0 1
36 3 19
41 3 18
39 3 22
83 5 37
39 5 33
60 6 42
75 4 30
96 7 55
62 6 48
52 6 48
9 1 3
58 6 42
8 1 5
39 3 20
103 7 56
55 4 27
44 4 32
11 1 6
104 4 27
35 2 11
7 0 1
31 3 18
25 2 16
64 6 46
22 1 2
79 5 34
84 5 34
92 6 41
24 2 11
32 2 16
37 3 24
37 3 21
61 5 39
7 0 1
60 2 14
21 1 6
30 3 17
16 1 8
54 6 45
63 6 44
85 3 21
71 5 34
65 5 35
13 1 2
46 5 33
49 6 44
38 3 18
8 1 2
58 6 42
36 3 23
74 6 47
59 5 38
104 6 45
42 2 11
65 4 27
10 1 4
44 4 28
29 1 7
70 5 34
65 3 23
75 7 54
38 1 7
59 4 32
5 0 1
37 3 22
61 3 22
5 0 1
24 3 17
110 5 37
29 2 12
38 3 17
27 2 12
62 4 29
58 4 32
34 3 17
31 2 15
72 6 41
3 0 1
73 6 43
48 4 28
53 4 27
63 3 23
40 4 25
42 2 16
58 4 29
58 5 37
70 6 45
47 4 31
61 4 30
13 2 10
59 5 38
87 5 37
50 7 50
42 3 22
11 1 6
72 6 46
38 3 22
35 1 6
68 6 46
25 2 14
60 6 48
6 1 4
31 3 19
47 4 25
57 5 37
85 7 53
25 1 4
67 6 46
68 5 36
52 5 36
69 5 36
14 1 8
16 1 3
40 2 14
32 3 17
71 7 50
43 4 28
58 6 45
40 4 28
23 2 11
86 5 34
51 5 36
79 7 54
71 6 47
64 7 50
53 6 43
32 3 21
19 2 12
5 1 2
78 5 34
24 2 13
66 5 36
79 3 22
32 2 16
31 2 13
19 1 7
49 5 39
9 1 4
72 6 42
72 5 33
78 6 45
35 2 13
10 1 2
46 2 10
52 3 19
96 6 42
67 5 33
21 2 12
6 1 3
67 5 34
29 2 14
33 4 25
50 4 31
9 0 1
61 3 21
79 4 28
64 6 43
55 4 28
20 2 11
70 4 25
59 6 41
8 1 3
31 3 19
15 1 3
59 6 47
8 0 1
93 4 26
70 5 40
54 4 32
51 4 29
11 1 3
32 3 20
16 1 8
52 1 4
51 5 33
20 2 11
20 1 8
33 2 12
67 6 43
47 3 22
64 6 46
73 6 42
49 4 29
68 5 35
72 5 36
39 3 17
14 1 4
20 2 10
40 3 22
65 3 21
72 5 38
43 5 34
6 1 2
80 7 49
41 3 22
4 0 1
37 2 14
56 4 32
76 6 41
3 0 1
25 2 13
43 4 25
61 6 45
55 6 47
59 1 5
4 0 1
32 2 14
54 5 33
37 4 27
38 3 23
20 2 15
19 2 13
40 3 19
36 3 21
41 3 21
25 2 11
69 6 47
38 3 21
83 4 32
22 2 9
63 7 49
60 5 37
53 2 10
66 4 26
29 3 23
43 4 25
35 4 27
42 3 20
16 1 4
64 5 36
33 2 16
48 3 21
3 1 2
74 7 49
78 4 29
62 4 28
22 2 10
29 2 13
27 2 13
27 3 18
14 0 1
16 1 3
57 3 19
37 3 18
33 3 20
44 4 25
50 5 35
29 1 6
26 1 5
41 3 20
63 6 42
45 3 17
54 6 42
65 4 27
50 2 13
28 3 19
27 2 15
58 4 28
82 5 40
34 3 17
11 1 3
60 6 43
31 2 13
35 3 22
52 4 28
90 5 33
43 2 9
40 3 17
44 4 29
78 7 49
33 1 7
5 1 2
11 1 6
31 2 12
70 7 51
61 4 31
39 1 7
32 3 19
21 0 1
2 0 1
47 5 34
74 4 27
18 2 10
46 3 19
60 5 39
27 2 16
25 3 17
56 3 24
16 1 3
36 2 16
