nodesPerPartition bytesPerNode cliquesPerPartition
980 115 914
339 90 714
278 86 683
856 81 643
758 75 598
429 72 576
566 68 544
579 64 512
670 66 527
579 62 494
166 42 334
622 60 478
264 61 486
625 61 487
691 56 448
240 42 333
131 25 196
381 56 446
369 57 455
379 51 401
297 54 430
152 30 239
581 50 397
428 55 433
548 46 364
571 42 333
425 49 390
311 51 401
500 48 384
277 52 414
255 44 345
521 44 347
443 44 350
323 44 349
518 40 314
539 46 364
295 48 384
338 42 331
547 43 337
434 42 334
381 47 372
484 36 287
208 45 358
387 45 354
451 40 313
203 40 319
478 37 291
248 29 230
338 44 347
67 8 64
148 24 186
122 24 185
129 15 118
202 37 295
363 33 260
416 34 271
500 37 296
423 35 277
286 41 325
253 42 336
197 34 265
404 34 267
124 35 275
268 27 215
448 34 268
435 34 268
480 31 245
61 7 54
474 31 242
367 33 260
467 34 271
128 15 113
151 15 117
107 28 218
409 30 240
312 35 278
316 34 271
181 28 219
323 30 238
217 23 181
358 29 226
189 26 202
456 31 248
162 19 145
207 19 148
340 30 236
395 31 248
125 13 98
268 37 291
160 26 208
147 17 129
444 27 210
313 23 179
132 12 94
287 27 211
397 25 198
378 30 237
299 35 274
288 27 211
347 28 221
167 16 125
75 9 66
112 23 182
49 4 31
122 14 112
251 33 260
309 29 225
276 31 245
236 25 199
189 23 177
157 20 158
365 26 207
248 26 203
373 23 184
206 25 200
115 20 160
279 23 177
190 17 133
77 9 67
149 11 82
318 24 187
116 11 84
150 15 116
124 12 92
371 25 195
216 19 146
247 31 243
344 24 188
340 24 191
184 28 223
121 8 61
98 10 74
284 24 186
344 23 181
112 10 76
116 16 122
172 24 188
213 19 149
272 30 238
320 24 185
313 20 158
165 24 189
211 25 193
97 7 49
307 29 228
96 17 130
143 22 174
283 22 173
226 28 222
202 26 201
335 23 179
173 23 180
422 24 190
86 10 79
72 10 77
114 8 60
370 25 194
236 21 161
229 28 222
337 23 179
148 16 121
116 10 79
249 27 209
147 17 136
338 18 144
367 21 166
266 18 142
321 23 179
160 24 187
68 6 47
244 22 170
325 21 167
249 24 191
306 19 151
237 28 223
303 27 211
124 6 43
196 27 214
334 22 174
297 21 166
199 28 222
247 26 202
314 22 176
118 12 90
196 23 182
237 23 180
164 20 155
50 5 35
91 9 66
254 27 214
160 14 112
95 7 56
190 26 203
317 27 215
258 28 217
224 28 217
186 13 99
287 24 190
292 20 156
133 24 185
214 22 176
124 14 108
80 7 51
334 20 157
251 17 135
186 26 206
326 26 207
314 19 145
252 16 127
336 21 161
127 18 144
315 19 149
183 26 207
250 21 168
161 15 119
263 17 133
244 15 119
209 21 168
277 26 202
199 17 135
130 8 58
225 20 156
231 17 130
342 24 186
70 9 67
236 16 122
133 14 105
90 8 64
283 18 139
310 24 192
234 15 117
233 18 142
154 16 126
263 16 128
268 25 193
221 25 199
131 19 146
159 17 129
115 7 50
193 24 190
33 3 17
276 18 139
108 15 120
242 17 136
193 24 190
129 10 79
294 17 136
144 20 159
216 15 114
234 16 124
181 11 86
132 18 141
245 25 194
161 14 105
292 24 187
189 21 163
129 12 95
263 23 183
105 18 137
109 11 81
209 19 146
61 5 38
95 7 50
60 5 33
123 19 151
272 18 137
115 13 103
82 10 80
274 17 133
151 13 102
83 7 54
207 13 103
214 23 177
171 18 140
271 16 123
102 9 65
105 15 113
148 16 121
132 12 96
187 24 185
155 23 183
244 17 133
207 13 99
243 16 122
66 3 23
144 20 156
261 18 141
265 18 144
85 7 55
233 15 119
189 15 114
128 17 130
224 21 163
169 17 132
156 18 140
220 16 122
170 14 105
211 23 180
161 22 176
121 15 119
84 8 57
209 22 171
117 16 126
218 23 177
205 21 162
86 4 25
170 16 122
151 12 90
159 22 169
159 8 60
159 11 81
223 22 173
270 16 125
155 19 146
152 22 169
197 21 168
238 14 110
162 21 164
186 22 175
182 22 175
49 3 22
42 5 38
102 14 111
176 14 111
273 18 141
23 2 12
203 14 107
243 22 170
102 10 75
211 21 163
183 18 137
258 22 170
124 6 47
142 18 139
151 18 143
242 22 169
142 21 163
96 14 105
98 7 56
227 16 121
132 8 64
192 17 129
178 12 93
90 7 50
144 13 102
97 21 166
101 9 71
92 11 85
119 15 113
118 11 82
83 5 39
206 14 107
169 11 86
152 19 148
240 14 108
199 21 165
215 19 152
77 7 53
252 14 109
151 16 126
127 13 101
147 13 98
255 15 117
223 19 151
201 19 149
112 8 62
165 14 110
146 10 80
103 10 79
92 9 65
219 14 105
247 16 122
196 19 150
31 3 18
190 19 147
95 9 69
168 14 105
166 19 145
171 16 122
139 10 80
186 18 142
174 11 83
92 11 88
130 14 107
90 12 94
72 8 64
82 13 103
170 14 105
73 6 41
165 9 70
245 15 113
193 15 114
166 12 95
158 16 127
287 20 155
223 14 107
246 20 160
283 18 139
119 16 124
76 6 45
185 20 158
76 7 54
83 11 81
130 11 85
201 17 131
44 4 25
84 8 62
182 12 89
67 7 55
209 12 96
126 11 84
117 13 97
209 13 103
182 19 152
161 19 149
124 8 60
75 8 58
21 2 11
118 17 129
118 13 102
106 5 39
150 10 73
189 15 119
141 15 119
218 14 109
121 10 78
214 19 148
184 16 125
140 17 132
150 17 130
72 10 74
83 10 73
234 13 102
118 10 80
72 3 18
129 17 130
178 15 119
111 10 75
217 19 151
188 12 93
142 16 124
69 6 48
168 14 107
27 2 13
209 19 149
67 8 57
138 13 98
152 13 99
212 13 98
232 18 140
158 18 141
142 10 78
141 18 144
106 9 69
63 6 43
110 14 107
288 11 86
165 19 147
112 9 68
102 11 87
117 14 108
194 12 90
94 9 69
228 13 102
142 18 139
92 10 75
119 10 76
83 6 45
181 17 134
221 15 116
239 12 93
193 13 100
106 19 148
182 11 81
38 3 17
183 17 133
186 12 92
88 8 62
206 12 89
131 15 120
180 18 139
175 15 119
162 17 131
165 15 113
141 15 119
94 15 119
71 7 53
145 15 113
83 5 37
179 18 140
155 16 126
162 14 112
142 10 77
105 10 80
123 18 139
98 5 36
97 7 49
67 8 60
139 12 92
225 15 115
193 11 83
126 7 56
163 14 105
159 16 128
169 10 80
163 16 127
127 13 99
190 17 133
158 16 121
166 15 117
121 14 105
198 11 82
186 16 125
245 18 140
166 12 91
145 16 127
164 17 130
76 8 58
227 18 142
141 9 67
172 10 78
133 12 95
66 6 45
93 10 75
183 17 131
187 15 114
118 8 59
43 3 21
36 3 22
31 3 17
87 5 39
180 18 137
105 8 61
129 9 72
197 14 107
73 6 47
165 14 107
186 18 139
168 14 105
