nodesPerPartition bytesPerNode cliquesPerPartition
119 0 1
114 0 1
102 0 1
65 0 1
85 0 1
75 0 1
21 0 1
16 0 1
65 0 1
14 0 1
64 0 1
9 0 1
6 0 1
5 0 1
6 0 1
6 0 1
4 0 1
3 0 1
6 0 1
2 0 1
59 0 1
4 0 1
16 0 1
60 1 2
58 0 1
2 0 1
2 0 1
47 1 2
10 0 1
74 1 4
6 0 1
58 2 10
5 0 1
4 0 1
5 0 1
52 0 1
54 1 3
52 0 1
3 0 1
2 0 1
3 0 1
3 0 1
2 0 1
57 1 2
4 0 1
4 0 1
30 0 1
6 0 1
50 0 1
50 0 1
2 0 1
3 0 1
48 1 2
6 0 1
13 0 1
49 0 1
48 0 1
48 0 1
40 1 4
11 1 2
12 0 1
5 0 1
7 1 2
37 1 2
10 1 2
14 1 3
2 0 1
14 1 2
27 1 4
7 0 1
50 1 5
12 1 3
7 1 2
5 1 2
46 0 1
7 0 1
45 0 1
39 1 6
12 0 1
50 1 4
14 1 2
5 0 1
44 0 1
44 0 1
9 1 2
23 1 3
44 0 1
44 0 1
3 0 1
4 0 1
43 0 1
37 1 3
26 1 5
43 0 1
7 1 2
43 0 1
43 0 1
42 0 1
6 1 3
11 1 2
42 0 1
6 1 2
42 0 1
23 1 4
7 0 1
18 1 2
41 0 1
40 0 1
55 2 12
40 0 1
5 0 1
6 0 1
3 0 1
12 1 2
14 1 2
40 0 1
39 0 1
39 0 1
3 0 1
26 0 1
11 1 3
26 1 6
23 1 7
9 1 2
39 0 1
3 0 1
3 0 1
12 1 2
39 0 1
39 0 1
38 0 1
37 1 2
38 0 1
38 0 1
5 0 1
36 1 7
24 0 1
10 0 1
2 0 1
38 0 1
33 0 1
37 0 1
37 0 1
2 0 1
15 1 5
37 0 1
8 1 3
3 0 1
9 1 2
36 0 1
43 1 2
36 0 1
28 0 1
24 1 7
35 1 4
23 1 4
23 0 1
8 0 1
5 1 2
36 0 1
36 0 1
33 0 1
35 0 1
4 1 2
6 0 1
6 0 1
7 0 1
7 1 2
35 0 1
39 1 2
34 0 1
34 0 1
25 0 1
34 0 1
34 0 1
5 0 1
34 0 1
4 0 1
5 0 1
5 0 1
37 1 4
33 0 1
33 0 1
33 0 1
33 0 1
6 1 2
21 2 12
37 1 2
33 0 1
29 1 4
56 3 17
34 1 5
5 1 2
24 1 4
13 1 3
33 0 1
3 0 1
2 0 1
2 0 1
33 0 1
47 1 6
35 1 3
38 1 3
30 0 1
32 0 1
32 0 1
7 1 2
32 0 1
17 1 4
15 0 1
28 0 1
30 0 1
32 0 1
32 0 1
18 1 3
22 0 1
29 0 1
27 0 1
21 0 1
31 0 1
31 0 1
31 0 1
5 1 2
34 0 1
31 0 1
31 0 1
9 1 3
10 1 3
7 1 3
9 1 3
19 1 3
19 1 3
10 0 1
31 0 1
44 1 8
14 0 1
30 0 1
59 3 24
30 0 1
30 0 1
30 0 1
2 0 1
49 2 15
30 0 1
30 0 1
30 0 1
10 0 1
5 1 3
48 1 2
12 1 3
30 0 1
7 0 1
20 0 1
30 0 1
25 1 2
27 0 1
14 0 1
29 0 1
29 0 1
29 0 1
29 0 1
29 0 1
29 0 1
14 0 1
9 1 3
19 1 6
29 0 1
29 0 1
29 0 1
29 0 1
13 1 3
35 1 7
4 0 1
5 1 2
20 1 2
4 0 1
29 0 1
5 0 1
3 0 1
29 0 1
20 0 1
29 1 2
28 0 1
13 0 1
12 1 3
28 0 1
28 0 1
28 0 1
28 0 1
9 0 1
9 0 1
8 0 1
28 0 1
45 1 7
5 0 1
9 0 1
28 0 1
28 0 1
8 1 2
28 0 1
23 1 4
28 0 1
9 0 1
17 1 3
14 0 1
4 0 1
20 1 2
28 0 1
9 0 1
27 0 1
34 1 3
50 1 5
15 1 4
27 0 1
27 0 1
27 0 1
27 0 1
27 0 1
6 0 1
27 0 1
27 0 1
27 0 1
27 0 1
27 0 1
5 0 1
3 0 1
4 0 1
5 0 1
27 0 1
27 0 1
11 0 1
27 0 1
27 0 1
27 2 9
39 3 23
22 1 5
25 1 8
17 1 7
3 0 1
4 0 1
12 0 1
12 0 1
27 0 1
27 0 1
5 1 2
7 1 2
6 0 1
28 1 2
20 0 1
5 1 2
27 0 1
28 0 1
20 0 1
26 0 1
26 0 1
38 1 8
26 0 1
26 0 1
26 0 1
9 0 1
26 0 1
26 0 1
26 0 1
26 0 1
26 0 1
25 1 2
8 0 1
13 1 3
7 0 1
4 0 1
5 0 1
9 0 1
25 1 4
5 1 2
12 1 4
29 1 7
36 2 9
14 1 2
4 0 1
10 0 1
15 1 3
10 0 1
11 1 4
8 1 2
3 0 1
3 0 1
3 0 1
3 0 1
27 1 6
15 1 3
26 0 1
9 1 3
26 1 2
26 0 1
25 0 1
21 0 1
10 1 2
16 0 1
18 1 2
25 0 1
22 1 2
25 0 1
25 0 1
25 0 1
25 0 1
25 0 1
17 1 7
16 1 6
49 2 14
25 0 1
28 1 3
23 0 1
25 0 1
23 0 1
25 0 1
25 0 1
25 0 1
24 0 1
25 0 1
4 0 1
25 0 1
7 0 1
6 0 1
8 0 1
4 0 1
13 1 2
25 0 1
7 0 1
7 0 1
25 0 1
5 1 2
15 1 3
2 0 1
25 0 1
25 0 1
9 1 3
11 0 1
8 0 1
10 0 1
9 0 1
9 0 1
25 0 1
18 1 2
24 0 1
24 0 1
5 0 1
26 1 7
32 2 10
10 1 3
6 0 1
24 0 1
24 0 1
20 0 1
24 0 1
24 0 1
10 0 1
24 0 1
24 0 1
8 0 1
24 0 1
24 1 2
30 1 5
24 0 1
21 0 1
2 0 1
3 0 1
21 1 3
24 0 1
24 0 1
24 0 1
10 0 1
24 0 1
14 0 1
36 1 6
6 0 1
16 1 2
24 0 1
14 0 1
8 0 1
6 1 2
9 1 2
8 0 1
4 0 1
6 1 2
10 1 2
35 1 4
6 0 1
24 0 1
5 0 1
17 1 3
9 0 1
11 1 2
13 0 1
13 1 3
24 0 1
24 0 1
4 0 1
19 1 4
8 0 1
9 1 3
19 1 2
16 1 5
25 1 3
27 1 4
29 1 2
24 0 1
8 0 1
8 0 1
24 0 1
23 0 1
14 0 1
10 0 1
11 0 1
23 0 1
19 0 1
23 0 1
23 0 1
5 0 1
4 0 1
14 0 1
8 0 1
3 0 1
2 0 1
2 0 1
19 0 1
23 0 1
27 2 15
14 1 2
23 0 1
23 0 1
23 0 1
17 0 1
23 0 1
23 0 1
21 0 1
23 0 1
23 0 1
23 0 1
23 0 1
16 0 1
23 0 1
23 0 1
24 1 2
23 1 2
24 1 2
23 0 1
17 1 3
3 0 1
6 1 2
18 1 4
17 0 1
15 0 1
6 1 2
5 0 1
6 0 1
23 0 1
2 0 1
23 0 1
19 1 6
39 3 20
44 2 16
7 0 1
13 1 3
4 0 1
5 1 2
5 1 2
5 1 2
23 0 1
3 0 1
23 0 1
23 0 1
23 0 1
23 0 1
8 1 3
23 0 1
10 0 1
6 1 2
22 1 4
4 0 1
24 1 6
5 1 2
2 0 1
5 0 1
22 1 2
23 0 1
11 0 1
22 0 1
22 0 1
26 1 2
21 0 1
21 0 1
12 0 1
2 0 1
4 0 1
22 0 1
8 0 1
22 0 1
6 0 1
54 2 9
33 1 8
49 2 14
8 0 1
9 0 1
14 0 1
22 0 1
22 0 1
22 0 1
22 0 1
18 0 1
15 1 2
19 0 1
30 1 2
22 0 1
22 0 1
16 0 1
22 0 1
22 0 1
4 0 1
22 0 1
22 0 1
24 1 3
29 1 7
18 1 2
10 0 1
9 0 1
22 0 1
78 5 35
33 3 23
14 0 1
22 0 1
22 0 1
22 0 1
15 0 1
22 0 1
6 0 1
22 0 1
22 0 1
17 1 4
42 2 14
45 2 11
7 1 2
22 0 1
4 0 1
9 1 2
8 1 4
8 0 1
22 0 1
22 0 1
2 0 1
2 0 1
22 0 1
22 0 1
21 1 5
27 1 5
33 1 8
5 0 1
9 0 1
9 0 1
22 0 1
27 1 2
18 1 3
22 0 1
22 0 1
13 1 2
22 0 1
22 0 1
22 0 1
2 0 1
22 0 1
3 0 1
7 1 2
25 1 3
6 0 1
4 0 1
5 0 1
22 0 1
4 0 1
22 0 1
6 0 1
5 0 1
21 0 1
15 1 5
9 0 1
16 0 1
21 0 1
21 0 1
4 0 1
15 1 2
21 0 1
21 0 1
21 0 1
21 0 1
13 0 1
5 0 1
5 0 1
11 1 3
18 1 4
24 2 14
32 2 10
37 3 18
21 0 1
21 0 1
11 0 1
19 1 3
4 0 1
4 0 1
21 0 1
6 0 1
21 0 1
4 0 1
10 0 1
21 0 1
21 0 1
21 0 1
21 0 1
4 0 1
21 0 1
21 0 1
24 1 2
21 0 1
3 0 1
21 0 1
21 0 1
15 0 1
16 0 1
7 0 1
23 1 4
21 0 1
18 0 1
18 1 2
20 0 1
13 1 2
12 1 4
3 0 1
22 1 2
21 0 1
21 0 1
21 0 1
21 0 1
13 1 2
21 0 1
9 0 1
10 0 1
9 0 1
9 0 1
6 1 3
7 1 3
15 1 2
16 0 1
21 0 1
3 0 1
13 1 3
21 0 1
7 0 1
3 0 1
21 0 1
10 0 1
21 0 1
14 1 5
18 1 5
18 1 5
21 0 1
4 0 1
21 1 5
21 0 1
21 0 1
21 0 1
21 0 1
26 1 2
21 1 5
21 0 1
24 1 3
21 0 1
21 0 1
21 0 1
17 0 1
9 1 2
9 1 2
3 0 1
4 0 1
4 0 1
21 0 1
20 0 1
3 0 1
16 1 5
5 1 2
16 1 3
12 0 1
14 1 2
11 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
8 0 1
20 0 1
16 0 1
20 0 1
7 0 1
20 0 1
20 0 1
3 0 1
20 0 1
14 0 1
23 1 6
15 1 6
25 1 6
20 1 4
3 0 1
20 0 1
20 0 1
21 1 2
4 0 1
20 0 1
20 0 1
20 0 1
20 0 1
20 0 1
16 0 1
20 1 2
20 0 1
20 0 1
20 0 1
20 0 1
17 0 1
20 0 1
4 0 1
5 0 1
4 0 1
5 0 1
4 0 1
20 0 1
13 0 1
7 0 1
20 0 1
20 0 1
20 0 1
19 0 1
10 1 2
20 0 1
20 0 1
2 0 1
20 0 1
20 0 1
19 0 1
20 0 1
20 0 1
20 0 1
20 1 2
12 0 1
13 0 1
19 1 2
7 0 1
2 0 1
13 1 2
20 0 1
20 0 1
20 0 1
15 1 2
4 0 1
14 1 3
6 0 1
5 0 1
15 1 2
9 1 2
11 1 2
20 0 1
14 0 1
20 0 1
20 0 1
13 0 1
8 1 2
11 1 2
3 0 1
7 0 1
20 0 1
20 0 1
7 0 1
6 0 1
6 0 1
7 0 1
14 0 1
20 0 1
44 3 24
11 1 4
15 1 6
48 3 17
39 3 17
21 1 4
13 1 7
12 1 2
21 1 2
10 1 2
20 0 1
20 0 1
20 0 1
20 0 1
8 0 1
10 1 2
17 1 4
20 0 1
20 0 1
19 0 1
20 0 1
20 0 1
20 0 1
12 1 2
20 0 1
20 0 1
20 0 1
20 0 1
13 0 1
12 0 1
6 1 2
6 1 2
7 1 2
6 0 1
5 0 1
4 0 1
20 0 1
16 0 1
20 0 1
20 0 1
11 1 3
22 1 5
12 1 3
9 1 2
14 1 4
14 1 3
14 1 3
10 1 2
7 1 2
20 0 1
20 0 1
18 1 2
20 0 1
20 0 1
18 0 1
5 0 1
5 0 1
28 1 7
16 1 3
14 1 3
5 0 1
17 1 8
6 0 1
19 0 1
18 0 1
19 0 1
19 0 1
10 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
11 0 1
4 0 1
15 0 1
19 0 1
19 0 1
11 0 1
29 2 14
11 0 1
23 1 2
12 0 1
11 0 1
19 0 1
19 0 1
19 0 1
9 0 1
14 1 2
19 0 1
10 0 1
19 0 1
2 0 1
2 0 1
2 0 1
19 0 1
19 0 1
19 0 1
5 0 1
7 0 1
19 0 1
7 1 2
8 1 2
8 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
19 0 1
3 0 1
3 0 1
4 0 1
4 0 1
4 0 1
3 0 1
7 1 2
2 0 1
8 1 2
7 1 2
19 0 1
18 0 1
19 0 1
18 0 1
11 0 1
11 0 1
9 0 1
13 0 1
19 0 1
25 1 5
26 1 7
58 3 20
5 1 2
6 1 2
5 0 1
3 0 1
11 1 4
10 1 2
32 1 6
19 0 1
15 0 1
6 0 1
6 1 2
16 1 3
5 1 2
19 0 1
19 0 1
18 1 2
19 0 1
9 0 1
5 1 2
9 1 2
19 0 1
15 0 1
9 1 2
5 0 1
6 0 1
5 0 1
19 0 1
5 0 1
4 0 1
24 2 11
20 2 9
23 1 7
4 0 1
11 1 2
4 0 1
19 0 1
19 0 1
19 0 1
19 0 1
5 0 1
