nodesPerPartition bytesPerNode cliquesPerPartition
361 125 997
123 21 167
62 8 60
110 18 139
176 12 91
50 3 22
57 3 24
49 3 17
110 7 49
67 4 28
66 7 55
273 45 354
55 3 20
124 22 173
5 1 2
57 3 21
2 0 1
8 1 3
29 1 5
169 12 96
30 1 6
50 1 3
15 1 3
18 1 8
55 6 41
21 1 3
4 0 1
8 1 3
47 3 24
11 1 3
105 6 42
87 6 44
170 20 154
33 2 11
16 1 4
107 4 30
39 4 27
46 1 3
88 5 35
6 1 2
12 1 4
10 1 4
37 2 13
4 0 1
30 2 15
10 1 4
13 1 4
6 1 2
17 1 6
22 1 3
3 0 1
7 1 3
33 2 12
148 16 123
4 1 2
15 1 4
12 1 5
26 2 12
19 0 1
101 5 33
44 2 10
146 14 110
37 1 8
41 3 18
93 7 50
85 10 76
4 1 2
238 21 161
19 1 8
13 1 5
9 1 4
25 2 14
121 16 125
27 2 11
4 0 1
17 1 4
49 1 8
146 11 82
42 2 13
30 2 11
34 2 12
23 1 5
115 11 82
15 1 4
3 0 1
6 1 3
28 3 18
6 0 1
61 5 34
22 1 8
34 3 19
12 1 4
17 1 4
3 0 1
5 1 2
2 0 1
14 1 3
23 2 11
7 1 2
12 1 5
5 0 1
3 0 1
15 1 4
56 5 35
141 3 24
3 0 1
3 0 1
4 0 1
11 1 4
32 3 17
72 6 44
19 1 3
18 2 9
10 1 4
3 0 1
39 2 16
12 1 4
23 1 4
78 5 34
32 1 6
36 3 23
41 2 12
8 0 1
26 2 15
15 1 4
83 7 49
75 3 17
69 4 31
85 8 60
56 4 28
27 0 1
5 0 1
46 4 26
16 1 2
7 1 2
116 7 51
83 4 32
67 4 30
19 2 10
37 2 10
31 3 18
18 1 5
11 1 6
49 3 18
4 1 2
2 0 1
13 1 5
21 1 5
46 3 18
3 0 1
32 2 14
51 5 40
45 3 22
11 1 4
11 1 2
3 0 1
49 4 27
62 6 45
3 0 1
5 0 1
7 1 2
47 3 23
74 5 35
3 0 1
45 3 23
14 1 4
5 1 2
48 2 16
9 1 2
10 1 2
2 0 1
53 4 27
60 4 28
16 1 4
62 5 34
45 2 13
31 2 15
8 1 2
27 2 13
25 2 9
11 1 4
31 3 24
4 0 1
106 6 43
45 1 5
4 0 1
17 1 7
71 6 47
79 5 37
62 3 18
34 2 16
5 1 2
40 4 27
52 3 23
9 1 4
56 4 29
10 1 4
10 1 4
40 3 20
12 1 4
2 0 1
20 1 7
13 1 3
89 7 52
4 0 1
15 1 3
34 2 14
4 0 1
30 1 5
37 2 12
38 1 4
6 1 2
51 3 23
49 2 14
2 0 1
23 1 2
3 0 1
44 3 20
3 0 1
12 1 2
42 3 18
11 1 3
16 1 2
24 1 7
12 1 5
23 2 9
21 1 6
5 0 1
3 0 1
60 3 24
21 1 7
12 1 8
53 3 22
23 2 9
22 1 6
4 1 2
24 2 9
15 1 6
17 1 4
7 0 1
9 0 1
28 2 9
6 1 2
6 0 1
29 1 7
43 4 29
3 0 1
43 3 17
19 1 7
33 2 10
14 1 8
20 1 8
49 4 30
47 2 14
20 1 8
28 2 10
10 0 1
50 3 18
89 7 51
11 1 3
51 4 27
24 2 12
37 3 18
6 1 2
5 0 1
5 1 2
22 1 8
5 0 1
8 1 3
8 1 2
9 1 2
12 1 5
37 2 11
10 1 4
6 0 1
21 1 7
35 3 17
8 1 3
44 2 15
24 2 11
37 3 21
15 1 6
5 0 1
5 0 1
43 2 14
55 1 4
8 1 3
48 3 19
3 0 1
4 0 1
8 1 4
10 1 3
8 0 1
31 3 19
67 4 26
13 1 2
20 1 7
6 1 2
4 0 1
22 1 7
41 3 18
38 3 18
50 4 26
5 1 2
7 1 2
41 3 17
17 1 6
38 3 17
13 1 6
42 2 10
44 2 16
4 0 1
8 0 1
9 1 2
6 0 1
7 1 2
2 0 1
8 1 2
20 2 11
60 4 30
76 6 48
62 4 28
45 3 17
4 0 1
32 2 12
28 1 8
9 1 4
9 1 3
7 1 4
24 2 16
9 1 3
22 1 5
4 0 1
20 2 12
9 1 3
22 2 10
21 0 1
40 2 16
63 3 20
25 2 11
23 1 6
14 0 1
14 1 6
18 1 6
5 0 1
8 0 1
4 0 1
8 1 2
68 5 38
14 1 5
4 0 1
39 4 26
25 2 13
8 1 3
13 1 4
25 2 12
5 1 2
53 2 12
5 1 2
18 1 7
14 1 6
19 2 10
19 1 5
10 1 2
23 2 11
8 1 2
25 1 5
89 2 14
6 0 1
9 1 3
6 1 3
4 1 2
8 1 2
19 1 8
12 1 4
33 2 13
34 1 4
51 6 45
44 3 20
29 1 2
33 2 13
21 1 3
53 4 32
7 1 3
37 2 11
3 0 1
20 2 11
27 2 9
11 1 3
7 1 2
6 0 1
10 1 5
50 3 24
15 1 6
45 2 13
24 3 18
6 1 2
15 1 5
7 0 1
40 3 17
49 2 11
24 2 14
3 0 1
5 1 2
9 1 3
3 0 1
48 5 34
44 3 19
28 2 11
6 0 1
17 1 6
3 0 1
13 1 7
12 1 4
27 1 7
15 1 6
6 0 1
17 1 5
11 0 1
21 1 7
9 1 3
23 2 12
13 1 4
18 2 9
5 1 2
11 1 3
14 1 4
20 1 6
21 2 10
17 1 3
12 1 3
47 2 9
10 1 5
16 1 5
47 2 9
31 1 6
32 1 7
23 2 12
12 1 5
10 1 5
7 1 4
19 1 6
27 2 12
4 0 1
44 2 12
8 1 4
3 0 1
4 0 1
18 1 5
22 1 7
23 2 9
28 2 10
12 1 3
57 3 20
14 1 6
32 3 23
28 2 11
15 1 5
4 0 1
16 1 7
32 3 20
12 1 3
17 1 5
11 1 4
19 1 5
18 1 2
16 1 7
10 0 1
16 1 6
9 1 4
16 1 6
7 1 4
39 3 21
6 1 2
6 0 1
7 1 3
7 0 1
3 0 1
13 1 5
4 0 1
7 1 2
3 0 1
3 0 1
24 2 9
19 1 8
5 1 2
2 0 1
13 1 2
6 1 2
14 1 6
32 2 13
3 0 1
47 4 26
15 1 7
5 0 1
29 2 14
11 1 3
12 1 4
10 0 1
4 1 2
11 1 2
28 1 8
17 0 1
27 2 13
10 1 2
16 1 4
5 1 2
2 0 1
12 1 6
29 1 3
23 1 3
27 2 15
32 2 16
11 1 3
24 1 6
6 0 1
4 0 1
6 1 2
12 0 1
22 2 14
46 2 14
3 0 1
9 1 3
3 0 1
35 1 8
14 1 3
8 1 2
15 1 2
10 1 4
3 0 1
9 1 2
25 2 14
18 1 7
14 1 5
4 0 1
33 2 14
6 1 3
8 1 5
39 3 18
18 1 5
6 1 2
17 1 6
16 1 4
20 2 9
4 0 1
8 1 4
5 0 1
28 2 14
24 1 5
8 1 2
3 0 1
6 1 3
17 1 7
23 1 5
20 1 7
11 1 3
24 1 6
3 0 1
8 1 3
17 1 7
10 1 4
12 1 5
45 3 19
16 2 9
34 2 14
29 2 14
45 1 7
3 0 1
20 1 6
25 1 3
4 0 1
12 0 1
11 1 2
18 1 7
9 1 4
4 0 1
72 4 27
17 1 8
25 2 13
13 1 8
4 0 1
11 1 4
11 1 3
15 1 7
13 1 5
14 1 4
14 1 6
7 1 3
7 1 3
6 1 2
4 1 2
8 1 4
2 0 1
15 1 7
24 1 8
7 1 3
43 3 18
10 1 3
26 2 10
29 4 28
2 0 1
7 1 2
3 0 1
15 1 6
25 2 10
4 0 1
37 2 11
6 1 2
9 1 5
18 1 6
3 0 1
4 0 1
12 1 4
12 1 6
13 1 5
5 1 2
15 1 5
16 1 3
10 1 3
7 1 5
6 1 2
29 2 10
19 1 5
6 1 2
18 2 9
28 2 9
12 1 2
19 1 5
6 1 2
5 0 1
32 2 13
10 0 1
9 1 4
5 1 2
13 1 4
8 1 3
15 1 6
8 1 4
13 1 7
6 0 1
7 1 3
10 1 7
5 0 1
8 1 3
19 1 2
7 1 2
20 2 10
2 0 1
22 2 10
7 1 2
22 2 10
4 0 1
3 0 1
12 1 3
7 1 3
9 1 2
8 1 5
12 1 5
23 1 5
10 1 2
8 1 3
4 0 1
4 0 1
6 1 2
3 0 1
26 2 13
9 1 5
16 1 5
5 1 3
2 0 1
45 2 15
23 1 7
28 2 9
31 2 10
2 0 1
17 1 6
28 2 15
5 0 1
15 1 6
38 2 12
3 0 1
6 1 2
33 1 7
42 3 17
50 2 15
31 2 10
11 1 3
7 1 2
3 0 1
5 1 2
14 1 6
11 1 7
6 1 2
8 1 2
15 1 8
8 1 3
14 1 7
11 1 4
11 1 5
8 1 3
11 0 1
9 1 4
5 0 1
17 1 2
5 1 2
18 2 11
17 1 7
16 1 6
15 1 7
28 3 21
10 1 2
15 1 6
5 1 2
8 1 2
14 1 4
3 0 1
6 0 1
11 1 4
3 0 1
12 1 5
3 1 2
7 0 1
14 1 8
7 1 2
11 1 6
38 2 13
4 1 2
8 0 1
8 1 3
2 0 1
6 1 2
15 2 10
13 1 3
5 1 2
3 0 1
8 1 3
6 0 1
14 1 8
5 1 2
3 0 1
2 0 1
15 1 7
27 2 12
9 1 4
11 1 4
2 0 1
8 1 4
39 2 13
7 1 3
3 0 1
3 0 1
3 0 1
17 1 5
8 1 2
19 2 10
10 1 3
24 2 11
8 1 6
3 0 1
22 1 2
7 0 1
3 1 2
5 1 2
17 2 12
2 0 1
17 2 13
41 3 18
30 3 17
10 1 4
30 2 11
7 0 1
24 2 13
11 1 2
8 1 4
7 1 3
15 2 9
5 1 2
5 1 2
35 2 16
4 1 2
16 1 6
3 0 1
9 0 1
16 1 5
18 1 6
19 1 7
19 1 5
4 0 1
12 1 5
5 0 1
15 1 8
5 1 2
7 1 3
17 2 9
40 3 17
4 0 1
9 1 2
23 2 9
10 1 3
5 0 1
3 0 1
7 1 3
10 1 2
5 1 2
12 1 3
5 0 1
7 1 2
4 0 1
2 0 1
4 1 2
12 1 2
6 1 2
5 0 1
4 0 1
9 0 1
10 0 1
2 0 1
31 0 1
14 1 5
3 0 1
4 0 1
7 1 4
24 2 9
14 1 7
6 1 3
8 1 3
4 0 1
11 1 4
10 1 4
3 0 1
19 2 10
9 1 3
11 1 2
25 1 3
11 1 6
16 1 7
35 2 11
14 1 6
22 2 10
17 1 3
6 0 1
7 1 4
3 0 1
5 0 1
27 3 21
4 0 1
15 1 6
6 1 2
6 1 2
7 1 2
30 2 12
2 0 1
23 2 15
9 1 5
9 1 6
4 1 2
3 0 1
4 0 1
11 1 4
4 1 2
2 0 1
15 1 7
8 1 4
16 1 3
4 0 1
5 1 2
5 0 1
18 1 5
5 0 1
5 0 1
11 1 4
13 1 5
16 1 6
5 0 1
3 0 1
5 1 2
22 2 11
14 1 7
5 0 1
7 1 3
27 2 11
5 0 1
6 1 2
8 1 2
7 1 2
10 1 3
6 0 1
9 1 2
4 0 1
37 3 21
24 2 9
32 3 18
4 0 1
