nodesPerPartition bytesPerNode cliquesPerPartition
279 47 371
117 8 62
230 35 274
234 26 201
155 14 105
185 23 181
192 21 165
156 15 120
77 5 33
122 15 114
24 1 8
65 4 27
97 5 40
214 21 167
86 8 64
193 19 148
23 2 10
151 12 93
93 6 45
118 7 54
85 6 45
163 10 77
65 5 38
183 13 103
143 17 135
156 17 134
114 10 78
112 9 68
203 12 91
122 10 75
22 2 9
70 5 38
83 5 39
51 3 24
40 3 20
58 4 27
86 8 63
75 6 43
75 6 48
80 6 44
15 1 3
84 7 49
9 1 4
36 2 15
136 9 66
115 12 93
138 6 47
138 11 81
57 7 50
15 1 3
51 4 26
107 12 94
17 1 4
136 12 94
17 1 6
120 12 91
11 1 3
130 10 77
61 4 27
42 3 23
108 10 75
99 7 55
25 1 6
84 11 82
105 8 61
74 8 60
54 4 25
5 1 2
14 1 5
98 9 67
13 1 4
72 5 35
146 8 63
134 9 70
137 10 77
6 1 2
39 2 15
40 2 9
76 5 33
80 6 41
103 7 55
58 2 14
73 6 41
83 6 42
58 3 21
34 2 13
64 5 37
48 3 19
6 0 1
33 2 9
39 3 24
81 6 45
109 6 46
66 3 21
85 10 73
23 2 9
24 1 5
25 1 8
42 3 21
23 1 3
64 7 53
95 7 49
59 3 23
53 5 37
29 2 12
105 6 46
69 4 26
27 1 7
157 8 61
117 9 68
52 3 24
15 1 5
12 1 3
71 8 61
20 2 10
57 5 37
86 7 49
43 3 19
87 8 63
2 0 1
31 2 11
6 1 3
33 1 7
53 5 33
6 0 1
16 1 5
32 2 10
52 5 34
99 8 63
123 8 60
113 6 44
41 2 14
89 4 28
57 6 41
77 5 40
62 7 56
85 4 26
71 8 61
32 2 13
48 4 32
54 4 26
15 1 4
51 4 31
7 0 1
50 3 18
50 5 40
53 3 20
76 7 50
4 0 1
45 2 13
14 1 7
80 3 21
78 7 50
56 4 32
115 6 46
74 8 57
11 1 2
94 6 46
45 2 15
36 4 26
85 5 36
7 1 4
86 6 42
67 5 39
72 3 20
13 1 2
54 3 21
68 6 46
37 2 13
85 5 33
85 7 49
56 7 50
14 1 7
32 2 16
7 0 1
56 3 17
17 2 9
117 7 50
55 3 24
80 7 52
20 1 7
54 7 51
45 2 15
23 1 7
10 1 3
21 1 7
57 6 44
69 6 46
61 6 47
25 1 6
43 3 21
29 2 13
19 2 12
47 4 32
45 2 11
65 4 26
40 4 29
3 0 1
49 3 19
30 2 12
12 1 4
25 4 26
47 3 23
58 6 47
96 5 36
49 2 12
55 5 33
45 2 12
48 3 20
40 4 26
45 4 25
33 2 10
128 5 40
28 3 22
6 0 1
10 1 3
6 1 2
37 1 8
64 6 43
42 5 33
55 5 39
40 4 26
65 6 46
70 4 25
37 3 19
16 1 5
24 1 7
54 5 39
35 3 17
30 2 10
58 5 34
5 0 1
67 4 32
51 5 35
52 2 13
7 0 1
64 5 35
22 1 8
49 5 34
32 4 25
28 3 23
21 2 12
20 1 8
45 5 36
32 3 22
21 1 4
12 1 4
6 1 2
37 3 17
5 0 1
73 6 42
32 3 21
31 3 17
41 4 28
40 3 17
31 3 24
23 1 8
24 3 19
17 1 4
59 5 37
61 5 34
45 2 11
22 1 6
60 6 41
69 6 41
14 2 10
55 5 38
33 3 23
31 2 16
24 2 11
21 1 7
54 5 40
38 2 14
50 3 19
39 2 16
33 3 21
70 5 38
13 1 2
40 2 9
53 2 14
48 3 21
48 4 31
35 2 14
35 3 20
43 4 29
30 3 20
54 3 22
27 3 19
11 1 4
22 2 14
11 1 3
64 5 37
48 3 22
9 1 2
29 3 18
7 1 2
41 5 33
38 2 12
17 1 8
53 5 36
13 1 2
34 2 14
14 1 3
69 3 23
25 1 6
29 2 11
24 1 8
30 3 24
8 1 4
38 3 19
31 3 20
37 3 23
37 4 27
55 3 22
35 2 15
13 1 4
21 3 17
16 2 10
9 1 5
78 5 36
57 2 16
36 2 12
74 5 36
42 2 12
42 5 36
21 2 12
19 1 7
37 3 19
47 5 36
22 2 12
55 5 34
38 3 18
7 1 3
28 2 9
13 1 3
38 3 18
20 2 9
8 1 3
23 1 8
32 2 10
49 3 21
5 0 1
66 5 34
12 1 3
9 1 3
38 4 26
17 2 9
30 2 11
24 2 14
26 1 8
37 3 20
48 4 29
63 4 30
51 3 22
50 4 30
29 3 19
13 1 4
27 2 12
46 2 13
40 2 16
14 1 4
51 3 24
4 1 2
18 1 3
28 1 6
12 1 3
53 2 14
54 2 16
19 2 13
18 1 8
22 2 10
37 3 21
7 1 3
16 2 9
41 3 22
64 5 34
73 5 33
7 1 3
13 1 5
12 1 2
28 2 9
40 2 14
12 1 2
35 2 15
9 1 6
43 2 16
11 1 3
35 3 18
30 2 14
39 2 15
9 1 2
32 3 19
30 2 15
36 4 26
29 3 17
38 3 23
20 1 8
15 1 3
49 4 25
35 2 13
35 3 22
28 2 11
44 4 27
43 4 26
21 2 10
29 3 20
6 0 1
20 1 3
6 0 1
21 1 6
10 1 6
33 2 13
39 4 28
5 1 2
7 0 1
46 3 23
50 3 20
28 2 16
48 4 31
50 4 27
25 2 11
33 2 10
47 3 21
64 4 28
41 3 19
23 2 14
35 2 11
25 1 4
13 1 4
56 4 32
31 2 11
17 1 8
28 2 12
15 1 4
52 3 19
31 1 7
9 1 2
11 1 4
33 3 17
30 3 20
4 1 2
44 4 30
14 1 7
6 0 1
45 2 14
36 3 21
6 0 1
55 3 20
20 2 12
27 2 9
10 1 2
45 3 17
12 1 6
36 2 14
46 3 23
14 1 4
31 2 10
21 2 9
35 2 11
6 1 2
14 1 5
48 4 30
37 3 24
45 4 26
35 4 26
19 2 10
49 4 30
23 2 10
23 2 16
18 1 7
37 3 19
12 1 7
6 0 1
18 1 6
14 1 8
31 2 10
11 1 6
54 2 16
59 3 19
9 1 3
9 1 2
10 1 3
19 2 11
40 2 14
35 3 21
32 3 21
8 1 5
41 3 24
5 1 2
10 1 2
35 2 13
12 1 6
63 3 19
30 3 22
12 1 3
6 1 2
23 2 11
42 4 29
12 1 3
12 1 5
5 0 1
12 1 5
6 1 3
15 1 4
29 1 3
16 1 3
12 1 4
19 2 10
59 4 25
19 2 10
24 2 15
25 2 13
20 2 11
22 2 11
10 1 5
6 1 3
17 1 6
9 1 4
10 1 4
49 4 26
44 4 26
18 1 5
43 4 26
35 2 14
32 2 13
42 4 28
8 1 3
65 4 25
21 2 11
46 3 20
32 2 9
5 1 2
7 1 2
9 1 4
18 1 5
16 1 3
23 1 7
42 4 27
36 3 18
7 0 1
20 2 11
41 3 20
43 4 27
16 1 4
45 4 26
49 2 16
34 2 16
17 2 9
36 3 23
40 4 25
52 3 22
34 2 14
34 3 17
36 3 24
18 2 9
10 1 3
26 3 18
12 0 1
11 1 2
16 2 10
26 2 9
27 3 17
6 0 1
8 1 4
42 3 19
21 1 7
3 0 1
37 3 21
3 0 1
4 1 2
14 1 6
10 1 5
42 3 21
43 4 25
36 3 21
11 1 6
34 3 20
36 4 26
14 1 2
33 3 23
38 4 26
33 2 15
19 1 7
13 1 7
21 1 8
16 1 8
27 2 9
22 2 16
9 1 4
13 1 2
17 1 5
30 3 20
21 2 11
15 1 5
14 1 7
27 1 7
36 3 18
45 3 23
16 1 6
4 0 1
9 1 3
16 2 9
16 2 9
21 2 13
27 3 22
18 1 4
29 2 15
25 1 8
41 4 25
38 4 26
23 2 12
5 0 1
13 1 4
22 1 5
22 1 7
21 2 13
25 2 11
12 1 6
34 2 15
30 3 18
16 1 8
14 1 6
25 3 17
16 1 8
22 2 11
34 2 9
12 1 3
4 1 2
3 0 1
36 3 18
19 2 10
6 1 2
32 3 20
20 2 11
12 1 6
20 2 10
19 1 6
25 1 8
36 2 14
5 0 1
19 1 8
6 0 1
9 1 2
33 3 19
14 1 5
42 3 18
11 1 7
36 3 20
11 1 5
30 2 11
22 3 17
12 1 6
39 3 22
23 2 11
12 1 5
30 3 17
31 2 12
25 2 9
24 1 7
21 2 14
8 1 2
32 3 17
30 2 15
26 2 15
31 3 17
8 1 4
35 2 16
35 2 12
16 1 5
23 2 15
9 0 1
17 1 8
29 3 18
7 1 4
8 0 1
5 0 1
6 0 1
59 2 15
18 1 3
11 1 3
12 1 5
7 0 1
9 1 4
32 2 13
9 1 2
22 2 10
28 2 15
42 2 13
27 1 6
20 1 5
25 1 8
34 3 18
39 3 21
14 1 7
25 1 7
44 3 19
34 3 19
41 2 15
25 2 11
21 2 13
43 3 19
24 3 17
35 3 23
22 1 8
23 2 13
35 3 19
29 2 13
25 1 6
16 1 7
23 2 15
28 2 14
15 1 6
30 1 8
38 3 23
7 1 3
17 1 8
20 2 11
21 2 11
42 3 22
8 1 4
6 1 3
19 1 4
9 1 3
29 1 7
8 1 2
6 1 2
9 1 5
17 1 3
13 1 4
37 2 11
32 3 22
6 0 1
20 1 7
34 1 5
17 1 6
9 1 2
27 2 12
37 3 22
35 3 21
19 1 7
6 1 3
12 1 6
13 1 7
19 1 5
7 1 3
19 2 10
15 2 11
21 3 17
32 3 18
16 2 9
20 1 5
23 2 16
26 3 17
7 1 2
31 2 12
40 2 10
16 1 7
17 2 10
12 1 2
28 3 21
30 3 20
26 3 20
25 2 14
31 3 18
30 3 18
15 1 5
15 1 8
42 3 20
16 2 10
20 2 9
25 2 16
13 1 8
8 1 5
39 2 16
6 1 2
11 1 6
27 2 16
7 1 3
17 2 10
14 1 5
21 1 7
18 1 4
27 2 16
27 2 13
4 1 2
28 2 16
5 0 1
9 0 1
3 0 1
29 2 10
16 1 3
14 1 4
33 2 10
9 1 2
6 1 2
41 3 20
10 1 3
8 1 4
16 2 9
12 1 3
35 2 13
16 1 8
12 1 6
7 1 2
8 1 5
12 1 5
16 1 7
21 2 13
38 2 12
15 2 9
19 2 10
26 2 13
41 3 20
35 1 6
23 2 16
8 1 2
21 2 14
20 2 10
8 1 2
36 3 17
10 1 4
36 3 17
