nodesPerPartition bytesPerNode cliquesPerPartition
808 233 1857
723 208 1660
2488 321 2562
2282 309 2471
658 187 1496
2507 296 2363
1175 211 1681
483 145 1160
443 122 976
560 148 1179
500 119 946
446 77 610
241 34 268
371 123 983
1513 207 1652
412 105 833
787 147 1176
425 75 596
343 99 789
389 97 771
324 46 365
230 65 517
409 107 849
485 107 855
225 44 350
266 81 645
209 28 222
261 44 345
251 34 267
401 68 538
239 24 185
494 105 836
350 68 540
484 96 768
293 85 677
264 63 501
187 35 273
461 91 721
304 47 372
344 78 617
234 60 480
248 41 325
320 47 376
282 43 338
182 26 207
179 33 262
254 42 332
260 34 267
402 50 397
244 72 572
270 30 234
168 28 224
136 14 110
329 68 544
563 86 684
255 34 272
277 31 244
165 15 118
221 66 523
233 43 339
287 49 390
270 56 441
132 24 186
257 54 427
151 16 128
361 68 544
422 77 609
211 59 466
285 54 427
181 52 414
244 41 321
223 61 488
224 46 362
565 72 574
151 55 433
136 45 356
73 9 71
255 60 480
170 57 452
858 100 797
185 22 176
166 21 168
371 72 573
194 53 418
79 8 63
278 71 564
386 72 572
151 51 407
305 64 511
522 65 515
134 16 122
121 14 110
161 18 141
139 17 133
104 13 102
218 24 188
228 54 432
315 64 511
297 34 267
315 53 423
97 22 173
105 22 171
158 45 360
574 81 643
127 19 146
215 31 248
334 66 525
243 44 347
92 10 80
182 22 170
233 54 429
134 16 126
253 39 306
108 20 154
163 20 156
230 56 446
181 25 198
229 54 432
221 28 224
216 57 456
218 34 272
108 21 163
113 12 93
63 6 48
135 26 205
117 21 167
215 53 424
142 49 392
79 8 60
193 29 228
68 6 42
292 57 455
167 28 221
172 45 360
163 23 177
217 46 365
214 47 375
91 11 88
565 74 592
316 40 316
300 46 366
202 41 323
242 51 404
110 22 169
260 44 345
209 45 356
205 48 383
316 65 517
106 9 67
231 42 335
403 49 389
153 15 116
271 57 450
56 7 52
77 8 61
251 35 273
157 42 331
112 13 99
157 19 151
212 34 269
449 62 490
167 44 348
163 46 366
189 21 165
161 18 139
195 44 352
213 27 214
66 6 44
340 54 430
176 28 222
181 28 219
243 51 401
134 32 252
326 45 353
239 51 401
199 47 373
367 57 449
173 41 323
291 38 303
226 39 307
131 18 141
48 4 30
147 35 280
248 29 227
224 32 256
63 7 53
238 47 369
98 12 95
304 44 349
140 15 114
287 47 373
155 45 353
162 21 165
68 8 62
30 3 17
286 44 351
146 38 301
117 36 284
557 69 546
228 36 281
100 17 129
94 12 95
227 45 360
193 22 173
229 36 282
138 37 294
163 43 339
235 50 395
228 33 260
58 6 45
93 15 115
229 34 270
177 21 161
151 26 201
99 10 76
8 1 3
169 33 259
168 30 233
216 25 198
129 20 156
213 29 229
298 43 342
68 10 79
167 42 335
192 37 292
184 39 308
137 15 113
247 44 350
220 28 220
107 13 97
80 10 76
164 27 212
45 3 22
201 43 337
167 37 296
180 37 289
318 48 380
177 24 192
95 11 88
131 17 130
143 35 277
100 10 73
106 10 77
161 32 254
134 34 270
227 27 213
156 36 282
157 28 223
131 35 279
320 46 366
69 8 62
149 22 170
199 36 285
51 5 35
87 9 68
158 20 155
136 24 192
198 40 316
96 30 236
177 28 221
157 25 195
89 31 246
282 49 387
157 25 197
75 7 56
226 43 340
138 31 245
276 41 321
147 38 297
69 11 83
149 34 272
215 41 322
159 23 179
128 20 160
144 30 233
126 24 190
138 36 287
81 8 64
112 22 172
73 9 65
22 2 11
109 34 267
103 12 93
136 32 251
71 7 56
126 19 151
119 17 129
112 14 108
154 24 187
122 12 91
194 36 285
168 23 182
34 3 17
91 9 71
180 30 238
191 35 278
150 20 154
229 29 225
177 34 268
100 29 226
28 2 15
243 29 230
133 35 280
150 31 242
37 3 22
154 34 266
128 34 266
40 3 20
158 16 128
212 35 273
137 14 109
129 33 259
133 31 241
125 22 170
131 16 124
75 14 110
141 30 238
80 10 80
99 11 88
64 5 40
94 31 245
258 31 244
296 37 294
74 7 52
194 38 304
72 7 55
132 34 265
88 10 80
43 3 21
94 11 86
76 13 104
188 36 286
177 34 265
28 3 17
126 31 246
156 22 170
83 11 87
64 6 47
67 8 63
45 4 30
183 38 300
245 34 272
155 32 253
161 23 182
60 5 39
145 31 243
154 35 274
145 16 125
119 28 219
44 4 32
309 45 354
122 34 266
131 15 114
136 16 128
118 13 100
136 32 254
173 35 276
