nodesPerPartition bytesPerNode cliquesPerPartition
209 46 362
175 37 293
202 34 265
119 21 168
270 32 249
86 28 223
98 20 154
146 24 191
105 13 98
206 18 144
220 26 201
344 25 196
112 19 146
177 21 166
123 14 112
84 16 121
107 17 135
183 15 114
86 9 65
119 20 154
137 12 92
104 13 100
92 14 110
201 21 168
141 17 132
82 8 58
134 20 153
65 7 53
72 7 56
181 15 119
132 16 121
123 15 118
245 20 159
92 6 47
182 20 157
222 20 157
76 9 67
138 12 93
114 11 87
127 18 140
87 8 58
89 6 46
103 15 115
103 14 108
118 11 86
130 16 127
144 17 136
165 18 139
68 8 60
110 9 66
122 10 77
104 9 71
76 11 87
158 13 98
98 13 97
222 17 132
65 6 46
269 17 135
120 12 89
86 11 82
78 6 45
158 14 110
85 7 54
72 5 37
128 10 79
136 15 115
173 16 128
112 16 122
202 16 121
42 6 46
128 7 54
111 11 82
202 14 107
163 14 112
62 7 54
118 7 49
178 14 109
51 4 28
62 4 29
117 13 101
206 14 105
55 4 28
209 15 119
121 15 120
113 12 92
181 15 119
101 12 96
145 11 85
28 2 14
153 15 120
66 5 39
147 15 118
49 5 35
52 4 30
86 11 88
97 8 64
79 10 74
185 14 109
67 6 46
38 4 25
81 7 51
49 4 28
134 15 113
117 8 63
56 4 32
161 14 110
51 7 50
192 14 112
128 14 110
118 11 86
74 8 57
136 14 107
228 14 110
59 6 48
156 14 105
58 4 32
54 6 41
55 5 40
56 5 40
141 14 106
128 12 90
67 8 59
77 9 65
158 13 103
120 10 80
165 14 105
93 7 53
146 13 103
37 2 13
116 12 89
71 6 44
85 8 60
42 5 33
65 6 47
153 13 101
82 9 70
117 13 98
97 8 59
113 11 83
101 12 96
167 12 94
53 6 43
92 9 72
84 8 64
175 12 96
129 12 96
91 7 53
95 12 94
167 12 89
120 12 95
43 4 25
38 4 26
56 5 35
128 9 68
166 12 94
85 11 83
125 12 91
133 10 74
107 8 59
89 10 77
118 11 86
140 10 77
71 8 58
201 12 91
116 12 90
84 8 57
57 6 42
37 4 30
94 10 74
99 12 90
103 11 87
27 2 16
56 6 44
42 4 25
109 11 88
122 11 83
120 9 66
123 9 70
90 10 76
89 11 87
36 4 26
134 11 87
102 9 67
145 11 85
113 6 44
37 3 20
262 11 85
99 7 49
71 8 57
109 9 69
110 7 51
144 11 84
148 11 85
92 11 83
113 10 78
79 6 45
77 9 69
39 2 16
93 10 78
54 5 35
43 5 33
46 3 21
107 11 81
65 6 45
126 10 76
