nodesPerPartition bytesPerNode cliquesPerPartition
287 7 56
955 9 64
609 4 32
46 1 3
804 9 72
190 13 68
44 1 6
112 1 5
420 15 120
72 1 5
121 5 31
189 4 32
89 3 24
18 1 2
202 21 104
129 1 7
89 1 7
25 1 2
76 1 6
142 2 16
20 1 2
17 1 1
356 8 55
305 3 13
234 9 51
55 3 16
773 4 32
178 2 15
60 1 8
44 1 8
89 2 8
37 1 5
59 2 10
100 1 3
109 1 3
498 7 56
12 1 2
538 9 56
7 1 1
1189 8 56
250 1 8
19 1 3
72 2 6
721 5 40
67 1 2
474 10 61
133 1 1
461 4 29
452 8 54
954 7 51
11 1 2
185 1 8
306 2 15
209 2 13
436 7 56
14 1 1
431 8 51
24 1 3
31 1 8
92 2 10
494 5 40
11 1 2
69 1 7
77 2 13
10 1 3
148 3 13
184 1 7
328 10 64
120 2 13
35 1 7
419 3 24
5 1 2
23 1 4
141 2 16
112 1 8
20 1 1
297 4 22
221 1 8
518 3 24
161 8 41
589 5 37
56 1 2
28 1 2
10 1 1
136 1 4
97 1 8
143 2 14
80 1 6
153 3 12
114 1 4
82 1 3
62 1 3
96 1 5
5 1 5
101 1 2
32 1 2
33 1 2
34 1 2
116 1 6
44 1 6
102 2 16
40 1 5
29 1 1
206 4 16
1084 2 16
692 3 24
310 5 32
214 4 18
383 2 11
256 1 8
545 4 30
537 4 32
578 7 42
291 5 24
104 2 14
120 1 8
1101 2 16
29 1 6
171 1 8
244 3 24
385 5 33
282 2 16
75 1 2
68 1 6
51 1 8
377 4 29
49 1 8
21 1 8
237 2 16
126 4 13
475 2 16
49 1 3
36 1 2
53 1 5
187 2 16
244 4 32
1013 4 22
154 1 8
46 1 4
147 2 16
5 1 1
253 4 18
35 2 10
36 1 1
881 3 24
14 1 2
601 2 16
222 2 16
82 1 8
24 1 3
203 1 8
395 5 29
45 1 7
258 1 8
224 5 29
106 1 5
296 3 15
58 1 2
49 1 2
72 1 5
84 1 6
117 1 3
140 1 7
78 1 7
239 1 3
97 1 2
856 6 41
222 4 24
18 1 7
74 1 5
95 1 3
58 1 3
93 1 4
40 1 4
197 3 18
232 2 11
213 2 8
19 1 1
241 2 16
28 1 1
139 3 15
151 1 4
71 1 3
574 7 54
43 1 5
67 1 6
126 1 4
235 10 41
450 5 28
843 4 32
80 1 4
70 1 8
599 3 24
453 12 66
53 2 9
42 1 5
83 1 8
471 1 8
15 1 2
32 1 3
241 2 16
6 1 3
24 1 1
648 3 24
428 8 28
175 3 16
517 2 16
69 1 6
118 1 3
132 1 4
27 1 2
71 1 5
74 1 8
69 2 16
22 1 2
49 1 8
473 3 17
162 1 5
17 1 5
168 1 8
50 1 7
180 3 16
187 1 4
34 1 4
121 1 8
75 1 8
146 2 14
61 1 2
59 1 3
163 3 24
48 1 5
198 5 23
37 1 3
21 1 2
30 1 4
52 1 2
31 1 2
35 1 5
114 1 8
49 1 8
121 2 16
41 1 2
598 3 19
57 1 3
67 1 2
43 1 3
144 2 9
425 2 10
300 2 16
82 1 3
34 1 3
69 1 6
216 3 17
38 1 4
36 1 2
101 1 7
65 1 7
15 1 7
59 1 8
209 2 15
486 2 16
40 1 7
181 1 4
206 6 22
128 1 8
234 1 8
137 1 8
669 3 21
549 3 15
740 2 16
661 6 38
102 2 8
62 1 7
29 1 7
88 1 8
256 2 14
106 1 7
308 2 16
169 1 8
397 3 17
711 3 24
125 3 24
29 1 2
237 2 13
60 1 3
21 1 2
47 1 4
25 1 4
209 3 18
152 2 12
82 1 6
306 1 8
45 1 3
78 1 4
11 1 1
48 1 8
314 3 16
22 1 6
58 1 3
63 1 5
78 1 4
239 1 6
261 1 8
156 4 12
124 1 8
17 1 1
161 2 16
53 1 6
248 5 37
181 5 26
45 1 4
301 1 8
73 2 4
237 2 14
52 1 7
51 1 8
43 2 14
196 1 8
84 1 8
325 2 9
26 1 3
307 2 16
53 2 11
122 2 16
350 6 32
39 1 7
303 2 16
46 1 4
30 1 4
68 1 5
254 3 21
260 2 16
29 1 5
421 4 24
97 1 8
339 4 24
78 1 3
14 1 3
4 1 1
57 1 3
196 4 28
11 1 6
9 1 6
34 1 2
41 1 1
76 2 15
48 1 6
12 1 3
133 1 3
16 1 1
58 1 3
41 1 3
286 3 15
24 1 6
140 1 7
130 1 4
144 2 11
84 1 8
109 1 7
112 2 12
31 1 7
24 1 7
304 3 17
117 1 7
303 2 13
24 1 2
8 1 1
463 5 34
38 1 4
22 1 4
25 1 4
46 1 2
10 1 1
439 3 21
9 1 2
34 1 3
99 2 13
410 2 13
282 2 13
94 1 7
271 3 16
245 2 10
130 1 8
146 1 6
67 1 4
240 2 9
94 2 6
