nodesPerPartition bytesPerNode cliquesPerPartition
202 21 130
82 2 2
408 17 91
65 2 16
62 3 12
100 1 5
369 9 72
11 1 1
208 5 40
190 13 61
99 3 5
496 13 91
453 12 85
261 3 15
5 1 3
61 1 8
120 2 5
206 6 40
104 3 20
69 1 4
235 10 64
18 1 2
14 1 1
328 10 45
417 6 40
53 2 4
13 1 1
955 9 64
609 4 32
148 3 24
253 4 32
191 9 65
1007 9 65
538 9 65
804 9 65
225 9 49
107 4 17
36 1 4
37 1 1
428 8 62
1189 8 59
297 4 32
96 1 1
356 8 57
222 4 26
144 3 16
198 4 32
91 2 16
431 8 59
689 8 56
661 6 48
76 1 4
22 1 2
71 1 3
14 1 1
788 7 45
15 1 3
73 2 5
612 6 48
374 6 48
287 7 33
218 4 18
7 1 2
11 1 1
351 4 22
30 1 6
35 1 1
174 3 14
83 1 8
33 2 3
236 3 16
214 4 32
76 2 9
31 2 8
17 1 5
42 2 10
181 7 40
76 1 3
392 6 32
461 5 40
305 3 24
46 1 5
151 3 24
47 1 2
83 7 31
35 3 11
26 1 2
25 1 1
436 7 42
350 6 34
287 4 32
196 3 24
856 6 41
171 3 15
203 2 12
83 2 12
221 3 24
292 5 36
92 2 6
156 4 16
45 1 3
175 2 16
77 2 16
112 1 8
66 1 7
112 2 14
61 1 8
19 1 8
146 2 14
72 1 6
12 1 4
37 1 6
102 2 5
315 6 27
35 1 1
270 4 32
332 2 16
53 1 3
18 1 2
62 2 16
132 6 26
63 1 6
138 4 23
140 2 16
114 1 8
73 1 8
255 3 17
147 3 24
176 1 5
101 1 6
369 5 38
184 5 25
150 2 10
44 1 6
11 1 1
61 2 11
52 1 4
507 4 29
232 5 19
656 4 32
257 5 36
60 2 5
293 5 38
25 1 8
101 5 25
25 1 2
42 1 3
698 5 35
221 1 8
424 4 25
55 1 6
45 1 1
887 5 37
249 4 24
240 5 30
34 1 1
181 5 36
248 5 28
62 1 6
17 1 5
39 1 6
306 1 8
66 1 8
194 3 17
170 4 32
41 1 7
56 1 8
52 5 28
24 1 4
72 1 3
26 1 2
159 5 33
189 2 16
377 4 24
51 1 3
245 2 16
49 1 5
218 5 32
44 1 3
183 3 19
113 1 6
139 5 27
91 2 16
23 1 8
19 1 8
32 5 20
519 3 24
232 2 16
848 4 32
228 2 16
589 5 25
34 1 8
12 1 6
48 2 11
52 1 8
13 1 2
132 2 16
72 1 8
310 5 35
48 1 3
24 1 1
427 1 8
53 1 4
49 1 7
29 1 8
8 1 7
27 2 7
164 4 25
198 3 24
446 4 27
81 3 17
881 3 24
40 1 7
11 1 2
72 1 6
61 1 5
223 2 11
147 2 9
103 1 7
39 1 2
89 1 3
76 1 8
47 2 12
33 2 7
24 1 1
318 4 31
336 4 23
229 1 8
29 1 2
17 1 3
631 2 16
171 1 8
103 2 14
32 1 7
106 1 1
461 4 26
162 1 6
47 1 6
42 1 6
216 3 24
70 1 8
24 2 4
55 1 4
46 1 1
305 4 24
8 1 2
11 1 2
16 1 8
228 3 18
107 1 8
118 3 13
70 1 5
69 1 8
312 1 5
119 1 3
123 3 16
245 1 8
133 1 3
215 4 24
24 1 1
114 2 16
37 1 3
