nodesPerPartition bytesPerNode cliquesPerPartition
95 1 2
113 1 2
55 1 2
33 1 2
153 1 3
18 1 3
155 1 2
247 1 2
99 1 2
76 1 2
156 1 2
89 1 2
71 1 2
47 1 2
64 1 2
172 1 3
121 1 2
52 1 2
50 1 2
50 1 2
44 1 2
78 1 2
42 1 2
36 1 2
30 1 2
151 1 2
27 1 2
21 1 2
33 1 2
32 1 2
175 1 2
28 1 2
25 1 2
22 1 2
20 1 2
18 1 2
21 1 2
17 1 2
12 1 2
20 1 2
21 1 2
18 1 2
16 1 2
227 1 2
13 1 2
12 1 2
14 1 2
7 1 2
10 1 2
10 1 2
11 1 2
7 1 2
6 1 2
7 1 2
8 1 2
8 1 2
7 1 2
5 1 2
5 1 2
5 1 2
5 1 2
5 1 2
3 1 2
99 1 2
239 1 2
112 1 2
169 1 2
83 1 2
104 1 4
119 1 2
168 1 3
258 1 4
229 1 3
128 1 3
132 1 3
151 1 2
151 1 2
9 1 1
250 1 3
44 1 3
216 1 3
91 1 3
149 1 3
268 1 3
127 1 2
151 1 3
96 1 3
109 1 2
248 1 4
84 1 4
63 1 4
162 1 3
102 1 3
82 1 3
66 1 3
53 1 2
27 1 2
126 1 3
363 1 4
83 1 4
222 1 3
109 1 3
45 1 3
39 1 3
35 1 3
35 1 3
45 1 2
11 1 2
10 1 2
75 1 2
20 1 2
4 1 2
15 1 2
20 1 1
112 1 3
20 1 3
21 1 3
24 1 3
46 1 3
20 1 3
11 1 2
8 1 2
140 1 3
21 1 3
14 1 3
12 1 3
13 1 3
10 1 3
9 1 2
15 1 2
107 1 4
162 1 2
61 1 2
10 1 2
183 1 3
57 1 2
56 1 2
48 1 2
7 1 2
7 1 2
89 1 3
366 1 4
86 1 4
48 1 4
176 1 3
98 1 3
51 1 2
68 1 4
130 1 2
121 1 2
87 1 2
109 1 2
94 1 2
102 1 3
105 1 2
68 1 2
130 1 2
117 1 7
27 1 7
188 1 3
41 1 3
99 1 3
89 1 3
167 1 3
178 1 4
47 1 2
53 1 2
71 1 3
49 1 3
119 1 2
14 1 2
93 1 5
75 1 5
131 1 2
98 1 2
106 1 4
72 1 4
71 1 2
71 1 4
12 1 2
33 1 4
33 1 2
91 1 2
100 1 3
37 1 2
35 1 3
41 1 3
73 1 2
75 1 2
87 1 5
25 1 5
152 1 4
30 1 2
60 1 2
29 1 2
164 1 3
130 1 6
48 1 6
11 1 4
18 1 6
216 1 5
221 1 4
50 1 4
44 1 4
152 1 4
19 1 2
91 1 2
89 1 2
42 1 2
43 1 2
118 1 2
68 1 2
51 1 2
138 1 2
13 1 2
107 1 2
162 1 3
120 1 7
92 1 7
5 1 7
4 1 7
184 1 5
79 1 3
74 1 3
51 1 2
83 1 3
118 1 2
155 1 3
95 1 3
39 1 2
77 1 4
87 1 3
87 1 2
159 1 2
94 1 2
60 1 2
17 1 2
31 1 2
54 1 2
127 1 3
11 1 2
51 1 3
6 1 3
144 1 6
96 1 8
42 1 8
34 1 8
206 2 8
27 1 2
32 1 2
82 1 3
73 1 4
30 1 4
136 1 2
40 1 2
161 1 3
46 1 3
9 1 3
123 1 4
134 1 2
14 1 2
226 1 2
11 1 2
107 1 2
61 1 2
50 1 2
130 1 2
53 1 2
42 1 2
67 1 2
73 1 3
115 1 2
52 1 2
115 1 8
267 2 12
8 1 8
159 2 12
135 1 5
62 1 5
42 1 5
182 1 3
157 1 4
87 1 4
146 1 3
36 1 2
75 1 2
42 1 2
102 1 3
148 1 4
138 1 4
118 1 6
62 1 6
29 1 6
204 1 4
116 1 4
49 1 3
19 1 3
70 1 2
86 1 3
138 1 5
18 1 5
115 1 2
85 1 2
64 1 2
54 1 2
93 1 2
36 1 2
14 1 2
80 1 2
46 1 2
118 1 2
154 1 8
30 1 4
63 1 8
129 1 4
122 1 4
62 1 4
127 1 5
92 1 2
110 1 2
142 1 3
11 1 3
10 1 3
114 1 5
35 1 2
9 1 1
60 1 2
57 1 8
43 1 8
305 2 12
5 1 1
121 1 2
9 1 2
54 1 2
79 1 6
120 1 3
31 1 2
23 1 2
23 1 2
67 1 2
38 1 2
49 1 4
151 1 4
112 1 4
65 1 2
47 1 2
54 1 2
6 1 1
56 1 2
14 1 2
98 1 6
136 1 3
117 1 2
115 1 3
123 1 3
57 1 3
83 1 3
154 1 3
15 1 3
83 1 2
113 1 3
40 1 2
44 1 3
107 1 2
119 1 2
165 1 3
68 1 3
81 1 3
28 1 1
83 1 2
124 1 3
10 1 3
63 1 3
40 1 3
148 1 3
146 1 8
154 2 6
79 1 3
117 1 3
43 1 2
52 1 8
20 1 2
25 1 8
123 1 2
34 1 2
48 1 2
39 1 2
23 1 2
5 1 1
48 1 5
81 1 3
42 1 2
68 1 2
15 1 2
31 1 2
29 1 3
152 1 3
36 1 2
69 1 3
73 1 2
115 1 5
130 1 3
50 1 3
46 1 2
110 1 2
35 1 2
54 1 2
21 1 2
88 1 3
150 1 4
131 1 3
108 1 3
17 1 2
24 1 2
77 1 2
84 1 2
34 1 2
26 1 2
42 1 3
34 1 3
20 1 2
23 1 2
11 1 2
71 1 5
165 1 5
130 1 5
120 1 4
31 1 4
28 1 2
46 1 3
84 1 6
122 1 3
66 1 2
42 1 2
39 1 4
39 1 2
97 1 3
77 1 2
16 1 2
86 1 4
71 1 4
63 1 2
47 1 2
69 1 2
75 1 2
29 1 2
83 1 3
65 1 2
23 1 1
53 1 8
120 1 2
97 1 2
41 1 2
74 1 5
31 1 3
24 1 5
26 1 4
13 1 4
89 1 4
58 1 3
52 1 3
92 1 4
15 1 2
67 1 4
113 1 2
60 1 2
101 1 4
39 1 2
64 1 5
108 1 2
124 1 4
101 1 4
105 1 3
58 1 3
47 1 2
13 1 2
26 1 2
46 1 2
26 1 2
11 1 2
16 1 2
61 1 2
75 1 3
98 1 2
82 1 3
17 1 3
32 1 2
33 1 3
84 1 2
79 1 3
137 1 2
34 1 2
175 1 4
27 1 2
5 1 2
10 1 1
62 1 4
21 1 4
113 1 4
90 1 4
90 1 2
22 1 2
24 1 2
175 1 3
44 1 2
