nodesPerPartition bytesPerNode cliquesPerPartition
3300 114 434
735 47 277
807 32 123
343 12 43
219 4 20
1203 22 161
189 7 30
161 4 6
690 13 88
33 1 2
35 1 8
78 2 8
49 1 4
20 1 3
35 1 4
78 1 1
448 14 112
126 1 3
238 3 16
43 1 8
191 9 54
401 33 197
118 4 32
400 17 116
111 2 16
170 4 32
30 1 8
218 13 100
92 2 11
33 1 2
38 1 5
181 4 26
130 4 32
48 1 3
63 1 7
146 19 93
79 3 16
52 2 9
46 1 8
57 2 4
7 1 3
930 11 88
61 2 3
290 7 56
232 2 15
331 22 91
193 3 22
510 12 62
18 1 5
270 8 49
61 1 6
134 6 27
258 3 10
568 20 117
114 1 6
32 1 1
182 15 56
100 1 3
757 14 79
44 1 8
35 1 2
33 1 3
305 10 74
19 1 2
162 3 17
156 4 8
65 1 1
646 15 77
534 11 71
92 2 9
38 1 2
98 1 5
518 9 72
271 7 56
1684 19 119
766 15 67
24 1 2
225 1 5
34 1 2
235 4 32
154 8 38
216 2 7
304 15 62
595 8 32
690 6 48
299 10 64
9 1 4
33 1 1
170 1 2
1126 10 80
249 2 15
666 10 80
94 4 27
471 4 32
44 2 6
522 13 64
160 2 14
37 1 4
79 2 4
282 1 8
10 1 3
336 7 55
720 8 63
142 2 16
150 4 19
141 2 11
37 1 3
66 2 12
70 2 13
66 2 4
270 5 27
39 1 7
218 4 30
166 4 17
31 1 5
63 1 8
206 2 9
404 13 80
57 1 6
31 1 6
21 1 6
107 2 8
51 1 7
144 2 16
103 2 16
55 4 18
82 3 15
394 9 60
74 1 8
380 7 56
13 1 1
1136 20 80
36 1 8
76 2 3
566 12 80
374 7 56
1042 12 81
68 1 8
11 1 8
41 1 5
23 1 1
153 3 18
26 1 1
221 11 48
22 1 3
525 4 23
280 5 21
29 1 8
128 3 17
80 1 6
76 1 8
111 2 4
10 1 2
268 4 32
189 5 27
31 1 8
86 2 14
65 1 7
148 1 8
102 2 12
154 8 29
61 1 8
13 1 2
76 2 9
82 2 12
43 1 4
11 1 4
76 2 16
132 3 24
216 5 25
31 1 2
131 1 5
10 1 1
207 3 20
397 3 24
278 8 30
147 3 16
28 1 3
115 3 18
45 1 5
67 1 8
129 2 12
113 2 5
98 1 3
15 1 3
21 1 2
23 1 3
483 11 44
27 1 4
259 6 32
176 5 40
65 2 8
53 1 8
91 2 11
99 2 14
43 1 7
369 6 33
169 2 16
37 1 5
14 1 4
160 3 19
56 2 9
23 1 8
79 2 14
94 3 20
141 1 8
52 2 1
702 9 54
80 2 6
322 9 53
376 4 24
67 1 6
50 1 6
102 4 17
811 2 16
168 4 32
303 10 70
71 2 4
141 1 8
366 4 32
145 2 11
139 9 47
29 1 5
46 1 3
59 1 7
52 1 7
38 1 2
296 6 44
186 4 31
320 6 21
97 2 5
317 3 24
623 11 56
58 2 6
263 2 16
159 1 6
123 3 24
8 1 2
26 1 3
279 7 34
51 2 11
155 2 16
78 1 8
70 1 5
33 1 3
638 6 41
247 2 14
35 1 7
76 1 5
36 1 5
437 7 29
111 2 6
555 5 32
98 1 4
16 1 1
63 1 4
9 1 4
266 5 24
109 2 11
74 1 8
56 1 8
49 2 4
68 1 2
161 1 7
49 1 5
36 1 5
60 2 9
20 1 3
128 2 16
128 2 9
32 1 8
135 1 8
120 2 10
230 3 24
229 2 16
9 1 4
128 4 19
211 1 8
80 2 16
123 3 10
34 1 3
103 2 10
25 1 5
95 1 8
17 1 8
83 2 2
427 6 45
61 1 8
41 2 7
151 1 8
210 6 27
376 3 24
394 7 29
33 1 5
147 3 17
118 3 16
28 1 4
79 1 5
45 1 4
24 1 4
62 1 8
163 3 12
144 1 4
39 1 4
19 1 4
122 1 7
14 1 1
216 3 24
436 6 37
7 1 2
8 1 2
18 1 4
323 4 28
18 1 3
58 1 5
49 1 7
17 1 3
186 1 8
21 1 8
64 2 16
235 4 30
91 3 16
223 2 16
7 1 1
85 3 19
79 2 6
382 5 40
34 1 1
432 10 42
34 1 3
22 1 3
25 1 4
60 1 8
463 4 24
98 1 7
29 1 4
234 3 17
242 1 8
39 1 5
110 2 9
95 2 8
26 1 5
98 1 5
141 1 7
34 1 6
53 1 3
12 1 1
368 7 29
47 1 3
341 6 38
63 2 9
62 1 1
362 5 40
18 1 4
51 1 7
47 1 8
235 4 27
216 6 36
104 3 7
8 1 2
14 1 3
544 8 48
286 4 23
38 1 7
65 1 8
81 2 7
201 1 8
21 1 2
6 1 1
64 2 14
70 1 5
242 4 32
521 7 31
78 2 12
59 2 8
90 1 8
48 1 8
100 2 14
16 1 7
62 1 7
178 4 16
35 1 6
57 1 8
120 2 14
158 3 24
59 1 7
104 1 8
101 2 16
139 5 40
202 8 34
214 2 15
66 1 4
87 1 8
21 1 6
21 1 1
184 3 14
19 1 4
73 1 8
187 2 8
9 1 2
28 1 2
189 2 15
28 1 6
97 3 19
12 1 2
14 1 2
194 3 24
906 10 57
516 4 32
272 6 32
102 1 3
350 7 45
26 1 8
123 2 15
502 7 52
103 1 7
170 2 12
94 2 9
8 1 3
374 1 8
32 1 4
48 1 8
38 2 4
232 2 16
41 1 2
190 6 32
262 7 48
45 1 3
61 1 5
118 5 22
53 1 6
78 1 8
70 2 7
620 10 46
106 3 15
83 1 8
120 1 8
70 2 15
76 2 16
350 8 41
156 5 12
336 3 16
180 2 10
33 1 5
20 1 2
30 1 3
57 1 8
82 2 10
125 3 14
200 1 8
55 2 13
75 2 16
376 5 40
82 1 4
34 1 3
17 1 2
183 1 8
22 1 2
45 1 8
19 1 8
150 3 24
60 2 16
25 1 2
12 1 1
356 8 63
83 1 6
48 1 5
14 1 1
33 1 2
35 1 7
79 1 5
25 1 3
41 1 4
35 1 1
224 5 40
67 2 7
58 1 2
137 3 24
451 14 39
204 2 11
114 5 16
60 1 2
354 2 10
40 1 2
39 1 6
113 1 1
1224 4 32
54 1 3
184 3 24
30 1 8
55 1 6
21 1 6
59 1 2
134 4 15
37 1 4
22 1 2
19 1 6
33 1 6
81 1 4
30 1 4
151 1 3
403 5 28
138 3 24
169 5 22
139 3 22
105 3 10
267 2 10
68 1 6
19 1 6
63 1 6
100 1 6
7 1 1
104 1 8
107 2 9
87 1 5
25 1 3
169 2 16
36 1 3
152 2 15
193 2 14
29 1 4
79 2 9
15 1 5
86 2 10
148 6 25
99 1 8
327 4 23
12 1 3
62 1 4
105 1 8
46 1 8
70 3 21
18 1 4
157 3 20
400 2 14
38 1 1
169 2 12
53 1 8
64 1 8
114 1 7
20 1 4
23 1 3
387 4 22
93 1 5
82 1 8
36 2 6
26 1 3
137 1 8
30 1 3
194 3 21
149 2 3
877 4 24
95 1 5
30 1 3
73 3 12
23 1 4
32 1 8
103 2 11
71 1 7
204 3 16
36 1 6
55 2 16
141 3 11
10 1 4
40 1 4
113 1 3
44 1 2
16 1 1
77 2 5
15 1 2
124 1 4
105 1 8
34 1 4
117 2 16
27 1 1
152 4 18
52 1 8
14 1 4
118 3 24
218 5 19
64 1 5
45 1 2
82 1 8
256 2 16
211 4 17
80 1 8
64 1 8
96 2 8
82 1 4
84 1 8
25 1 4
6 1 4
22 1 3
50 2 6
76 1 6
169 2 16
232 3 24
103 2 6
37 1 3
28 1 3
49 1 5
51 1 2
134 6 38
224 3 19
163 2 7
63 1 1
276 12 53
22 1 3
149 3 24
37 1 6
12 1 6
32 1 5
16 1 2
42 1 4
69 1 6
263 7 41
203 6 32
17 1 4
54 1 7
28 1 7
92 1 7
90 3 19
39 1 7
65 1 8
121 2 16
79 3 12
32 1 3
57 2 11
12 1 3
316 3 23
102 3 13
24 1 4
130 1 8
11 1 3
44 1 8
116 3 22
244 4 24
84 2 16
223 3 17
182 3 24
58 1 5
24 1 5
131 1 8
114 6 20
60 1 8
88 1 3
65 1 4
82 3 10
52 2 9
44 1 3
227 3 24
53 1 8
19 1 8
