nodesPerPartition bytesPerNode cliquesPerPartition
3300 114 466
448 14 96
1688 54 301
815 18 144
665 32 203
334 9 72
365 15 120
236 6 48
181 2 15
506 32 165
211 12 80
265 11 88
222 14 89
930 11 88
228 10 77
307 10 72
17 1 3
90 2 15
150 3 11
54 1 5
182 15 90
75 2 4
757 14 112
51 1 8
211 4 24
33 1 6
165 3 13
35 1 7
124 1 8
49 1 8
73 2 6
18 1 0
331 22 160
20 1 1
1136 20 159
568 20 114
18 1 7
659 14 112
270 8 64
146 19 147
1684 19 91
143 2 6
534 11 60
79 2 16
134 6 27
258 3 16
259 4 18
57 2 4
218 4 9
648 6 40
49 1 2
452 8 33
237 2 16
517 4 32
78 1 4
188 5 21
158 3 20
162 3 17
192 8 34
86 1 7
402 3 24
29 1 1
154 8 64
646 15 110
43 1 2
766 15 96
88 3 7
40 1 5
103 1 2
451 14 42
982 10 75
28 1 3
470 14 95
19 1 3
103 2 15
72 2 7
32 1 2
286 13 95
35 1 5
350 12 88
404 13 104
549 13 89
44 1 2
347 7 56
74 1 8
210 6 48
522 13 88
43 1 8
144 3 22
41 1 7
315 5 33
268 9 64
232 4 32
1042 12 59
156 4 14
319 6 48
384 8 64
702 9 40
720 8 40
181 5 40
590 10 71
126 4 8
483 11 87
623 11 75
107 2 10
57 1 2
221 11 76
322 10 48
24 1 8
79 2 14
78 2 5
233 8 39
215 4 32
76 1 7
57 1 7
369 6 38
34 1 1
189 6 36
16 1 5
61 1 8
299 7 31
182 5 22
167 3 15
33 1 4
276 6 48
980 10 60
22 1 7
88 1 4
65 1 2
330 5 40
61 1 8
298 10 49
8 1 1
192 4 16
52 2 15
363 2 16
113 2 15
666 10 76
620 10 48
237 2 9
10 1 3
8 1 3
80 2 5
367 4 32
544 8 42
12 1 3
176 2 12
146 1 7
21 1 6
21 1 4
19 1 7
172 4 13
144 2 12
230 2 16
160 3 20
151 3 17
203 3 24
55 4 7
684 5 27
633 6 38
254 5 25
57 1 4
239 5 34
362 5 34
44 1 3
394 7 45
38 1 6
103 4 26
10 1 1
128 3 18
36 1 8
59 2 6
20 1 1
297 6 46
136 6 18
11 1 4
30 1 6
110 2 10
11 1 1
228 3 19
97 3 13
66 2 10
139 9 37
211 4 32
26 1 8
58 2 5
19 1 1
322 9 38
101 2 13
189 2 15
102 2 14
180 4 16
120 1 2
15 1 1
718 2 16
94 4 17
83 2 5
170 4 32
82 2 10
53 2 9
160 9 54
82 3 23
46 1 4
253 7 29
21 1 6
196 4 30
366 4 24
29 1 2
235 5 40
30 1 3
25 1 7
27 1 5
518 9 46
200 4 32
353 8 53
94 3 20
147 3 13
76 2 11
62 1 8
127 2 16
279 7 31
67 1 2
32 1 2
31 1 2
7 1 1
339 7 31
13 1 5
181 3 24
76 2 11
80 2 10
50 1 5
26 1 1
182 5 24
36 1 4
105 3 24
24 1 8
69 2 16
137 4 32
86 3 24
53 1 2
85 1 8
294 7 33
356 8 25
47 1 2
24 1 1
368 3 24
434 6 48
51 1 4
33 1 4
33 1 8
23 1 8
87 2 7
27 1 1
336 8 33
14 1 2
14 1 4
118 3 15
206 2 16
110 2 16
182 3 16
119 4 24
90 1 4
51 1 3
159 4 32
22 1 3
127 2 13
521 7 45
27 1 2
314 2 16
96 1 4
142 6 40
127 3 24
263 7 55
323 7 33
107 1 8
324 4 32
184 4 32
381 6 25
87 1 8
112 2 16
106 3 21
198 3 20
58 1 2
26 1 1
141 3 12
28 1 5
43 1 6
263 2 15
43 1 4
15 1 3
288 3 17
63 2 8
206 1 8
128 2 9
98 1 8
58 2 9
18 1 4
80 2 16
95 1 8
11 1 2
10 1 4
353 6 37
102 1 8
36 1 8
267 2 15
218 2 16
228 4 32
350 7 36
37 1 3
246 4 32
59 2 7
35 1 6
63 1 3
237 5 32
109 2 11
123 3 13
148 6 48
59 1 7
29 1 2
29 1 6
81 1 4
141 3 24
262 7 29
32 1 1
95 2 8
135 1 8
187 4 22
160 2 14
60 1 8
38 2 10
83 2 7
94 1 3
17 1 1
289 3 23
102 3 9
39 2 8
35 1 3
149 3 14
199 5 24
7 1 2
99 1 8
66 2 13
24 1 3
166 5 24
502 7 40
34 1 2
218 4 26
60 2 9
52 1 1
331 6 26
73 1 6
62 1 3
373 6 40
36 2 1
321 7 39
116 5 40
100 1 2
283 5 26
55 2 3
351 7 49
271 7 46
302 4 26
12 1 4
28 1 5
45 1 7
11 1 2
148 1 8
27 1 7
180 4 31
201 4 32
33 1 7
16 1 7
176 5 31
146 1 8
28 1 1
308 7 23
54 1 7
94 3 18
97 3 12
36 1 7
71 1 4
46 1 5
165 2 16
137 3 16
80 1 4
262 4 32
171 6 34
48 1 6
46 1 8
64 2 10
58 2 6
179 4 24
290 5 32
70 1 6
185 1 8
128 2 16
192 4 32
31 1 5
49 1 5
203 6 32
352 5 24
202 2 16
66 3 19
232 5 34
49 1 8
61 6 28
138 2 3
268 5 38
22 1 8
36 2 6
33 1 3
166 4 32
57 2 8
31 1 2
26 1 7
133 1 5
54 1 3
247 6 46
11 1 2
38 1 3
73 1 8
52 2 15
32 1 4
84 6 22
32 1 8
57 2 15
90 3 24
196 3 16
62 2 16
150 3 24
165 5 25
220 4 24
19 1 5
252 6 38
191 2 9
63 1 8
57 2 8
57 1 6
102 1 3
52 1 2
196 5 27
116 4 18
94 2 16
13 1 3
154 3 15
44 2 2
238 6 22
40 1 5
197 2 16
20 1 6
165 3 11
82 2 12
292 2 13
74 2 13
251 2 16
263 4 25
176 4 16
24 1 3
102 1 6
46 1 6
46 1 8
99 2 9
25 1 4
159 2 13
101 2 12
96 1 8
63 2 15
90 2 9
60 2 7
39 1 4
31 1 4
248 6 44
91 6 27
109 2 9
83 1 8
75 2 9
19 1 8
65 2 9
61 2 16
199 4 26
122 4 19
59 1 3
102 2 16
319 4 32
164 5 27
222 4 26
17 1 4
38 1 1
638 5 35
96 1 6
211 4 28
145 2 8
25 1 4
56 1 8
81 2 16
435 5 25
36 1 5
51 2 12
89 2 11
175 2 14
350 2 16
35 1 8
71 2 15
187 3 24
109 3 23
169 1 8
158 3 10
161 1 6
31 1 4
9 1 4
18 1 2
34 1 3
88 1 8
27 1 8
62 2 16
148 4 16
74 2 15
219 2 10
17 1 3
166 2 16
60 1 3
85 1 8
12 1 4
30 1 8
105 3 15
54 2 12
65 2 8
178 3 14
28 1 5
86 2 9
171 2 10
36 1 7
110 2 11
120 2 16
132 3 24
495 5 26
210 3 18
229 2 16
170 4 32
87 2 16
271 5 22
39 1 3
143 2 13
171 3 9
247 2 16
115 4 27
34 1 4
98 1 8
62 2 16
13 1 3
132 5 23
23 1 5
22 1 4
13 1 2
64 1 6
52 1 6
32 1 5
74 1 7
38 1 4
225 5 17
71 2 12
10 1 1
22 1 3
104 2 10
21 1 2
282 2 16
7 1 3
22 1 5
26 1 2
28 1 1
209 3 24
376 5 18
78 1 8
388 5 32
424 4 22
136 3 22
216 3 17
52 1 7
84 2 9
12 1 1
47 1 4
146 2 16
22 1 7
117 1 8
13 1 6
54 1 8
14 1 2
101 1 5
14 1 1
163 5 33
207 4 19
95 2 11
134 2 16
9 1 3
24 1 3
14 1 2
57 2 12
47 1 8
178 3 17
44 1 6
68 1 3
54 1 8
213 3 20
68 1 8
135 3 21
149 5 31
87 2 6
59 1 4
42 1 4
43 1 2
21 1 2
235 4 23
47 1 6
35 1 4
160 3 17
40 1 3
14 1 2
138 2 13
104 1 8
150 2 4
13 1 1
425 4 25
106 2 16
248 5 30
49 1 7
77 3 9
217 2 11
27 1 8
73 3 19
79 2 10
63 1 5
73 1 3
22 1 2
90 5 19
103 2 15
29 1 4
37 1 4
200 2 16
71 1 8
110 3 23
156 3 24
66 2 16
152 5 26
104 4 16
123 2 8
131 1 8
34 2 4
13 1 3
403 5 30
62 1 8
75 1 8
34 1 8
30 2 4
131 1 7
51 1 6
15 1 3
46 1 7
53 1 2
145 2 16
208 3 17
30 1 4
19 1 3
12 1 3
148 3 13
100 2 10
33 1 5
31 1 5
211 1 8
85 2 13
43 1 8
325 2 15
67 2 10
82 1 8
92 2 15
65 3 11
93 2 8
44 1 6
51 1 3
152 5 18
170 3 17
50 1 8
67 2 11
18 1 3
164 2 15
31 1 4
33 1 8
99 3 24
223 5 35
195 5 26
266 4 24
17 1 1
114 3 24
58 1 6
128 5 28
65 1 2
140 3 17
27 1 5
15 1 5
26 1 3
76 3 17
62 1 7
114 4 22
50 2 13
62 1 8
100 1 2
21 1 2
248 1 8
106 2 11
145 2 16
118 4 15
39 1 3
49 1 8
29 1 8
98 2 12
146 2 16
178 3 24
73 3 11
21 1 3
34 1 8
95 2 8
20 1 3
11 1 3
192 2 15
60 1 8
140 2 11
105 3 20
40 1 8
26 1 8
112 3 16
201 4 24
25 1 6
79 1 8
41 1 6
79 1 7
8 1 7
49 1 8
225 4 24
123 2 6
19 1 3
27 1 3
35 1 3
7 1 3
11 1 1
253 4 28
138 4 16
87 2 16
175 3 21
22 1 8
15 1 8
35 1 8
6 1 2
19 1 8
33 1 2
31 1 3
8 1 3
10 1 3
26 1 7
111 1 8
109 2 16
190 2 9
21 1 5
7 1 5
36 1 8
69 1 2
144 1 3
802 4 28
40 1 1
516 4 18
580 5 32
91 2 9
73 1 8
100 1 6
27 1 6
94 1 4
148 2 12
132 2 16
729 4 25
83 2 13
170 5 31
21 1 1
83 1 1
555 5 33
18 1 2
42 1 5
175 5 24
72 2 11
75 3 11
13 1 1
50 1 2
16 1 1
64 2 1
241 4 31
99 1 7
91 5 33
10 1 5
302 4 29
202 3 21
7 1 8
56 2 6
11 1 2
128 1 1
762 4 30
277 4 25
51 2 10
45 1 7
208 4 20
168 1 8
87 1 8
159 3 15
98 2 14
46 1 2
208 3 24
31 1 5
58 1 8
105 4 30
133 4 13
24 1 3
69 2 6
37 1 3
35 1 4
19 1 4
30 1 2
25 1 8
72 2 7
10 1 4
47 1 5
43 1 5
126 3 23
167 4 32
84 2 5
409 4 32
226 2 16
118 4 13
80 1 5
24 1 2
6 1 2
46 1 5
23 1 5
45 2 6
174 4 19
113 2 13
62 1 7
22 1 7
41 1 8
107 2 16
94 2 12
24 1 3
387 4 29
207 2 9
135 3 24
26 1 5
46 1 5
97 2 16
95 1 8
98 4 31
224 4 21
33 1 5
30 1 3
44 1 3
110 1 8
53 2 4
15 1 4
188 3 11
90 1 8
135 2 6
184 1 8
98 3 22
16 1 2
95 4 13
61 1 5
22 1 1
1077 4 25
207 2 12
48 2 8
9 1 2
46 1 8
32 2 13
80 2 8
59 1 6
32 1 5
23 1 5
37 1 3
199 2 16
34 1 3
173 3 15
107 2 9
20 1 8
12 1 8
31 1 4
339 3 24
183 4 21
118 3 12
20 1 4
18 1 6
203 4 24
14 1 4
129 3 23
