nodesPerPartition bytesPerNode cliquesPerPartition
221 1 3
22 1 2
15 1 2
14 1 2
10 1 2
135 1 3
131 1 4
45 1 4
151 1 3
32 1 2
69 1 2
147 1 2
144 1 2
13 1 2
100 1 2
81 1 2
88 1 2
105 1 2
142 1 4
162 1 5
82 1 2
64 1 2
144 1 3
71 1 3
11 1 2
91 1 2
48 1 2
78 1 2
21 1 2
119 1 4
38 1 2
73 1 4
127 1 2
155 1 2
105 1 2
62 1 2
90 1 2
97 1 3
130 1 5
33 1 2
67 1 5
29 1 5
33 1 2
37 1 2
58 1 2
57 1 2
68 1 2
30 1 2
55 1 5
51 1 5
107 1 2
21 1 2
153 1 3
77 1 3
104 1 2
27 1 2
72 1 2
20 1 2
68 1 2
18 1 2
48 1 2
39 1 2
61 1 3
58 1 3
152 1 2
72 1 2
64 1 3
18 1 1
177 1 2
132 1 2
82 1 2
42 1 2
121 1 4
9 1 2
59 1 4
63 1 1
117 1 5
43 1 3
88 1 2
36 1 2
33 1 2
41 1 2
29 1 2
75 1 5
26 1 4
15 1 4
24 1 5
35 1 3
97 1 2
89 1 2
139 1 2
48 1 2
104 1 3
26 1 3
21 1 3
88 1 2
93 1 2
94 1 2
92 1 2
97 1 3
31 1 2
19 1 3
102 1 3
13 1 1
101 1 2
56 1 2
70 1 2
24 1 2
17 1 2
7 1 1
63 1 2
67 1 2
138 1 2
113 1 2
134 1 3
60 1 3
52 1 2
35 1 2
53 1 2
57 1 2
59 1 3
27 1 3
72 1 3
106 1 2
25 1 2
32 1 2
36 1 2
34 1 2
14 1 2
20 1 2
21 1 2
20 1 2
106 1 4
10 1 2
47 1 4
37 1 3
21 1 3
88 1 2
82 1 2
54 1 2
56 1 2
23 1 2
10 1 2
6 1 2
99 1 3
22 1 3
132 1 3
33 1 3
97 1 2
116 1 3
36 1 2
27 1 3
84 1 2
73 1 2
93 1 3
70 1 3
62 1 2
129 1 2
56 1 2
94 1 3
6 1 2
22 1 2
19 1 3
11 1 3
108 1 3
145 1 2
8 1 2
59 1 2
39 1 2
18 1 1
111 1 3
39 1 3
41 1 7
34 1 7
105 1 3
79 1 2
15 1 1
77 1 4
265 6 46
60 1 2
94 1 2
42 1 2
82 1 8
59 1 8
113 1 3
90 1 3
27 1 2
97 1 2
70 1 2
117 1 2
58 1 2
80 1 2
60 1 2
47 1 2
66 1 4
124 1 2
192 1 3
53 1 3
21 1 3
86 1 2
9 1 1
50 1 3
36 1 3
40 1 8
150 2 6
63 1 2
8 1 2
34 1 3
30 1 3
66 1 2
69 1 3
56 1 3
52 1 2
24 1 2
56 1 2
16 1 2
40 1 2
89 1 2
86 1 8
15 1 2
15 1 3
44 1 8
122 2 6
48 1 2
42 1 2
105 1 3
100 1 3
65 1 2
32 1 2
72 1 3
42 1 2
52 1 2
85 1 3
11 1 3
9 1 3
29 1 2
55 1 8
114 1 2
32 1 2
70 1 2
41 1 2
7 1 1
85 1 3
39 1 3
66 1 4
62 1 3
53 1 3
45 1 2
67 1 4
96 1 2
56 1 2
38 1 2
28 1 2
39 1 2
72 1 2
68 1 3
54 1 3
38 1 2
72 1 3
35 1 3
89 1 4
43 1 4
41 1 2
29 1 2
207 1 3
27 1 2
58 1 3
97 1 3
67 1 3
12 1 3
22 1 2
29 1 2
55 1 3
48 1 3
37 1 2
35 1 2
34 1 3
98 1 2
111 1 4
83 1 2
65 1 2
79 1 2
69 1 2
15 1 2
41 1 2
93 1 2
31 1 2
73 1 3
30 1 2
28 1 2
52 1 2
23 1 2
90 1 3
75 1 2
77 1 3
27 1 2
