nodesPerPartition bytesPerNode cliquesPerPartition
980 115 722
339 90 481
278 86 12
856 81 504
758 75 520
429 72 544
566 68 513
579 64 368
670 66 273
579 62 415
166 42 10
622 60 468
264 61 487
625 61 265
691 56 342
240 42 200
131 25 32
381 56 323
369 57 402
379 51 323
297 54 245
152 30 8
581 50 241
428 55 289
548 46 209
571 42 334
425 49 296
311 51 17
500 48 382
277 52 224
255 44 10
521 44 350
443 44 349
323 44 17
518 40 320
539 46 256
295 48 290
338 42 248
547 43 231
434 42 301
381 47 288
484 36 216
208 45 31
387 45 280
451 40 319
203 40 9
478 37 296
248 29 33
338 44 263
67 8 8
148 24 185
122 24 123
129 15 120
202 37 169
363 33 225
416 34 12
500 37 198
423 35 261
286 41 305
253 42 242
197 34 11
404 34 265
124 35 213
268 27 7
448 34 268
435 34 246
480 31 187
61 7 2
474 31 197
367 33 264
467 34 223
128 15 117
151 15 120
107 28 11
409 30 202
312 35 272
316 34 124
181 28 14
323 30 182
217 23 8
358 29 132
189 26 8
456 31 150
162 19 148
207 19 11
340 30 145
395 31 248
125 13 25
268 37 208
160 26 130
147 17 5
444 27 153
313 23 145
132 12 27
287 27 121
397 25 161
378 30 200
299 35 196
288 27 30
347 28 197
167 16 126
75 9 15
112 23 126
49 4 9
122 14 112
251 33 209
309 29 221
276 31 161
236 25 180
189 23 111
157 20 11
365 26 203
248 26 185
373 23 131
206 25 160
115 20 10
279 23 134
190 17 98
77 9 22
149 11 6
318 24 117
116 11 76
150 15 92
124 12 4
371 25 147
216 19 13
247 31 177
344 24 191
340 24 130
184 28 78
121 8 49
98 10 5
284 24 142
344 23 156
112 10 80
116 16 7
172 24 93
213 19 13
272 30 185
320 24 161
313 20 113
165 24 145
211 25 44
97 7 9
307 29 170
96 17 128
143 22 8
283 22 176
226 28 201
202 26 16
335 23 180
173 23 111
422 24 90
86 10 77
72 10 34
114 8 4
370 25 200
236 21 112
229 28 180
337 23 82
148 16 80
116 10 8
249 27 139
147 17 5
338 18 6
367 21 136
266 18 144
321 23 155
160 24 58
68 6 3
244 22 89
325 21 167
249 24 153
306 19 152
237 28 163
303 27 118
124 6 9
196 27 174
334 22 111
297 21 168
199 28 145
247 26 178
314 22 168
118 12 8
196 23 14
237 23 125
164 20 66
50 5 5
91 9 5
254 27 180
160 14 57
95 7 3
190 26 173
317 27 192
258 28 217
224 28 100
186 13 18
287 24 157
292 20 153
133 24 21
214 22 158
124 14 94
80 7 56
334 20 127
251 17 110
186 26 40
326 26 106
314 19 113
252 16 128
336 21 121
127 18 7
315 19 152
183 26 112
250 21 105
161 15 79
263 17 64
244 15 120
209 21 105
277 26 127
199 17 59
130 8 9
225 20 75
231 17 5
342 24 109
70 9 5
236 16 74
133 14 49
90 8 4
283 18 22
310 24 143
234 15 120
233 18 97
154 16 128
263 16 128
268 25 199
221 25 147
131 19 129
159 17 54
115 7 8
193 24 115
33 3 2
276 18 105
108 15 6
242 17 134
193 24 81
129 10 4
294 17 114
144 20 114
216 15 116
234 16 47
181 11 20
132 18 13
245 25 107
161 14 10
292 24 118
189 21 100
129 12 8
263 23 146
105 18 74
109 11 88
209 19 127
61 5 4
95 7 30
60 5 3
123 19 12
272 18 81
115 13 72
82 10 7
274 17 103
151 13 72
83 7 2
207 13 104
214 23 134
171 18 65
271 16 82
102 9 72
105 15 35
148 16 96
132 12 96
187 24 159
155 23 118
244 17 101
207 13 82
243 16 128
66 3 6
144 20 125
261 18 144
265 18 113
85 7 5
233 15 114
189 15 67
128 17 10
224 21 105
169 17 77
156 18 64
220 16 109
170 14 7
211 23 122
161 22 120
121 15 58
84 8 9
209 22 115
117 16 16
218 23 104
205 21 150
86 4 4
170 16 90
151 12 18
159 22 64
159 8 49
159 11 7
223 22 127
270 16 128
155 19 96
152 22 24
197 21 58
238 14 112
162 21 167
186 22 175
182 22 112
49 3 24
42 5 3
102 14 22
176 14 77
273 18 108
23 2 1
203 14 13
243 22 97
102 10 4
211 21 90
183 18 122
258 22 144
124 6 48
142 18 143
151 18 128
242 22 116
142 21 74
96 14 57
98 7 4
227 16 112
132 8 9
192 17 81
178 12 62
90 7 56
144 13 104
97 21 86
101 9 64
92 11 17
119 15 82
118 11 68
83 5 4
206 14 63
169 11 88
152 19 81
240 14 109
199 21 105
215 19 57
77 7 3
252 14 94
151 16 107
127 13 98
147 13 78
255 15 96
223 19 149
201 19 103
112 8 8
165 14 81
146 10 79
103 10 50
92 9 3
219 14 9
247 16 105
196 19 132
31 3 2
190 19 83
95 9 8
168 14 112
166 19 97
171 16 82
139 10 80
186 18 84
174 11 88
92 11 88
130 14 80
90 12 65
72 8 12
82 13 11
170 14 49
73 6 4
165 9 65
245 15 114
193 15 96
166 12 95
158 16 9
287 20 107
223 14 11
246 20 97
283 18 99
119 16 48
76 6 5
185 20 84
76 7 41
83 11 11
130 11 10
201 17 82
44 4 4
84 8 3
182 12 88
67 7 2
209 12 81
126 11 81
117 13 6
209 13 104
182 19 149
161 19 74
124 8 58
75 8 15
21 2 4
118 17 80
118 13 58
106 5 5
150 10 9
189 15 119
141 15 102
218 14 80
121 10 20
214 19 84
184 16 124
140 17 130
150 17 74
72 10 73
83 10 3
234 13 94
118 10 13
72 3 3
129 17 14
178 15 104
111 10 25
217 19 86
188 12 69
142 16 49
69 6 5
168 14 77
27 2 1
209 19 101
67 8 6
138 13 99
152 13 7
212 13 9
232 18 141
158 18 129
142 10 80
141 18 93
106 9 44
63 6 18
110 14 19
288 11 76
165 19 108
112 9 72
102 11 84
117 14 9
194 12 69
94 9 70
228 13 104
142 18 61
92 10 76
119 10 33
83 6 5
181 17 93
221 15 73
239 12 88
193 13 104
106 19 51
182 11 88
38 3 4
183 17 94
186 12 63
88 8 57
206 12 78
131 15 92
180 18 73
175 15 108
162 17 106
165 15 119
141 15 119
94 15 55
71 7 2
145 15 76
83 5 9
179 18 65
155 16 81
162 14 80
142 10 80
105 10 75
123 18 64
98 5 9
97 7 56
67 8 5
139 12 9
225 15 67
193 11 72
126 7 56
163 14 81
159 16 80
169 10 80
163 16 95
127 13 96
190 17 81
158 16 65
166 15 99
121 14 6
198 11 85
186 16 112
245 18 113
166 12 65
145 16 114
164 17 44
76 8 2
227 18 69
141 9 57
172 10 64
133 12 75
66 6 43
93 10 11
183 17 99
187 15 81
118 8 30
43 3 22
36 3 17
31 3 2
87 5 40
180 18 74
105 8 64
129 9 64
197 14 80
73 6 8
165 14 76
186 18 68
168 14 72
119 9 46
64 6 3
139 16 49
101 10 7
211 11 87
115 12 85
28 3 4
118 13 103
140 13 99
124 13 9
167 15 86
167 10 80
121 18 72
154 15 114
162 15 107
34 3 3
137 16 107
83 4 32
60 5 5
170 15 73
71 9 5
200 15 110
125 14 61
86 9 46
107 7 14
161 14 76
190 10 80
205 13 83
179 15 93
192 17 67
61 6 9
117 17 90
179 12 92
70 12 64
98 10 74
89 10 10
137 11 53
78 7 5
101 10 63
65 5 40
108 10 78
149 10 80
140 17 95
121 11 78
111 12 81
117 17 60
57 4 4
160 14 61
126 11 84
133 11 69
85 6 48
114 12 65
100 10 13
161 16 74
90 9 32
120 7 15
120 9 36
47 4 3
165 9 72
99 9 72
185 11 88
59 4 16
117 17 84
108 13 60
116 8 8
186 16 64
116 15 71
130 8 56
70 5 37
75 9 72
129 14 66
87 7 10
92 9 7
172 17 56
62 6 2
120 11 69
103 9 6
207 14 64
163 13 88
135 11 72
66 5 5
172 14 98
145 15 67
126 12 90
129 13 80
114 11 82
159 11 72
189 10 77
130 14 104
154 17 74
54 7 6
117 12 75
131 10 72
133 11 87
141 11 88
136 13 72
104 12 73
100 11 66
30 3 7
64 8 5
135 13 44
168 11 66
117 17 92
50 4 8
155 12 95
88 4 32
133 16 94
171 15 49
85 9 72
184 9 17
180 16 78
43 5 2
166 10 47
149 8 44
122 6 8
115 13 10
146 15 112
104 8 64
140 16 79
163 10 72
73 8 6
93 13 49
111 9 4
174 14 85
44 4 7
89 10 40
62 5 5
100 11 7
219 12 96
123 15 84
96 8 32
59 7 3
187 11 88
201 14 80
113 11 24
166 15 73
126 11 12
151 16 124
165 16 73
123 9 25
72 5 5
130 9 71
154 9 12
208 16 71
140 13 61
144 9 68
185 12 95
136 12 95
208 12 89
146 12 62
134 13 49
103 11 20
46 2 2
169 15 73
146 12 57
90 8 64
145 10 49
170 12 80
97 11 37
72 7 6
114 14 56
96 10 53
105 7 56
105 10 47
