nodesPerPartition bytesPerNode cliquesPerPartition
60 1 4
47 1 4
74 1 8
58 2 6
54 1 2
57 1 4
48 1 4
40 1 2
11 1 2
7 1 2
37 1 3
10 1 3
14 1 2
14 1 4
27 1 5
50 1 6
12 1 2
7 1 2
5 1 6
39 1 4
50 1 3
14 1 3
9 1 3
23 1 3
37 1 5
26 1 3
7 1 3
6 1 2
11 1 3
6 1 3
23 1 8
18 1 8
55 2 9
12 1 2
14 1 6
11 1 6
26 1 7
23 1 2
9 1 2
12 1 2
37 1 7
36 1 5
15 1 3
8 1 1
9 1 2
43 1 7
24 1 4
35 1 4
23 1 2
5 1 2
4 1 2
7 1 2
39 1 4
37 1 8
6 1 4
21 2 4
37 1 8
29 1 8
56 3 18
34 1 4
5 1 4
24 1 6
13 1 6
47 1 3
35 1 3
38 1 4
7 1 4
17 1 3
18 1 3
5 1 1
9 1 3
10 1 3
7 1 3
9 1 3
19 1 3
19 1 8
44 1 8
59 3 17
49 2 5
5 1 2
48 1 3
12 1 2
25 1 6
9 1 6
19 1 3
13 1 3
35 1 2
5 1 2
20 1 2
29 1 4
12 1 4
45 1 4
8 1 2
23 1 3
17 1 2
20 1 3
34 1 5
50 1 8
15 1 2
27 2 15
39 3 15
22 1 8
25 1 7
17 1 2
5 1 1
7 1 2
28 1 8
5 1 3
38 1 3
25 1 4
13 1 4
25 1 4
5 1 1
12 1 1
29 1 2
36 2 12
14 1 3
15 1 4
11 1 5
8 1 5
27 1 3
15 1 3
9 1 2
26 1 2
10 1 2
18 1 2
22 1 7
17 1 6
16 1 4
49 2 14
28 1 3
13 1 3
5 1 3
15 1 3
9 1 2
18 1 7
26 1 8
32 2 10
10 1 2
24 1 5
30 1 3
21 1 2
36 1 2
16 1 2
6 1 1
9 1 2
6 1 2
10 1 2
35 1 3
17 1 3
11 1 3
13 1 4
19 1 3
9 1 2
19 1 5
16 1 2
25 1 4
27 1 2
29 1 7
27 2 4
14 1 2
24 1 2
23 1 2
24 1 3
17 1 4
6 1 4
18 1 6
6 1 6
19 1 3
39 3 16
44 2 8
13 1 2
5 1 2
5 1 2
5 1 3
8 1 2
6 1 2
22 1 6
24 1 2
5 1 2
22 1 2
26 1 8
54 2 11
33 1 8
49 2 14
15 1 2
30 1 7
24 1 7
29 1 2
18 1 4
78 5 36
33 3 14
17 1 4
42 2 11
45 2 15
7 1 2
9 1 4
8 1 2
21 1 3
27 1 8
33 1 2
27 1 3
18 1 2
13 1 3
7 1 3
25 1 5
15 1 2
15 1 4
11 1 4
18 1 7
24 2 10
32 2 7
37 3 10
19 1 2
24 1 4
23 1 2
18 1 4
13 1 4
12 1 2
22 1 3
13 1 3
6 1 3
7 1 2
15 1 5
13 1 5
14 1 5
18 1 5
18 1 5
21 1 2
26 1 5
21 1 3
24 1 5
9 1 2
9 1 5
16 1 3
5 1 3
16 1 3
14 1 6
23 1 6
15 1 6
25 1 4
20 1 2
21 1 2
20 1 2
10 1 1
20 1 2
19 1 2
13 1 2
15 1 3
14 1 2
15 1 2
9 1 2
11 1 2
8 1 2
11 1 1
44 3 10
11 1 6
15 1 2
48 3 17
39 3 9
21 1 7
13 1 2
12 1 2
21 1 2
10 1 2
10 1 3
17 1 2
12 1 2
6 1 2
6 1 2
7 1 1
11 1 5
22 1 3
12 1 3
9 1 4
14 1 3
14 1 3
14 1 2
10 1 2
7 1 2
18 1 7
28 1 3
16 1 3
14 1 8
17 1 8
29 2 4
23 1 2
14 1 2
7 1 2
8 1 2
7 1 2
8 1 2
7 1 2
25 1 7
26 1 3
58 3 12
5 1 2
6 1 4
11 1 2
10 1 1
32 1 3
6 1 3
16 1 2
5 1 2
18 1 2
5 1 2
9 1 2
9 1 1
24 2 9
20 2 8
23 1 2
11 1 2
31 1 4
21 1 5
14 1 1
28 2 4
27 1 2
7 1 2
15 1 5
7 1 5
19 1 8
20 1 4
9 1 2
13 1 3
11 1 6
18 1 4
12 1 4
9 1 2
5 1 2
9 1 3
10 1 4
8 1 2
10 1 5
18 1 8
11 1 8
47 2 13
22 1 3
19 1 3
21 1 7
8 1 7
31 1 2
14 1 2
16 1 2
5 1 2
11 1 2
5 1 1
9 1 2
9 1 1
145 9 46
9 1 3
15 1 4
10 1 4
16 1 2
10 1 1
24 1 6
21 1 2
8 1 2
9 1 2
34 1 4
8 1 3
8 1 1
14 1 7
9 1 7
15 1 6
24 1 6
5 1 2
6 1 2
17 1 4
14 1 3
5 1 2
18 1 7
19 1 3
17 1 2
19 1 7
24 1 5
14 1 4
16 1 2
6 1 2
12 1 2
7 1 2
10 1 3
21 1 6
20 1 4
14 1 6
13 1 2
10 1 2
7 1 2
9 1 2
11 1 2
9 1 1
28 1 2
12 1 2
24 1 6
8 1 5
22 1 4
16 1 4
18 1 3
23 1 4
16 1 6
7 1 6
35 1 2
16 1 2
14 1 3
11 1 3
16 1 1
27 2 16
27 3 6
10 1 2
7 1 2
22 1 2
13 1 2
13 1 2
18 1 3
8 1 3
25 1 7
6 1 6
14 1 3
33 2 10
13 1 4
12 1 2
8 1 2
10 1 4
17 1 2
20 1 8
13 1 6
26 1 3
4 1 2
15 1 3
12 1 2
15 1 7
24 1 2
14 1 2
5 1 2
18 1 3
14 1 2
11 1 3
12 1 2
5 1 1
17 1 4
15 1 2
8 1 2
40 3 23
46 3 8
5 1 2
5 1 2
6 1 1
10 1 3
8 1 3
15 1 2
6 1 2
17 1 3
11 1 3
10 1 3
13 1 2
17 1 2
8 1 2
7 1 3
27 1 5
4 1 2
11 1 5
15 1 2
10 1 3
11 1 3
11 1 1
38 2 8
32 1 5
18 1 5
22 1 4
26 1 7
3 1 1
9 1 7
19 1 4
22 2 4
37 2 8
9 1 3
21 1 2
16 1 2
29 1 3
21 1 3
16 1 3
22 1 2
18 1 3
5 1 3
11 1 3
21 2 10
23 1 6
22 1 4
21 1 6
22 1 3
11 1 2
10 1 2
8 1 2
9 1 6
13 1 3
25 1 8
22 1 7
15 1 6
21 1 4
42 2 10
19 1 5
13 1 2
9 1 2
29 1 3
12 1 2
7 1 1
9 1 2
13 1 1
19 1 3
11 1 4
9 1 4
10 1 4
19 1 2
10 1 2
5 1 2
10 1 2
16 1 3
19 1 3
16 1 1
31 2 9
19 1 3
30 2 9
13 1 3
8 1 3
12 1 5
19 1 2
9 1 2
29 1 2
13 1 2
7 1 2
5 1 1
7 1 2
12 1 4
14 1 4
9 1 4
20 1 2
11 1 2
4 1 2
13 1 5
19 1 2
8 1 2
13 1 4
20 1 4
20 1 3
16 1 4
11 1 4
22 1 3
9 1 2
15 1 4
13 1 3
13 1 3
13 1 3
9 1 3
12 1 2
11 1 2
26 1 1
47 4 16
11 1 2
12 1 2
16 1 2
10 1 2
14 1 3
14 1 2
15 1 4
7 1 2
8 1 2
17 1 6
9 1 6
18 1 5
19 1 4
13 1 8
23 1 6
21 1 7
25 2 13
30 2 9
8 1 2
16 1 7
19 1 5
19 1 3
5 1 3
19 1 4
21 1 5
19 2 6
12 1 2
10 1 3
13 1 8
20 2 6
14 1 2
16 1 3
13 1 2
17 1 2
10 1 2
26 1 7
38 2 10
10 1 2
10 1 5
15 1 2
12 1 2
11 1 2
18 1 2
16 1 2
5 1 2
14 1 2
11 1 2
7 1 2
6 1 2
9 1 2
21 1 4
14 1 3
9 1 4
11 1 4
22 2 13
30 2 4
16 1 2
6 1 2
14 1 2
26 1 2
25 1 2
10 1 2
12 1 4
16 1 3
11 1 3
16 1 5
14 1 2
14 1 4
8 1 3
5 1 3
16 1 2
5 1 2
12 1 2
13 1 2
28 1 3
8 1 2
11 1 2
8 1 2
12 1 2
10 1 2
7 1 2
17 1 3
10 1 3
5 1 2
11 1 3
9 1 2
6 1 2
12 1 2
14 1 2
6 1 2
7 1 3
36 1 2
27 1 3
12 1 3
15 1 2
6 1 2
14 1 2
11 1 2
11 1 4
8 1 4
16 1 3
16 1 7
23 1 5
18 1 4
9 1 4
15 1 4
11 1 5
11 1 2
11 1 2
14 1 2
6 1 1
11 1 2
4 1 2
15 1 2
9 1 5
23 1 2
50 3 3
133 8 28
12 1 2
17 1 2
11 1 3
6 1 3
13 1 2
21 1 4
15 1 3
39 1 2
16 1 2
19 1 3
17 1 3
24 1 4
18 1 2
17 1 4
11 1 4
19 1 2
16 1 4
12 1 5
20 1 4
19 2 11
24 2 10
35 2 9
6 1 1
8 1 2
6 1 2
6 1 2
19 2 5
33 1 4
4 1 2
17 1 4
16 1 3
16 1 4
12 1 2
8 1 3
35 1 4
6 1 4
19 1 2
12 1 2
14 1 2
8 1 2
7 1 2
8 1 3
9 1 3
10 1 3
17 1 2
24 1 2
14 1 2
8 1 2
14 1 3
12 1 3
16 1 3
17 1 4
10 1 4
20 1 3
7 1 2
6 1 3
9 1 2
19 1 3
5 1 1
12 1 3
12 1 2
8 1 2
15 1 5
15 1 4
25 1 8
34 2 3
78 4 13
20 1 3
13 1 3
23 1 4
14 1 4
20 1 2
14 1 2
13 1 3
16 1 2
15 1 8
21 1 3
11 1 3
11 1 2
14 1 3
12 1 2
13 1 2
12 1 3
11 1 2
10 1 2
15 1 3
7 1 3
9 1 5
17 1 2
9 1 2
8 1 2
13 1 2
15 1 2
6 1 1
9 1 4
11 1 3
12 1 2
11 1 5
23 1 3
11 1 3
23 1 4
29 1 3
7 1 2
9 1 2
14 1 2
16 1 3
18 1 6
8 1 6
17 1 8
23 1 3
14 1 2
11 1 3
12 1 3
13 1 2
6 1 2
8 1 2
6 1 2
7 1 2
18 1 3
14 1 5
16 1 4
8 1 2
29 2 9
19 1 2
14 1 2
11 1 7
11 1 2
17 1 2
14 1 2
14 1 2
11 1 3
15 1 3
11 1 3
14 1 3
8 1 2
11 1 1
19 1 4
15 1 2
16 1 2
15 1 4
15 1 2
7 1 2
17 1 2
6 1 2
14 1 2
9 1 2
44 3 22
27 2 14
40 3 10
