nodesPerPartition bytesPerNode cliquesPerPartition
361 125 598
123 21 84
62 8 14
110 18 91
176 12 50
50 3 24
57 3 17
49 3 13
110 7 40
67 4 32
66 7 20
273 45 301
55 3 1
124 22 106
5 1 1
57 3 14
8 1 3
29 1 8
169 12 73
30 1 3
50 1 8
15 1 5
18 1 3
55 6 40
21 1 8
8 1 8
47 3 6
11 1 1
105 6 44
87 6 48
170 20 104
33 2 16
16 1 2
107 4 27
39 4 27
46 1 8
88 5 18
6 1 4
12 1 4
10 1 8
37 2 15
30 2 7
10 1 4
13 1 6
6 1 6
17 1 3
22 1 3
7 1 2
33 2 6
148 16 96
4 1 2
15 1 5
12 1 3
26 2 5
101 5 22
44 2 6
146 14 80
37 1 3
41 3 24
93 7 43
85 10 17
4 1 3
238 21 132
19 1 5
13 1 4
9 1 2
25 2 3
121 16 84
27 2 10
17 1 7
49 1 2
146 11 58
42 2 12
30 2 12
34 2 6
23 1 3
115 11 41
15 1 5
6 1 5
28 3 24
61 5 25
22 1 8
34 3 11
12 1 4
17 1 3
5 1 1
14 1 8
23 2 16
7 1 5
12 1 4
15 1 8
56 5 29
141 3 24
11 1 3
32 3 12
72 6 34
19 1 8
18 2 16
10 1 8
39 2 6
12 1 3
23 1 2
78 5 40
32 1 8
36 3 17
41 2 15
26 2 10
15 1 6
83 7 24
75 3 24
69 4 32
85 8 44
56 4 26
46 4 8
16 1 3
7 1 3
116 7 30
83 4 30
67 4 18
19 2 6
37 2 10
31 3 10
18 1 6
11 1 1
49 3 11
4 1 5
13 1 5
21 1 8
46 3 24
32 2 16
51 5 27
45 3 19
11 1 2
11 1 4
49 4 29
62 6 36
7 1 2
47 3 4
74 5 21
45 3 18
14 1 3
5 1 3
48 2 16
9 1 2
10 1 3
53 4 28
60 4 20
16 1 1
62 5 16
45 2 15
31 2 13
8 1 8
27 2 9
25 2 5
11 1 5
31 3 9
106 6 37
45 1 7
17 1 1
71 6 31
79 5 26
62 3 17
34 2 16
5 1 8
40 4 17
52 3 16
9 1 4
56 4 17
10 1 4
10 1 4
40 3 11
12 1 7
20 1 3
13 1 5
89 7 28
15 1 5
34 2 12
30 1 8
37 2 16
38 1 8
6 1 3
51 3 16
49 2 16
23 1 8
44 3 18
12 1 4
42 3 11
11 1 1
16 1 7
24 1 5
12 1 1
23 2 7
21 1 2
60 3 22
21 1 8
12 1 1
53 3 13
23 2 9
22 1 3
4 1 3
24 2 7
15 1 4
17 1 3
28 2 9
6 1 7
29 1 3
43 4 17
43 3 18
19 1 5
33 2 15
14 1 8
20 1 3
49 4 17
47 2 10
20 1 4
28 2 16
50 3 24
89 7 28
11 1 2
51 4 18
24 2 10
37 3 12
6 1 2
5 1 2
22 1 3
8 1 2
8 1 2
9 1 5
12 1 2
37 2 16
10 1 7
21 1 8
35 3 13
8 1 3
44 2 13
24 2 13
37 3 19
15 1 8
43 2 8
55 1 8
8 1 3
48 3 19
8 1 3
10 1 2
31 3 18
67 4 19
13 1 2
20 1 7
6 1 3
22 1 4
41 3 18
38 3 24
50 4 22
5 1 2
7 1 8
41 3 11
17 1 7
38 3 17
13 1 1
42 2 16
44 2 11
9 1 2
7 1 2
8 1 8
20 2 16
60 4 32
76 6 23
62 4 17
45 3 17
32 2 10
28 1 4
9 1 3
9 1 4
7 1 3
24 2 8
9 1 5
22 1 8
20 2 8
9 1 2
22 2 16
40 2 16
63 3 24
25 2 8
23 1 6
14 1 6
18 1 2
8 1 2
68 5 21
14 1 3
39 4 17
25 2 9
8 1 4
13 1 8
25 2 9
5 1 1
53 2 9
5 1 3
18 1 6
14 1 8
19 2 7
19 1 2
10 1 2
23 2 6
8 1 3
25 1 1
89 2 13
9 1 3
6 1 2
4 1 2
8 1 8
19 1 4
12 1 3
33 2 6
34 1 4
51 6 34
44 3 9
29 1 8
33 2 16
21 1 5
53 4 24
7 1 1
37 2 11
20 2 9
27 2 16
11 1 5
7 1 5
10 1 8
50 3 19
15 1 8
45 2 10
24 3 17
6 1 2
15 1 2
40 3 19
49 2 16
24 2 16
5 1 3
9 1 2
48 5 21
44 3 11
28 2 9
17 1 7
13 1 4
12 1 7
27 1 6
15 1 5
17 1 7
21 1 8
9 1 8
23 2 9
13 1 8
18 2 7
5 1 3
11 1 4
14 1 6
20 1 2
21 2 4
17 1 3
12 1 2
47 2 9
10 1 5
16 1 2
47 2 9
31 1 7
32 1 8
23 2 7
12 1 5
10 1 6
7 1 6
19 1 8
27 2 12
44 2 9
8 1 3
18 1 7
22 1 8
23 2 10
28 2 16
12 1 3
57 3 18
14 1 8
32 3 20
28 2 16
15 1 7
16 1 8
32 3 11
12 1 5
17 1 5
11 1 5
19 1 2
18 1 7
16 1 6
16 1 6
9 1 6
16 1 8
7 1 8
39 3 11
6 1 3
7 1 5
13 1 8
7 1 8
24 2 9
19 1 2
5 1 2
13 1 6
6 1 3
14 1 2
32 2 16
47 4 17
15 1 8
29 2 9
11 1 4
12 1 2
4 1 2
11 1 8
28 1 8
27 2 8
10 1 4
16 1 6
5 1 6
12 1 3
29 1 3
23 1 8
27 2 16
32 2 9
11 1 6
24 1 8
6 1 3
22 2 14
46 2 9
9 1 2
35 1 3
14 1 2
8 1 2
15 1 4
10 1 2
9 1 4
25 2 14
18 1 5
14 1 8
33 2 16
6 1 5
8 1 5
39 3 10
18 1 6
6 1 3
17 1 4
16 1 8
20 2 14
8 1 3
28 2 8
24 1 7
8 1 3
6 1 7
17 1 5
23 1 7
20 1 6
11 1 6
24 1 7
8 1 7
17 1 5
10 1 5
12 1 2
45 3 12
16 2 14
34 2 14
29 2 9
45 1 6
20 1 3
25 1 7
11 1 7
18 1 4
9 1 4
72 4 15
17 1 8
25 2 9
13 1 4
11 1 3
11 1 7
15 1 5
13 1 4
14 1 6
14 1 3
7 1 3
7 1 2
6 1 2
4 1 1
8 1 7
15 1 8
24 1 8
7 1 8
43 3 24
10 1 8
26 2 16
29 4 22
7 1 3
15 1 8
25 2 11
37 2 7
6 1 5
9 1 3
18 1 4
12 1 6
12 1 5
13 1 5
5 1 5
15 1 3
16 1 5
10 1 5
7 1 2
6 1 5
29 2 8
19 1 8
6 1 8
18 2 9
28 2 10
12 1 2
19 1 8
6 1 2
32 2 8
9 1 4
5 1 4
13 1 3
8 1 3
15 1 7
8 1 7
13 1 3
7 1 2
10 1 3
8 1 1
19 1 8
7 1 8
20 2 10
22 2 8
7 1 8
22 2 8
12 1 3
7 1 2
9 1 5
8 1 3
12 1 2
23 1 3
10 1 3
8 1 2
6 1 8
26 2 15
9 1 5
16 1 8
5 1 2
45 2 8
23 1 8
28 2 10
31 2 9
17 1 3
28 2 12
15 1 2
38 2 9
6 1 2
33 1 8
42 3 16
50 2 10
31 2 10
11 1 2
7 1 2
5 1 6
14 1 7
11 1 2
6 1 2
8 1 8
15 1 7
8 1 7
14 1 5
11 1 5
11 1 4
8 1 4
9 1 2
17 1 8
5 1 2
18 2 8
17 1 6
16 1 7
15 1 3
28 3 10
10 1 6
15 1 2
5 1 2
8 1 4
14 1 4
11 1 5
12 1 8
3 1 8
14 1 6
7 1 6
11 1 1
38 2 10
4 1 3
8 1 2
6 1 8
15 2 9
13 1 3
5 1 3
8 1 8
14 1 7
5 1 7
15 1 1
27 2 13
9 1 4
11 1 4
8 1 3
39 2 10
7 1 5
17 1 8
8 1 2
19 2 11
10 1 8
24 2 12
8 1 2
22 1 8
3 1 1
5 1 8
17 2 13
17 2 16
41 3 17
30 3 14
10 1 1
30 2 13
24 2 9
11 1 4
8 1 3
7 1 2
15 2 16
5 1 2
5 1 2
35 2 11
4 1 2
16 1 5
16 1 6
18 1 7
19 1 5
19 1 8
12 1 8
15 1 8
5 1 3
7 1 8
17 2 16
40 3 11
9 1 8
23 2 5
10 1 3
7 1 2
10 1 2
5 1 1
12 1 2
7 1 2
4 1 2
12 1 5
6 1 5
14 1 8
7 1 8
24 2 8
14 1 3
6 1 3
8 1 4
11 1 4
10 1 4
19 2 4
9 1 2
11 1 3
25 1 7
11 1 7
16 1 8
35 2 10
14 1 4
22 2 5
17 1 4
7 1 4
27 3 14
15 1 2
6 1 2
6 1 2
7 1 2
30 2 15
23 2 10
9 1 6
9 1 2
4 1 1
11 1 7
4 1 4
15 1 4
8 1 3
16 1 5
5 1 5
18 1 5
11 1 5
13 1 6
16 1 8
5 1 8
22 2 8
14 1 3
7 1 2
27 2 16
6 1 2
8 1 2
7 1 3
10 1 2
9 1 8
37 3 18
24 2 10
32 3 12
19 1 4
19 1 5
6 1 5
12 1 4
17 1 7
44 1 8
13 1 8
39 3 13
41 2 9
26 1 8
12 1 8
15 1 3
10 1 2
8 1 2
18 1 8
6 1 8
18 1 6
10 1 5
14 1 8
17 1 8
6 1 8
19 1 4
8 1 4
8 1 2
12 1 4
13 1 8
19 2 10
29 3 10
3 1 2
5 1 3
7 1 2
7 1 2
7 1 3
8 1 2
8 1 4
9 1 5
6 1 5
14 1 7
29 1 5
14 1 5
10 1 8
33 2 8
6 1 3
7 1 2
6 1 5
9 1 5
14 1 7
11 1 4
7 1 4
13 1 3
6 1 3
4 1 3
13 1 3
6 1 2
7 1 2
5 1 2
4 1 2
10 1 4
9 1 8
24 2 10
10 1 2
20 2 11
6 1 6
15 1 8
42 2 8
9 1 2
4 1 1
6 1 3
4 1 3
7 1 6
14 1 3
6 1 2
6 1 4
9 1 3
16 2 6
9 1 3
6 1 4
10 1 5
6 1 5
17 1 5
9 1 5
13 1 3
7 1 3
22 2 6
15 1 5
9 1 4
71 1 6
4 1 3
