nodesPerPartition bytesPerNode cliquesPerPartition
361 125 626
123 21 143
111 18 88
59 7 32
77 4 26
54 3 22
174 11 57
283 48 328
44 3 8
66 6 48
170 13 48
96 5 27
55 6 27
59 3 17
19 2 16
30 1 8
47 3 20
55 3 24
107 6 36
47 2 16
15 1 3
11 1 3
20 1 3
21 1 8
87 6 31
26 2 16
39 4 14
6 1 1
37 2 6
10 1 2
90 10 78
122 16 122
6 1 0
125 22 155
59 1 4
8 1 3
238 21 124
28 2 4
50 1 8
31 2 11
27 2 6
14 1 4
10 1 1
170 20 75
173 14 73
93 7 30
107 4 19
8 1 3
141 11 84
88 5 32
150 16 68
22 1 3
125 11 66
23 2 12
34 2 16
11 1 3
8 1 2
60 5 20
30 2 16
39 2 12
38 3 17
32 3 7
12 1 4
7 1 4
15 1 4
11 1 3
124 8 48
69 5 37
46 1 5
14 1 5
90 8 32
82 4 24
15 1 2
6 1 2
25 2 4
108 6 48
116 9 41
39 2 16
70 5 36
12 1 8
20 2 9
45 3 24
44 2 16
85 5 22
60 3 21
48 4 15
41 2 15
21 1 8
5 1 1
36 3 9
4 1 2
4 1 8
21 2 4
113 6 27
19 2 16
13 1 8
12 1 8
64 5 24
70 4 13
21 2 10
31 3 10
35 1 2
116 9 46
31 3 17
26 2 2
52 6 27
54 3 16
37 2 16
14 1 8
50 3 23
27 2 3
58 3 17
33 2 16
13 1 4
7 1 4
45 3 19
53 4 31
71 6 34
40 4 32
67 5 33
16 1 4
40 3 4
74 5 15
12 1 4
9 1 3
19 1 4
15 1 4
7 1 2
52 2 6
89 7 49
23 1 4
57 4 32
89 7 46
55 3 21
48 2 13
36 3 24
18 1 4
21 1 8
58 6 32
27 1 2
53 3 10
25 2 8
17 1 7
7 1 7
19 1 4
11 1 1
62 5 25
10 1 7
21 1 3
77 3 23
52 3 10
6 1 3
21 1 4
12 1 1
55 6 24
21 1 3
10 1 2
70 4 18
22 1 5
61 4 24
21 1 5
43 4 24
21 1 3
42 4 32
76 6 42
42 3 8
104 6 27
16 1 3
52 4 18
37 3 18
42 3 11
28 2 15
31 2 16
50 3 24
35 2 16
17 1 8
49 3 16
11 1 5
23 1 3
51 3 21
10 1 2
5 1 2
27 3 21
74 4 24
9 1 3
39 4 25
8 1 6
21 1 2
41 4 12
13 1 7
20 1 5
12 1 3
5 1 3
82 5 26
36 2 10
10 1 3
10 1 1
29 2 6
12 1 5
17 1 2
31 3 21
17 1 3
9 1 2
9 1 8
52 4 25
15 1 8
20 1 3
60 4 24
9 1 3
8 1 2
20 2 5
63 4 18
34 2 9
34 3 15
16 1 8
29 2 13
27 2 13
34 2 11
22 1 8
37 2 16
9 1 2
10 1 8
33 3 24
50 3 17
39 2 13
29 2 9
26 2 11
39 2 10
21 1 8
37 2 16
39 4 32
53 4 14
46 3 16
37 2 16
17 1 8
31 3 16
49 2 10
25 1 2
4 1 2
7 1 1
38 2 9
21 1 8
42 2 13
31 2 9
12 1 2
40 3 20
5 1 3
24 1 6
16 1 3
35 3 13
19 2 5
64 3 18
5 1 2
39 3 16
23 1 4
40 2 16
12 1 4
14 1 3
71 4 24
8 1 6
37 2 15
16 1 2
43 3 9
13 1 4
12 1 6
14 1 5
13 1 2
10 1 2
7 1 1
37 2 12
27 3 18
15 1 8
25 2 15
32 3 13
33 2 12
20 2 12
27 2 11
28 2 16
38 2 11
24 2 8
7 1 8
21 2 16
44 3 17
19 1 8
39 3 11
22 2 9
4 1 2
47 2 9
27 2 9
15 1 3
32 1 8
12 1 8
36 2 16
32 1 8
29 4 16
10 1 2
6 1 1
32 3 12
12 1 3
8 1 4
27 1 3
46 3 16
8 1 2
34 2 16
90 3 17
18 1 8
32 2 15
21 2 15
25 2 16
28 2 8
15 1 7
26 1 8
45 3 20
16 1 4
9 1 4
28 2 16
13 1 7
18 1 8
8 1 8
51 3 13
25 2 16
37 3 10
22 1 6
16 1 8
16 2 8
10 1 5
11 1 2
9 1 5
19 1 4
12 1 3
60 3 18
39 3 16
25 2 9
5 1 4
34 1 8
40 2 9
25 1 8
16 1 8
24 2 11
27 2 15
16 1 8
47 3 18
19 1 6
14 1 6
13 1 4
11 1 4
45 2 16
33 4 24
29 2 15
7 1 3
10 1 8
59 3 16
10 1 4
15 1 8
6 1 8
18 2 6
13 1 2
8 1 2
35 3 11
17 1 8
42 3 22
49 3 15
46 2 11
23 2 9
9 1 2
8 1 3
6 1 1
33 2 15
44 3 18
6 1 5
9 1 3
9 1 4
14 1 4
42 2 9
15 1 8
21 2 9
18 2 8
5 1 8
18 2 7
22 1 6
20 1 8
20 2 9
22 1 8
28 1 3
34 3 13
9 1 5
17 2 6
5 1 1
34 2 11
5 1 8
24 3 11
21 1 8
26 2 9
16 1 7
14 1 7
18 1 2
6 1 1
44 2 10
18 1 8
19 2 13
30 2 16
22 1 8
33 3 9
11 1 8
7 1 8
44 2 16
16 2 16
19 1 8
7 1 8
34 2 14
8 1 6
11 1 7
15 1 2
30 2 13
24 2 13
24 1 8
15 1 2
19 1 8
37 2 12
52 2 9
4 1 2
5 1 2
30 2 12
15 1 8
20 1 7
13 1 2
7 1 2
35 1 8
30 2 8
9 1 5
12 1 8
21 2 14
15 1 8
38 3 22
13 1 3
12 1 8
26 2 14
7 1 8
47 3 9
19 2 5
5 1 4
14 1 4
7 1 4
11 1 2
29 2 11
8 1 8
19 1 5
5 1 5
14 1 8
4 1 1
21 2 5
6 1 4
13 1 2
42 3 10
13 1 5
10 1 2
23 1 8
25 2 9
15 2 8
7 1 3
4 1 3
19 2 16
35 3 13
19 1 7
27 1 8
8 1 8
31 2 9
30 3 11
17 2 9
16 1 8
7 1 8
19 1 5
11 1 2
9 1 8
27 1 4
12 1 4
14 1 5
13 1 5
31 1 8
19 2 6
8 1 5
19 1 3
9 1 3
17 1 5
16 1 4
25 1 8
8 1 8
33 3 11
28 2 12
17 2 6
44 1 1
88 2 11
14 1 8
41 3 17
33 2 15
48 2 10
13 1 3
7 1 3
8 1 2
27 2 10
25 2 9
6 1 6
43 1 7
10 1 3
34 1 7
18 1 6
16 1 4
14 1 5
12 1 8
5 1 8
15 1 3
10 1 3
9 1 8
24 2 16
26 3 12
6 1 8
16 2 10
15 1 3
8 1 2
33 2 9
7 1 8
12 1 4
39 2 11
35 2 8
19 1 8
28 2 10
21 2 10
6 1 2
5 1 8
33 1 6
17 1 4
9 1 2
8 1 2
8 1 2
15 1 3
5 1 3
33 2 10
10 1 5
12 1 4
7 1 2
27 2 10
16 1 8
20 2 11
9 1 5
9 1 8
31 2 11
24 2 13
9 1 8
16 1 8
5 1 3
20 2 9
17 1 7
12 1 6
5 1 6
13 1 8
28 2 8
4 1 5
13 1 4
8 1 3
7 1 7
15 1 5
14 1 3
4 1 3
6 1 5
13 1 5
10 1 2
11 1 4
20 1 8
13 1 8
36 2 10
16 2 8
7 1 2
3 1 2
5 1 1
18 2 9
24 1 4
5 1 3
9 1 4
8 1 3
7 1 8
21 2 9
10 1 8
6 1 8
20 1 3
8 1 3
12 1 7
23 1 6
12 1 3
11 1 3
3 1 3
27 2 16
23 2 10
14 1 6
15 1 8
8 1 8
33 2 7
10 1 5
17 1 2
6 1 2
11 1 2
15 1 6
15 1 5
26 1 4
7 1 4
8 1 3
23 1 8
7 1 2
4 1 2
4 1 8
18 2 9
7 1 8
23 2 10
14 1 8
18 2 7
11 1 2
12 1 6
9 1 6
15 1 8
25 2 9
19 2 8
11 1 4
11 1 3
7 1 2
37 2 12
10 1 8
19 1 2
5 1 2
6 1 2
7 1 6
16 1 3
12 1 3
9 1 3
5 1 3
16 1 4
9 1 4
8 1 3
7 1 4
9 1 4
3 1 4
36 2 12
6 1 2
33 2 7
8 1 4
7 1 5
13 1 6
10 1 6
10 1 6
5 1 6
11 1 5
4 1 5
10 1 4
10 1 6
11 1 8
18 1 8
9 1 8
23 2 12
12 1 8
19 1 6
11 1 6
11 1 8
14 1 8
19 1 8
19 2 8
4 1 7
21 1 5
4 1 5
16 1 7
26 1 8
18 2 10
21 1 6
7 1 3
5 1 6
17 1 3
28 1 2
23 1 8
5 1 5
17 2 11
8 1 5
4 1 5
9 1 8
17 1 4
6 1 4
12 1 1
20 2 7
13 1 6
19 1 3
6 1 2
8 1 3
8 1 5
11 1 4
9 1 2
4 1 2
10 1 6
19 1 8
13 1 8
16 2 13
23 2 13
15 2 13
37 2 9
21 1 5
15 1 8
7 1 8
16 1 8
4 1 5
7 1 8
20 2 8
10 1 3
5 1 3
9 1 7
3 1 7
14 1 8
19 2 11
24 2 12
12 1 8
19 2 8
8 1 6
13 1 6
4 1 6
15 1 4
8 1 4
10 1 5
13 1 7
9 1 7
18 1 6
9 1 4
9 1 7
21 1 3
7 1 3
22 2 7
11 1 6
18 1 6
6 1 2
25 1 6
6 1 4
13 1 6
15 1 6
32 1 5
10 1 5
19 1 4
17 1 4
13 1 2
5 1 2
11 1 3
25 1 4
10 1 4
7 1 2
4 1 2
9 1 4
6 1 4
9 1 4
3 1 4
11 1 8
25 2 9
22 1 5
15 1 4
6 1 4
9 1 7
14 1 6
14 1 7
14 1 8
25 1 7
14 1 7
14 1 7
10 1 7
11 1 5
7 1 3
7 1 3
19 2 10
8 1 2
4 1 2
4 1 8
20 2 8
12 1 4
11 1 2
9 1 7
6 1 7
10 1 8
7 1 8
18 1 8
54 2 13
9 1 4
9 1 3
11 1 3
8 1 2
12 1 2
11 1 8
19 2 11
38 2 9
5 1 3
7 1 6
17 1 2
9 1 2
22 2 8
13 1 2
6 1 2
5 1 3
13 1 5
12 1 5
8 1 5
10 1 4
6 1 8
17 2 8
12 1 7
15 1 8
18 2 8
9 1 5
8 1 5
10 1 8
19 2 8
11 1 7
14 1 8
16 2 9
17 1 8
17 2 9
19 1 6
11 1 5
6 1 5
18 1 8
6 1 8
16 1 8
20 2 8
19 1 8
13 2 10
9 1 3
7 1 2
4 1 2
24 2 10
3 1 4
11 1 3
9 1 3
8 1 2
6 1 8
12 1 2
18 1 5
9 1 2
8 1 3
11 1 6
13 1 5
9 1 5
6 1 5
12 1 6
21 1 6
17 1 6
15 1 4
9 1 3
11 1 3
7 1 8
23 1 8
15 2 5
13 1 4
8 1 4
11 1 5
12 1 3
7 1 3
6 1 2
5 1 2
6 1 4
9 1 4
10 1 3
10 1 7
16 1 7
8 1 7
16 1 4
11 1 3
9 1 2
6 1 3
16 1 4
6 1 4
16 1 7
15 1 7
7 1 7
10 1 5
13 1 5
12 1 5
14 1 3
7 1 3
12 1 7
15 1 5
10 1 6
7 1 6
9 1 7
6 1 7
35 1 5
6 1 2
7 1 5
16 1 5
9 1 3
12 1 7
12 1 8
12 1 8
15 2 6
8 1 3
9 1 3
5 1 3
5 1 2
5 1 2
19 2 9
5 1 2
5 1 2
7 1 5
7 1 3
5 1 8
21 1 2
6 1 1
16 1 5
7 1 5
19 2 8
8 1 7
17 1 7
6 1 2
7 1 7
28 1 6
5 1 2
5 1 6
10 1 4
7 1 7
15 1 8
33 2 9
9 1 8
14 1 5
16 1 4
8 1 4
20 1 7
14 1 7
14 1 5
7 1 4
11 1 6
11 1 7
21 1 3
10 1 3
9 1 8
19 2 9
5 1 5
17 2 6
6 1 4
4 1 4
11 1 5
9 1 2
7 1 8
16 1 5
4 1 5
13 1 4
4 1 4
10 1 3
10 1 8
5 1 8
14 2 8
11 1 2
4 1 2
8 1 4
4 1 4
9 1 3
10 1 3
6 1 2
4 1 4
10 1 3
5 1 3
13 1 5
5 1 5
8 1 2
8 1 5
6 1 5
11 1 4
16 1 2
12 1 2
6 1 2
7 1 4
4 1 4
55 1 6
9 1 4
11 1 6
7 1 6
12 1 3
4 1 3
5 1 2
7 1 2
6 1 3
7 1 3
5 1 3
12 1 4
13 1 5
6 1 1
11 1 5
4 1 5
8 1 5
5 1 5
9 1 7
10 1 7
11 1 5
8 1 6
3 1 6
8 1 4
6 1 8
15 2 8
14 1 5
8 1 4
5 1 4
10 1 8
5 1 8
14 1 6
6 1 6
7 1 8
4 1 8
16 1 3
7 1 3
5 1 3
6 1 3
4 1 3
18 1 7
8 1 2
7 1 7
11 1 6
3 1 6
9 1 2
5 1 2
3 1 2
4 1 3
7 1 4
9 1 2
6 1 4
12 1 4
7 1 2
15 1 8
10 1 3
8 1 6
11 1 4
8 1 2
4 1 2
4 1 7
20 1 4
6 1 3
8 1 3
7 1 6
12 1 6
14 1 6
5 1 4
6 1 6
10 1 5
9 1 3
10 1 6
9 1 8
20 1 2
5 1 2
6 1 2
6 1 2
4 1 5
12 1 7
21 1 5
21 1 4
4 1 4
7 1 2
17 2 9
17 2 9
15 1 4
10 1 8
15 1 5
14 1 6
7 1 6
5 1 6
11 1 6
17 1 3
5 1 2
5 1 1
11 1 8
21 2 9
15 1 5
5 1 5
3 1 5
6 1 2
7 1 6
9 1 6
12 1 4
4 1 4
