nodesPerPartition bytesPerNode cliquesPerPartition
38 1 5
55 1 4
35 1 4
42 1 3
34 1 2
35 1 3
8 1 3
15 1 2
4 1 1
31 1 2
29 1 5
4 1 4
43 1 6
17 1 6
34 1 5
31 1 5
33 1 4
43 1 3
19 1 3
29 1 8
55 4 18
26 1 3
31 1 4
5 1 2
6 1 4
16 1 4
29 1 8
40 2 9
45 2 12
7 1 1
25 1 6
9 1 6
16 1 8
31 2 16
37 4 30
41 2 9
37 2 16
15 1 8
37 4 21
27 1 5
23 1 5
35 1 7
27 1 7
30 1 4
5 1 3
12 1 3
29 1 8
6 1 7
38 2 16
6 1 2
23 1 6
29 1 8
63 9 72
29 1 4
8 1 4
36 2 16
3 1 3
32 1 8
33 5 40
22 1 5
29 1 8
30 2 9
26 1 4
8 1 3
11 1 4
24 1 7
45 1 8
28 1 8
8 1 8
37 2 11
30 2 6
22 1 3
18 1 3
15 1 5
6 1 5
11 1 5
10 1 5
13 1 3
6 1 2
13 1 4
5 1 2
9 1 2
13 1 2
22 1 2
23 1 8
5 1 2
45 3 16
23 1 2
7 1 2
18 1 8
16 1 5
27 1 8
33 2 16
53 3 17
21 1 6
15 1 8
30 3 14
11 1 3
57 8 56
34 4 22
49 2 6
24 1 3
15 1 2
24 1 2
23 1 2
22 1 6
10 1 6
36 2 16
4 1 2
18 1 8
39 3 11
8 1 5
10 1 1
19 1 4
18 1 6
32 2 9
28 1 6
9 1 3
5 1 3
12 1 6
24 1 5
22 1 7
21 1 4
21 1 2
10 1 2
25 1 8
19 1 8
51 3 24
54 4 28
44 6 20
34 2 8
12 1 4
11 1 4
33 2 8
32 1 5
8 1 2
6 1 3
12 1 5
35 4 24
24 1 3
25 1 8
15 2 14
19 1 7
23 1 2
18 1 2
10 1 2
12 1 2
20 1 4
23 1 8
23 2 10
20 1 4
7 1 3
13 1 5
39 2 15
4 1 2
7 1 8
36 3 17
9 1 3
20 1 2
6 1 2
5 1 1
14 1 3
12 1 2
61 4 22
15 1 7
28 1 3
14 1 2
17 1 8
26 2 16
5 1 1
57 4 28
9 1 4
17 1 2
7 1 2
5 1 2
24 2 8
11 1 4
24 1 4
7 1 2
5 1 2
17 1 8
32 3 24
27 3 19
23 1 3
21 1 3
16 1 2
8 1 2
13 1 2
10 1 5
6 1 7
21 1 2
10 1 2
15 1 2
15 1 6
9 1 6
43 2 10
5 1 2
34 2 12
11 1 2
16 1 2
16 1 6
21 1 2
18 1 5
9 1 5
35 1 5
15 1 5
17 1 2
11 1 1
87 11 66
88 10 80
15 1 2
15 1 2
54 10 34
27 2 7
56 5 15
5 1 4
24 1 6
28 2 6
12 1 2
17 1 3
14 1 3
17 1 2
14 1 2
18 1 2
14 1 3
6 1 3
15 1 8
17 2 5
10 1 5
30 3 20
18 1 3
42 3 11
23 1 4
12 1 4
22 1 3
15 1 2
17 1 2
19 1 6
15 1 2
7 1 2
5 1 2
8 1 3
25 2 4
30 1 3
5 1 2
4 1 2
10 1 3
60 15 106
22 1 2
9 1 1
120 11 73
71 10 67
80 14 55
34 5 36
8 1 4
17 1 7
42 3 18
22 1 3
9 1 3
10 1 2
24 2 5
13 1 2
9 1 3
4 1 3
8 1 4
8 1 2
27 1 8
38 3 16
6 1 5
18 1 3
6 1 2
7 1 2
43 3 7
12 1 3
13 1 3
6 1 3
9 1 2
72 5 40
12 1 3
21 1 8
56 9 27
20 1 5
10 1 5
36 2 9
15 1 6
8 1 6
49 5 15
5 1 2
7 1 2
8 1 4
23 1 4
9 1 2
12 1 6
21 1 3
6 1 3
45 3 24
32 1 8
28 2 13
15 1 3
12 1 8
6 1 8
63 10 44
6 1 2
9 1 2
16 1 5
19 1 7
10 1 7
21 2 5
8 1 4
12 1 2
15 1 4
19 1 7
13 1 8
18 1 3
9 1 3
5 1 3
87 8 56
10 1 3
5 1 3
11 1 3
7 1 3
12 1 3
31 2 5
76 14 62
23 2 7
12 1 2
9 1 2
7 1 6
5 1 6
38 3 18
26 3 11
23 1 6
19 1 3
48 4 16
52 2 11
4 1 1
6 1 2
12 1 3
6 1 3
13 1 6
26 2 10
36 4 26
52 5 36
65 5 39
68 7 36
28 1 4
14 1 4
7 1 4
18 1 3
7 1 3
11 1 8
18 1 3
13 1 2
6 1 2
12 1 5
25 1 7
17 1 2
