nodesPerPartition bytesPerNode cliquesPerPartition
279 47 242
117 8 43
103 6 8
230 35 121
228 25 170
151 13 104
88 7 34
78 5 13
30 2 6
183 22 139
45 4 9
130 8 62
123 15 85
56 5 11
24 1 4
149 18 112
86 8 64
179 16 120
214 21 75
140 11 50
20 2 7
19 1 3
85 6 40
7 1 5
85 6 47
99 8 43
159 10 80
115 10 80
6 1 1
190 18 61
61 5 40
112 9 43
6 1 3
86 7 31
33 1 4
21 1 7
20 1 1
59 4 8
140 9 62
13 1 1
55 4 32
173 12 48
66 4 4
184 11 63
5 1 4
15 1 2
86 8 43
14 1 2
35 2 16
59 4 17
18 1 1
62 4 26
74 6 34
44 2 16
42 3 24
83 6 40
96 7 46
83 6 48
156 17 73
26 1 2
75 6 48
57 7 52
59 3 24
25 1 5
16 1 2
79 9 53
130 10 50
138 11 77
37 2 9
8 1 4
26 1 7
99 9 57
143 11 72
102 6 48
140 17 86
47 4 17
22 1 4
42 3 18
54 3 19
53 3 21
68 3 24
91 9 66
41 2 15
58 2 5
141 10 59
32 2 12
10 1 8
28 2 10
23 2 16
78 6 48
91 8 40
133 7 38
66 3 24
43 3 24
96 5 27
47 3 24
33 2 16
66 4 22
26 2 16
59 3 24
90 6 40
33 1 1
90 10 29
95 7 56
55 4 32
117 9 69
38 3 24
86 5 40
31 2 14
35 2 16
65 8 63
159 8 64
108 6 48
104 10 34
98 4 32
76 5 27
21 2 6
9 1 2
11 1 3
58 4 17
96 5 19
92 4 29
82 4 32
32 2 16
7 1 2
88 8 64
85 9 48
134 12 50
59 3 24
41 2 16
19 2 9
28 1 8
53 5 35
54 5 33
61 5 23
35 2 15
45 2 16
50 3 15
56 2 16
11 1 2
79 5 40
7 1 2
6 1 2
45 2 13
51 2 16
120 12 64
78 10 33
56 4 25
73 6 30
64 5 32
62 2 16
37 2 16
71 8 41
47 3 8
63 7 33
17 2 9
8 1 2
13 1 6
15 1 3
10 1 1
37 2 16
92 6 41
100 6 32
13 1 8
48 2 16
128 5 33
21 1 6
25 1 3
12 1 3
38 2 16
26 1 2
67 4 32
8 1 8
48 5 25
33 2 16
72 4 32
22 2 4
57 5 22
29 2 4
58 5 17
49 3 17
45 2 16
50 3 12
10 1 4
14 1 8
28 2 9
24 2 16
51 4 17
29 2 16
45 2 16
24 1 6
13 1 6
14 1 8
71 4 20
46 3 13
31 2 5
64 5 25
12 1 3
36 4 20
30 3 11
30 2 16
30 1 8
40 3 12
21 2 11
23 2 3
40 3 14
64 5 23
12 1 1
38 3 10
31 2 6
27 1 5
56 3 24
11 1 1
78 8 21
70 5 37
20 2 3
71 8 40
61 4 32
9 1 8
17 1 3
15 1 2
30 2 8
15 1 5
14 1 7
23 1 2
6 1 1
124 8 40
46 4 24
23 1 8
54 5 40
80 8 26
48 3 16
34 2 14
61 3 22
45 2 16
48 3 6
74 8 36
68 3 16
17 1 6
17 1 8
39 2 11
35 2 16
65 5 24
55 3 19
50 3 24
73 7 55
19 1 8
46 3 17
26 3 24
99 8 22
8 1 4
13 1 3
16 1 2
40 3 23
36 3 24
11 1 2
9 1 3
17 1 2
4 1 1
74 4 32
48 4 32
11 1 3
56 7 35
36 2 16
8 1 1
69 5 38
47 5 14
15 2 4
11 1 3
47 3 11
12 1 8
23 2 13
12 1 4
34 2 9
22 1 5
9 1 2
10 1 4
6 1 4
35 2 9
9 1 8
20 2 9
14 1 8
28 2 14
