nodesPerPartition bytesPerNode cliquesPerPartition
279 47 286
117 8 12
230 35 202
234 26 112
155 14 112
185 23 112
192 21 105
156 15 76
77 5 40
122 15 48
24 1 4
65 4 32
97 5 4
214 21 104
86 8 64
193 19 94
23 2 3
151 12 65
93 6 38
118 7 45
85 6 48
163 10 65
65 5 40
183 13 72
143 17 134
156 17 85
114 10 68
112 9 67
203 12 66
122 10 41
22 2 3
70 5 39
83 5 20
51 3 20
40 3 19
58 4 32
86 8 51
75 6 48
75 6 44
80 6 34
15 1 2
84 7 48
9 1 3
36 2 5
136 9 72
115 12 48
138 6 48
138 11 86
57 7 36
15 1 1
51 4 6
107 12 59
17 1 4
136 12 67
17 1 3
120 12 69
11 1 1
130 10 75
61 4 32
42 3 24
108 10 58
99 7 48
25 1 2
84 11 69
105 8 60
74 8 43
54 4 32
5 1 5
14 1 3
98 9 48
13 1 3
72 5 32
146 8 57
134 9 59
137 10 40
6 1 1
39 2 9
40 2 16
76 5 24
80 6 47
103 7 41
58 2 16
73 6 42
83 6 37
58 3 21
34 2 16
64 5 20
48 3 24
33 2 16
39 3 24
81 6 46
109 6 48
66 3 24
85 10 54
23 2 11
24 1 8
25 1 8
42 3 8
23 1 1
64 7 49
95 7 37
59 3 21
53 5 38
29 2 3
105 6 48
69 4 32
27 1 1
157 8 38
117 9 38
52 3 10
15 1 3
12 1 2
71 8 30
20 2 5
57 5 40
86 7 55
43 3 24
87 8 27
31 2 16
6 1 3
33 1 8
53 5 34
16 1 8
32 2 16
52 5 39
99 8 60
123 8 39
113 6 41
41 2 16
89 4 32
57 6 40
77 5 40
62 7 32
85 4 32
71 8 34
32 2 3
48 4 26
54 4 23
15 1 4
51 4 24
50 3 24
50 5 40
53 3 24
76 7 48
45 2 13
14 1 1
80 3 24
78 7 32
56 4 30
115 6 41
74 8 41
11 1 3
94 6 34
45 2 16
36 4 24
85 5 32
7 1 2
86 6 32
67 5 25
72 3 24
13 1 2
54 3 24
68 6 33
37 2 16
85 5 40
85 7 50
56 7 50
14 1 5
32 2 9
56 3 24
17 2 5
117 7 32
55 3 24
80 7 44
20 1 1
54 7 41
45 2 16
23 1 3
10 1 2
21 1 8
57 6 46
69 6 47
61 6 21
25 1 3
43 3 14
29 2 12
19 2 5
47 4 16
45 2 16
65 4 29
40 4 16
49 3 18
30 2 16
12 1 8
25 4 19
47 3 24
58 6 22
96 5 21
49 2 6
55 5 26
45 2 12
48 3 24
40 4 25
45 4 24
33 2 16
128 5 32
28 3 24
10 1 3
6 1 8
37 1 8
64 6 26
42 5 39
55 5 40
40 4 30
65 6 28
70 4 32
37 3 23
16 1 7
24 1 2
54 5 34
35 3 24
30 2 16
58 5 32
67 4 27
51 5 28
52 2 16
64 5 25
22 1 2
49 5 23
32 4 23
28 3 24
21 2 16
20 1 8
45 5 23
32 3 17
21 1 4
12 1 2
6 1 2
37 3 24
