nodesPerPartition bytesPerNode cliquesPerPartition
26 1 4
25 1 3
29 1 3
20 1 3
28 1 4
16 1 4
29 1 8
15 1 8
32 1 8
26 1 5
23 1 2
14 1 2
19 1 2
14 1 2
62 7 44
9 1 2
19 1 2
19 1 5
16 1 7
27 1 4
17 1 3
26 1 5
61 6 29
13 1 2
44 3 19
22 1 5
37 2 10
9 1 2
16 1 6
18 1 3
15 1 4
22 1 4
17 1 5
18 1 3
9 1 3
19 1 4
25 1 2
17 1 2
20 1 2
19 1 2
16 1 2
14 1 2
42 3 17
19 1 7
12 1 7
24 2 10
15 1 5
15 1 1
25 1 3
14 1 3
16 1 7
19 1 7
12 1 7
20 1 2
13 1 2
16 1 5
22 1 3
19 1 5
25 1 3
12 1 3
19 1 4
16 1 3
16 1 3
16 1 8
21 2 14
14 1 6
29 2 10
27 2 10
28 2 7
74 6 27
12 1 2
12 1 2
29 2 13
11 1 7
30 1 4
16 1 4
16 1 3
22 1 3
11 1 3
13 1 5
22 1 2
14 1 2
12 1 3
18 1 4
17 1 2
13 1 2
14 1 2
14 1 3
8 1 2
13 1 2
12 1 3
16 1 3
17 1 4
14 1 2
18 1 6
16 1 2
16 1 5
60 3 24
58 5 40
33 1 8
57 6 24
12 1 4
11 1 5
16 1 7
22 1 8
27 2 16
33 2 8
19 1 8
30 2 12
21 2 9
13 1 8
29 2 7
11 1 4
13 1 2
14 1 4
18 1 3
17 1 3
12 1 4
21 1 7
24 1 5
20 1 5
17 1 4
13 1 4
14 1 5
17 1 2
13 1 2
19 1 6
26 1 5
13 1 5
16 1 3
13 1 3
16 1 5
16 1 2
14 1 2
11 1 2
14 1 3
19 1 4
15 1 4
16 1 3
13 1 3
18 1 6
17 1 7
23 1 7
25 1 8
7 1 2
30 1 4
22 1 3
11 1 3
23 1 4
16 1 2
11 1 4
10 1 4
27 2 15
18 1 8
24 2 6
6 1 4
20 1 4
17 1 3
13 1 7
27 1 3
20 1 3
23 1 3
13 1 3
22 1 2
9 1 2
7 1 4
12 1 8
21 2 12
24 1 6
17 1 4
24 2 7
14 1 3
13 1 3
11 1 5
19 1 4
16 1 3
16 1 3
10 1 2
11 1 3
10 1 4
14 1 4
10 1 5
21 1 6
22 1 3
14 1 5
20 1 4
11 1 4
33 2 16
30 2 10
13 1 2
8 1 3
13 1 5
19 1 7
16 1 6
12 1 8
22 1 6
16 1 6
34 2 12
23 2 16
27 3 9
14 1 2
5 1 1
18 1 2
14 1 7
15 1 3
16 1 3
15 1 3
12 1 4
26 2 13
35 2 8
11 1 4
14 1 3
11 1 4
8 1 4
13 1 5
22 1 5
17 1 5
15 1 4
12 1 2
12 1 4
12 1 2
13 1 4
15 1 4
9 1 4
15 1 8
11 1 8
20 2 6
13 1 3
10 1 3
11 1 2
13 1 3
14 1 4
17 1 4
8 1 4
15 1 5
8 1 5
20 1 2
11 1 2
12 1 2
16 1 2
14 1 3
14 1 2
14 1 4
14 1 2
12 1 2
17 1 8
46 4 18
21 2 10
22 1 6
12 1 6
17 1 4
18 1 4
15 1 8
39 3 24
38 3 24
70 5 32
91 7 48
88 10 53
46 2 11
6 1 8
15 2 7
22 1 5
12 1 2
8 1 2
12 1 7
11 1 3
15 1 2
11 1 4
55 5 32
15 1 6
30 2 8
12 1 3
16 1 4
67 6 24
23 1 8
25 2 7
24 1 4
14 1 2
12 1 4
17 1 5
25 1 8
26 2 10
15 1 2
11 1 4
18 1 6
20 1 5
21 1 4
14 1 4
17 1 3
11 1 3
10 1 3
9 1 4
58 5 30
22 2 6
14 1 3
13 1 1
56 4 31
16 1 2
14 1 2
61 5 18
17 1 4
23 1 8
25 2 10
14 1 5
14 1 6
14 1 6
25 1 4
10 1 4
34 2 3
65 4 18
10 1 2
13 1 8
9 1 8
25 2 9
26 2 8
11 1 5
21 1 4
8 1 4
14 1 3
32 2 8
23 1 2
11 1 2
15 1 2
31 2 10
5 1 8
24 2 10
23 1 7
25 1 2
10 1 2
10 1 2
15 1 4
11 1 5
12 1 5
14 1 4
11 1 4
14 1 3
9 1 2
12 1 3
11 1 2
11 1 5
23 1 2
8 1 1
12 1 3
9 1 2
11 1 3
16 1 2
8 1 2
9 1 2
13 1 3
11 1 2
30 2 12
4 1 2
26 2 9
15 1 3
8 1 3
9 1 3
13 1 8
22 1 3
17 1 6
19 1 3
7 1 3
20 1 6
9 1 6
26 2 6
9 1 4
12 1 2
11 1 5
20 1 2
11 1 1
14 1 4
18 1 3
9 1 3
11 1 3
9 1 2
8 1 2
10 1 3
9 1 2
8 1 2
12 1 4
10 1 5
13 1 3
16 1 3
14 1 5
10 1 5
18 1 5
11 1 5
13 1 7
20 1 2
17 1 5
10 1 5
19 1 3
5 1 2
9 1 3
16 1 6
19 1 4
18 1 2
15 1 2
8 1 2
8 1 1
25 1 7
23 1 2
10 1 2
14 1 6
18 2 14
9 1 6
31 1 3
11 1 2
10 1 2
12 1 2
8 1 2
14 1 2
8 1 2
9 1 2
10 1 3
12 1 3
15 1 2
11 1 2
11 1 2
10 1 2
16 1 2
10 1 2
9 1 2
12 1 3
11 1 2
10 1 2
12 1 8
10 1 8
16 1 8
7 1 8
21 2 10
11 1 6
15 1 4
13 1 2
12 1 6
9 1 6
16 1 8
20 2 12
11 1 4
15 1 6
7 1 6
16 1 4
7 1 4
16 1 5
76 4 32
16 1 3
74 5 32
32 3 21
7 1 4
15 1 5
8 1 5
22 2 16
24 2 14
10 1 8
17 1 3
14 1 4
11 1 4
14 1 5
16 1 6
5 1 6
15 1 8
28 2 12
19 1 6
4 1 6
23 1 6
17 1 5
16 1 4
10 1 4
25 2 12
32 2 12
30 2 6
9 1 2
10 1 3
11 1 2
8 1 2
15 1 4
15 1 4
50 5 40
79 11 42
9 1 3
10 1 2
67 5 26
41 2 10
22 2 8
10 1 4
8 1 4
14 1 2
5 1 2
9 1 3
15 1 3
10 1 8
23 1 5
11 1 5
9 1 5
15 1 8
9 1 8
18 1 8
16 1 4
15 1 4
7 1 4
12 1 6
18 1 5
30 3 11
9 1 5
14 1 5
18 1 2
42 2 16
7 1 2
8 1 4
13 1 4
15 1 8
19 1 3
8 1 2
7 1 3
12 1 4
11 1 2
6 1 2
29 2 14
12 1 6
5 1 2
13 1 7
6 1 7
18 1 2
10 1 2
12 1 3
30 2 8
9 1 4
11 1 2
9 1 2
28 2 10
14 1 5
17 2 8
5 1 3
20 2 7
12 1 4
9 1 6
15 1 3
14 1 2
8 1 5
18 1 2
9 1 2
8 1 3
12 1 2
9 1 2
8 1 2
9 1 2
7 1 2
7 1 5
15 1 2
7 1 2
7 1 2
8 1 2
12 1 4
9 1 3
34 2 15
24 1 4
34 2 9
6 1 2
12 1 6
7 1 6
22 2 6
13 1 4
14 1 2
10 1 5
8 1 5
15 1 2
13 1 4
12 1 4
27 1 4
63 5 18
23 2 11
23 2 12
27 2 7
13 1 3
5 1 2
14 1 2
25 1 6
12 1 6
15 1 8
23 2 4
7 1 2
9 1 3
15 1 2
8 1 2
7 1 3
13 1 3
10 1 2
7 1 2
14 1 5
17 1 4
14 1 5
15 1 3
11 1 2
15 1 5
8 1 5
11 1 4
11 1 3
10 1 7
20 1 4
7 1 4
15 1 4
10 1 2
10 1 3
13 1 7
19 1 7
18 1 7
12 1 8
20 1 8
22 2 8
17 1 3
12 1 6
6 1 6
13 1 4
7 1 2
6 1 2
10 1 3
10 1 3
15 1 3
12 1 2
9 1 2
11 1 2
8 1 2
17 2 4
29 2 6
15 1 3
11 1 4
15 1 3
11 1 3
14 1 5
17 1 2
9 1 2
11 1 3
12 1 4
9 1 2
10 1 2
11 1 2
10 1 2
10 1 2
8 1 2
11 1 5
13 1 4
7 1 4
13 1 3
10 1 4
14 1 4
13 1 2
7 1 2
16 1 7
18 1 5
10 1 5
20 1 3
8 1 2
9 1 3
13 1 4
19 2 6
13 1 3
8 1 3
15 1 7
18 1 3
11 1 3
32 2 10
23 1 6
18 1 3
11 1 3
5 1 3
15 1 3
8 1 3
35 2 8
10 1 3
8 1 3
10 1 4
14 1 3
12 1 4
9 1 4
11 1 4
13 1 5
20 1 6
14 1 3
9 1 3
10 1 2
12 1 3
5 1 3
13 1 3
12 1 3
7 1 4
13 1 2
9 1 2
7 1 1
20 1 2
15 1 2
11 1 2
12 1 8
36 2 8
9 1 2
14 1 6
6 1 3
20 1 2
6 1 2
10 1 2
9 1 2
8 1 3
12 1 2
9 1 2
12 1 2
9 1 2
9 1 2
8 1 2
8 1 2
4 1 2
11 1 3
13 1 2
12 1 2
22 1 3
12 1 3
9 1 3
16 1 2
12 1 2
9 1 2
8 1 2
9 1 2
9 1 3
8 1 1
15 1 2
10 1 3
5 1 3
11 1 2
12 1 5
9 1 5
14 1 3
11 1 2
9 1 2
9 1 4
14 1 8
22 1 8
10 1 8
22 2 12
8 1 5
14 1 8
22 2 16
43 4 19
8 1 8
24 2 9
11 1 8
31 2 9
18 2 8
11 1 5
15 1 5
16 1 6
12 1 4
8 1 4
11 1 8
7 1 8
30 2 11
21 2 6
90 8 35
8 1 3
13 1 3
14 1 7
18 1 8
32 3 15
31 2 7
19 1 2
5 1 2
52 5 40
26 1 8
21 2 16
29 2 12
10 1 6
8 1 6
20 1 6
17 1 6
10 1 6
14 1 3
10 1 1
87 6 28
10 1 2
7 1 2
12 1 2
9 1 2
8 1 3
50 3 17
17 1 2
11 1 2
9 1 2
51 4 17
16 1 8
31 2 10
7 1 5
14 1 4
8 1 4
10 1 2
38 2 16
35 4 32
27 2 16
9 1 2
11 1 4
59 5 26
12 1 5
36 3 17
11 1 4
14 1 3
13 1 2
6 1 2
11 1 3
12 1 2
5 1 2
24 3 11
18 2 9
19 1 5
40 3 16
18 1 5
14 1 3
13 1 3
10 1 2
26 3 10
30 2 5
68 6 43
65 6 38
20 2 12
20 1 7
19 1 8
11 1 8
26 2 7
8 1 5
17 1 6
19 1 5
14 1 5
11 1 6
32 2 7
67 6 45
8 1 2
9 1 2
7 1 2
7 1 2
7 1 5
14 1 5
15 1 3
13 1 3
12 1 3
9 1 3
14 1 2
11 1 2
9 1 2
10 1 2
36 3 6
11 1 2
79 6 27
7 1 2
5 1 5
14 1 5
19 1 8
11 1 8
30 2 10
7 1 2
18 1 8
27 3 17
28 3 12
18 1 6
20 1 4
12 1 3
8 1 3
8 1 4
10 1 4
12 1 8
14 1 2
37 2 9
15 1 2
9 1 5
59 4 19
13 1 3
9 1 2
5 1 1
13 1 6
26 2 11
27 1 7
14 1 2
10 1 4
12 1 3
10 1 5
6 1 5
14 1 5
20 1 8
28 3 8
9 1 3
12 1 3
8 1 3
8 1 3
12 1 3
11 1 2
12 1 7
24 2 12
26 1 6
16 1 8
23 2 9
9 1 7
20 1 6
17 1 8
21 2 11
16 1 2
6 1 1
37 2 16
35 3 18
7 1 1
31 2 6
8 1 4
12 1 4
13 1 3
10 1 3
6 1 3
7 1 1
34 2 11
15 1 5
15 1 6
15 1 3
8 1 3
13 1 3
11 1 3
8 1 5
14 1 5
14 1 2
7 1 2
10 1 7
13 1 2
9 1 2
8 1 3
34 2 6
18 1 3
8 1 2
8 1 4
7 1 4
12 1 3
15 1 6
15 1 4
9 1 8
24 2 7
8 1 5
14 1 2
9 1 4
7 1 5
16 1 3
7 1 2
11 1 7
16 1 3
46 4 18
12 1 7
11 1 3
8 1 2
7 1 1
13 1 4
9 1 4
16 1 3
6 1 3
13 1 2
10 1 3
6 1 6
19 1 5
18 1 6
17 1 7
10 1 4
15 1 5
11 1 8
18 2 5
14 1 3
12 1 2
7 1 2
11 1 2
5 1 2
6 1 4
13 1 4
26 3 14
19 2 10
11 1 5
7 1 5
12 1 5
18 1 4
6 1 2
15 1 3
9 1 6
18 1 4
4 1 4
12 1 5
8 1 5
14 1 6
20 2 7
11 1 6
23 1 4
11 1 2
8 1 2
7 1 5
17 1 4
7 1 2
16 1 3
14 1 3
8 1 1
38 3 7
9 1 4
19 1 3
8 1 2
12 1 3
12 1 2
7 1 2
9 1 2
8 1 3
33 2 8
8 1 3
12 1 6
16 1 3
6 1 3
14 1 4
10 1 3
13 1 3
9 1 3
9 1 3
12 1 4
12 1 5
12 1 4
10 1 4
12 1 2
13 1 2
6 1 2
13 1 2
9 1 2
16 1 3
9 1 2
10 1 3
14 1 5
13 1 4
6 1 4
10 1 2
11 1 2
7 1 2
9 1 4
14 1 3
9 1 3
10 1 2
7 1 2
15 1 3
6 1 3
25 2 4
11 1 3
8 1 2
8 1 2
9 1 1
15 1 3
8 1 3
5 1 3
13 1 2
8 1 2
10 1 6
25 1 4
11 1 3
11 1 8
7 1 8
22 1 2
11 1 2
7 1 2
13 1 3
9 1 2
6 1 3
10 1 2
11 1 2
6 1 2
6 1 2
8 1 7
18 1 4
9 1 4
13 1 4
10 1 4
11 1 4
7 1 4
12 1 4
8 1 2
26 2 8
11 1 2
8 1 3
9 1 3
10 1 7
11 1 2
6 1 2
12 1 5
17 1 2
8 1 2
15 1 4
9 1 5
11 1 3
10 1 2
5 1 1
10 1 4
12 1 3
9 1 2
9 1 2
8 1 3
10 1 3
12 1 7
17 1 4
5 1 2
4 1 4
12 1 2
6 1 2
6 1 2
6 1 2
9 1 3
11 1 2
7 1 2
7 1 4
10 1 2
5 1 2
7 1 3
6 1 3
9 1 2
9 1 3
6 1 2
8 1 3
10 1 2
7 1 2
8 1 2
9 1 2
11 1 2
9 1 2
9 1 2
9 1 2
9 1 2
7 1 2
7 1 3
11 1 3
8 1 3
8 1 2
7 1 2
7 1 3
5 1 3
12 1 2
9 1 2
10 1 2
7 1 2
8 1 2
8 1 2
8 1 3
11 1 4
14 1 2
7 1 2
10 1 4
16 1 4
8 1 2
8 1 3
6 1 3
11 1 3
11 1 3
13 1 3
8 1 3
12 1 2
10 1 2
8 1 3
7 1 3
10 1 3
11 1 2
9 1 1
12 1 2
8 1 2
7 1 2
8 1 2
11 1 2
9 1 3
9 1 2
6 1 1
10 1 2
8 1 2
8 1 2
