nodesPerPartition bytesPerNode cliquesPerPartition
808 233 1864
723 208 1664
2488 321 2235
2282 309 2255
658 187 1496
2507 296 1682
1175 211 1268
483 145 1004
443 122 872
560 148 1016
500 119 776
446 77 607
241 34 272
371 123 984
1513 207 984
412 105 840
787 147 642
425 75 481
343 99 707
389 97 776
324 46 368
230 65 487
409 107 855
485 107 597
225 44 352
266 81 321
209 28 217
261 44 352
251 34 272
401 68 544
239 24 192
494 105 692
350 68 544
484 96 471
293 85 577
264 63 504
187 35 280
461 91 519
304 47 354
344 78 423
234 60 348
248 41 239
320 47 253
282 43 227
182 26 208
179 33 264
254 42 254
260 34 272
402 50 380
244 72 384
270 30 240
168 28 224
136 14 112
329 68 436
563 86 496
255 34 150
277 31 248
165 15 120
221 66 414
233 43 231
287 49 271
270 56 387
132 24 192
257 54 432
151 16 128
361 68 335
422 77 447
211 59 253
285 54 243
181 52 183
244 41 328
223 61 443
224 46 368
565 72 418
151 55 433
136 45 360
73 9 72
255 60 480
170 57 456
858 100 592
185 22 176
166 21 168
371 72 395
194 53 424
79 8 64
278 71 520
386 72 388
151 51 296
305 64 466
522 65 418
134 16 114
121 14 96
161 18 84
139 17 104
104 13 104
218 24 192
228 54 403
315 64 271
297 34 272
315 53 424
97 22 171
105 22 176
158 45 360
574 81 405
127 19 152
215 31 248
334 66 437
243 44 291
92 10 80
182 22 176
233 54 310
134 16 128
253 39 238
108 20 156
163 20 160
230 56 329
181 25 200
229 54 354
221 28 224
216 57 292
218 34 206
108 21 160
113 12 96
63 6 48
135 26 208
117 21 168
215 53 275
142 49 218
79 8 64
193 29 232
68 6 16
292 57 314
167 28 224
172 45 233
163 23 184
217 46 281
214 47 376
91 11 88
565 74 488
316 40 286
300 46 355
202 41 321
242 51 272
110 22 176
260 44 325
209 45 203
205 48 384
316 65 338
106 9 72
231 42 230
403 49 277
153 15 120
271 57 246
56 7 45
77 8 64
251 35 280
157 42 250
112 13 104
157 19 142
212 34 272
449 62 359
167 44 275
163 46 307
189 21 168
161 18 144
195 44 352
213 27 216
66 6 48
340 54 378
176 28 219
181 28 224
243 51 352
134 32 192
326 45 282
239 51 260
199 47 296
367 57 346
173 41 235
291 38 201
226 39 264
131 18 144
48 4 25
147 35 149
248 29 161
224 32 256
63 7 56
238 47 310
98 12 96
304 44 352
140 15 120
287 47 336
155 45 202
162 21 168
68 8 64
30 3 1
286 44 324
146 38 304
117 36 288
557 69 292
228 36 288
100 17 136
94 12 96
227 45 239
193 22 145
229 36 264
138 37 199
163 43 325
235 50 269
228 33 246
58 6 48
93 15 120
229 34 186
177 21 168
151 26 208
99 10 80
8 1 1
169 33 228
168 30 119
216 25 168
129 20 160
213 29 232
298 43 293
68 10 80
167 42 243
192 37 184
184 39 270
137 15 120
247 44 219
220 28 215
107 13 104
80 10 80
164 27 216
45 3 9
201 43 288
167 37 289
180 37 272
318 48 283
177 24 179
95 11 80
131 17 136
143 35 148
100 10 77
106 10 80
161 32 162
134 34 214
227 27 210
156 36 264
157 28 224
131 35 209
