nodesPerPartition bytesPerNode cliquesPerPartition
2753 332 1892
2278 284 1690
2282 309 1686
808 233 1358
1175 211 1268
723 208 1621
1513 207 1187
658 187 968
560 148 1162
787 147 1037
483 145 879
500 119 912
446 77 616
371 123 942
443 122 655
425 75 571
487 108 839
409 107 778
494 105 833
412 105 664
241 34 272
401 68 448
858 100 792
343 99 359
565 72 491
324 46 368
389 97 703
484 96 535
563 86 655
257 64 370
251 34 272
461 91 442
540 70 560
409 53 424
334 75 470
261 44 345
209 28 224
422 77 583
320 47 360
293 85 337
213 43 344
266 81 643
574 81 577
271 38 304
582 80 407
269 39 220
276 52 277
248 41 328
239 24 192
386 72 479
337 71 497
271 30 240
370 75 276
299 34 272
255 34 252
254 42 326
352 67 491
244 72 316
434 61 360
277 31 248
278 71 492
187 35 280
449 62 368
244 41 328
557 69 472
233 43 313
361 68 381
276 40 316
316 40 294
287 49 330
176 33 264
264 63 292
334 66 523
221 66 245
315 53 287
316 65 376
270 56 447
151 16 128
305 64 286
305 57 331
236 27 216
303 47 197
171 23 184
224 46 330
132 24 192
243 44 330
223 61 278
304 44 339
218 28 224
252 60 447
215 31 248
234 60 224
165 15 120
168 28 209
291 38 304
136 14 112
166 21 168
211 59 323
242 46 368
185 22 176
216 57 455
292 57 452
170 57 376
193 29 232
271 57 449
367 57 407
340 54 425
149 15 120
206 30 240
230 56 256
326 45 227
248 29 140
251 35 272
253 39 239
188 23 120
181 25 200
451 55 433
151 55 425
229 54 432
228 54 371
260 44 321
233 54 427
257 54 198
326 48 384
286 44 303
215 53 304
240 37 266
184 28 224
194 53 224
189 21 168
228 33 264
181 52 320
162 24 192
318 48 376
151 51 377
121 14 112
240 50 281
231 36 218
243 51 331
135 26 208
239 51 229
226 35 199
213 27 128
216 25 148
138 19 106
134 16 128
136 15 120
263 32 208
235 50 213
100 19 152
280 42 241
91 10 80
142 49 297
127 19 152
282 49 300
131 18 144
296 37 195
227 27 136
226 32 255
385 48 383
205 48 165
108 21 98
157 19 128
139 17 112
158 18 144
73 7 19
214 47 373
287 47 373
199 47 245
226 39 239
196 23 184
247 44 304
238 47 320
163 46 365
217 46 243
163 23 152
177 24 192
181 29 216
229 41 249
172 45 360
227 45 360
158 45 195
174 28 208
169 33 264
159 20 160
135 45 179
241 31 237
74 9 72
209 45 278
104 13 104
226 43 184
309 45 353
155 45 163
178 31 192
68 6 48
108 20 160
212 34 144
220 28 224
97 22 176
167 44 166
245 29 210
177 21 168
117 36 216
298 43 224
113 12 96
173 41 280
163 43 297
291 40 282
201 43 298
131 17 129
160 17 136
117 21 168
167 42 266
161 32 256
137 15 120
157 42 133
91 11 88
79 8 60
153 15 120
247 30 182
245 34 250
159 23 184
134 32 161
199 36 241
242 39 223
200 26 186
154 24 143
151 26 208
202 41 322
215 41 247
106 9 72
191 35 150
63 6 48
180 30 163
226 26 166
168 30 168
190 40 316
198 40 195
107 13 91
94 12 96
126 20 160
157 25 120
144 30 224
157 28 152
75 8 64
110 22 143
157 25 147
118 14 112
234 29 177
152 19 152
194 38 235
233 35 272
98 12 64
135 14 112
146 38 211
164 27 115
170 19 143
195 22 172
158 20 160
183 38 206
207 26 194
161 23 177
106 10 80
147 38 282
167 37 229
149 22 168
99 10 80
138 37 218
238 35 153
54 6 48
163 23 113
146 19 145
196 22 160
192 37 180
121 11 88
177 23 184
87 9 72
68 8 64
140 15 120
198 37 289
180 37 157
181 20 91
126 16 85
100 17 136
112 14 112
173 34 209
162 19 152
138 36 286
188 36 285
194 36 197
128 20 160
209 33 233
156 36 207
126 24 131
119 17 136
196 26 187
133 35 250
169 24 184
147 35 279
131 35 183
168 23 176
99 11 88
143 35 276
207 35 276
173 35 173
125 22 112
136 24 192
154 35 176
76 8 64
212 35 171
97 10 49
105 12 96
203 27 115
208 25 200
90 10 80
149 34 245
145 16 128
251 31 180
194 23 154
225 34 205
171 30 152
125 13 104
159 34 270
134 34 186
118 13 89
122 14 103
27 3 24
131 25 198
142 25 147
177 34 208
80 10 80
151 22 160
109 34 171
129 20 160
118 13 96
165 22 176
154 34 266
180 34 266
122 34 184
159 23 170
128 34 121
130 16 62
75 7 44
102 10 80
81 8 64
132 34 265
177 34 203
153 18 144
229 30 146
222 33 183
140 21 167
123 28 138
180 22 128
218 25 200
143 33 259
176 33 240
90 14 112
160 30 238
141 30 192
129 33 259
169 33 221
156 30 126
69 8 64
94 11 41
80 10 80
169 30 136
88 10 80
181 33 195
165 18 139
130 30 144
230 32 195
77 8 64
155 32 224
133 16 128
158 29 158
136 32 116
95 11 80
146 17 136
137 15 120
182 32 195
48 4 32
131 26 114
147 20 101
154 19 106
64 5 40
138 21 149
97 31 104
129 17 105
30 3 24
143 18 144
117 29 141
164 19 117
143 15 92
68 10 76
69 14 83
100 12 96
143 17 82
55 6 48
105 10 64
106 11 88
156 22 176
108 11 88
138 31 157
124 14 112
210 24 184
83 11 88
94 31 244
164 31 217
45 3 24
87 8 64
171 20 160
145 31 243
152 31 183
69 11 88
150 31 123
108 12 96
142 26 187
133 31 154
91 10 80
165 20 129
160 22 145
134 21 132
131 15 120
57 5 40
163 23 184
169 30 237
141 30 199
95 11 88
145 30 229
163 23 184
142 30 177
146 17 136
200 23 170
182 25 196
96 30 184
92 10 80
101 10 80
150 30 235
171 30 161
112 16 119
91 9 72
140 27 171
121 16 96
128 23 91
64 6 40
71 7 56
139 20 129
140 21 128
88 9 72
146 29 231
215 29 216
44 4 32
101 29 157
124 14 112
153 22 116
106 21 103
109 14 71
126 13 96
124 14 105
109 14 112
145 29 158
124 17 136
103 29 181
60 5 40
71 16 128
8 1 1
100 29 126
67 8 49
72 7 56
117 13 80
125 14 112
74 7 56
155 29 229
196 28 224
151 28 195
72 7 40
90 10 80
127 28 223
111 28 145
92 10 80
172 22 123
128 16 128
62 5 40
145 28 162
174 20 130
172 24 95
130 19 109
51 5 40
95 10 66
87 12 88
110 13 104
173 28 219
198 28 164
98 11 88
119 28 125
150 21 118
129 28 218
130 28 218
223 28 176
37 3 9
153 26 177
112 22 136
73 9 72
43 4 32
144 28 157
44 3 24
117 28 162
98 12 95
137 22 168
49 5 16
40 4 9
114 27 106
76 7 56
157 19 115
122 27 120
75 10 80
166 18 144
144 27 215
142 27 214
168 27 176
34 3 24
82 8 64
91 23 153
94 10 80
43 3 24
152 27 168
209 23 178
196 23 125
132 18 144
108 27 131
45 4 4
155 22 132
107 27 138
140 17 131
115 17 136
88 10 80
84 8 64
119 19 152
67 8 64
142 21 168
66 6 48
60 9 67
63 9 72
108 27 209
99 27 193
97 20 131
40 3 18
112 26 113
170 24 191
154 26 150
83 14 112
140 19 100
161 22 166
139 26 129
76 8 64
28 2 3
170 20 157
114 23 137
134 26 108
92 10 80
97 11 88
116 13 104
90 13 104
126 18 133
107 16 112
143 17 132
113 15 88
163 19 105
76 13 76
90 10 59
71 11 52
59 6 32
79 8 63
83 10 80
104 20 97
113 22 170
59 6 48
62 8 64
191 26 182
112 24 94
167 21 168
117 12 96
146 26 201
105 26 147
105 20 88
118 11 70
87 9 72
59 6 48
103 25 148
151 23 129
28 3 24
94 16 99
103 15 120
171 25 96
40 4 32
128 15 120
128 19 119
106 25 121
119 15 120
164 25 160
51 5 13
112 25 89
83 8 46
73 10 80
124 20 132
71 9 72
138 22 117
103 13 88
113 14 108
87 14 80
138 18 120
113 25 142
40 4 18
93 25 118
131 18 144
168 23 168
75 7 51
69 7 44
86 9 72
134 25 152
37 3 24
150 20 127
71 6 48
121 15 96
199 24 116
112 14 112
178 25 140
79 9 64
50 5 40
89 13 104
160 25 152
98 10 52
75 11 88
15 1 8
64 7 56
106 21 168
86 24 95
148 18 137
54 6 48
99 18 132
64 9 49
86 11 88
76 24 109
100 10 61
63 5 40
102 13 68
84 8 48
76 9 58
80 13 80
79 11 88
110 12 96
82 12 96
144 24 189
97 24 189
119 24 112
121 22 136
62 6 48
130 24 101
82 12 81
131 19 128
90 9 72
45 4 32
203 24 127
53 8 64
100 24 112
47 8 37
58 6 48
104 15 82
101 13 98
56 7 56
90 9 72
114 24 186
112 13 104
82 8 64
184 24 119
75 12 96
174 21 88
61 5 32
59 6 48
75 12 63
51 4 32
99 10 80
124 15 96
123 24 125
131 20 130
70 10 80
92 23 144
156 20 104
84 12 60
68 8 64
41 4 32
81 13 63
106 12 76
81 11 58
71 12 96
58 5 25
42 4 7
126 23 182
102 23 155
181 22 143
162 18 136
46 4 6
126 16 95
104 23 153
84 8 64
107 23 182
94 23 128
43 4 32
59 6 48
121 21 154
164 20 77
145 18 112
102 10 76
88 10 80
82 23 113
125 16 93
130 23 106
94 13 89
84 9 72
102 11 80
107 17 136
89 10 80
149 23 153
28 3 2
127 23 178
137 23 98
129 18 97
57 7 56
80 9 60
58 11 80
89 12 93
137 15 120
106 10 80
156 23 106
80 12 96
77 8 64
121 23 177
112 23 156
17 2 2
82 12 96
36 3 24
113 21 89
89 10 80
132 22 106
95 12 96
21 2 16
41 5 40
78 8 64
144 22 136
146 20 104
28 2 7
104 22 144
85 9 64
87 13 104
101 22 82
109 20 77
90 12 93
103 12 96
112 22 144
71 14 112
143 22 174
140 22 138
40 3 24
119 17 106
120 14 112
101 17 111
62 8 64
95 22 173
98 22 85
55 5 31
70 7 56
93 18 112
89 22 146
52 5 40
88 9 72
137 22 129
70 7 56
148 17 120
87 12 94
91 12 96
116 21 161
89 11 88
88 22 85
79 11 72
63 7 56
38 4 32
27 3 24
97 16 112
139 22 84
98 12 96
119 17 116
79 16 112
60 13 91
98 22 100
86 11 57
43 3 22
50 3 24
77 7 56
92 12 89
104 22 169
97 22 106
37 4 32
90 9 68
53 4 32
90 12 94
106 16 73
88 9 56
49 5 40
82 9 58
74 10 69
67 7 56
120 15 120
61 6 45
70 7 56
150 21 128
30 3 4
107 15 120
80 21 117
86 10 80
153 20 128
59 6 48
19 1 2
53 5 40
142 16 112
127 17 79
78 10 77
52 7 56
88 14 83
102 15 120
71 9 72
81 21 125
108 15 76
147 18 119
28 2 16
84 10 80
55 5 40
80 21 108
143 17 108
150 19 128
61 10 80
137 16 115
115 14 72
106 15 97
72 7 56
98 13 65
63 7 56
138 16 64
90 14 80
98 12 81
87 9 72
83 16 128
64 21 162
136 21 146
135 16 114
86 15 73
107 17 70
82 9 52
20 2 2
58 6 43
51 5 40
67 7 56
95 16 113
69 8 64
84 8 64
135 21 160
73 10 80
132 15 120
152 21 105
79 11 88
118 21 106
114 13 104
91 11 80
158 20 160
60 7 56
144 20 160
87 20 138
43 4 32
99 11 77
124 19 120
120 20 104
64 9 72
138 17 99
76 15 115
121 20 95
79 10 80
32 3 24
74 6 48
121 20 96
97 12 96
53 6 23
32 3 22
33 3 20
39 4 11
36 3 11
112 17 124
93 11 88
127 16 105
69 11 75
100 14 86
97 20 97
66 12 96
175 20 157
105 20 157
71 20 157
110 20 157
84 20 100
62 6 48
81 9 72
124 19 80
113 17 68
116 12 96
72 8 64
105 17 96
97 15 120
86 13 87
128 16 105
128 17 101
55 7 56
89 14 92
71 8 64
135 20 89
137 17 121
101 15 94
122 17 116
62 7 56
143 20 112
54 5 40
56 6 48
110 20 66
40 4 32
110 12 96
79 8 64
26 2 3
118 20 120
96 10 76
70 7 56
93 15 120
60 8 64
95 20 114
79 10 80
144 16 128
23 2 16
102 20 77
10 1 8
46 3 24
59 7 54
61 9 64
84 10 55
17 1 4
98 12 94
113 14 112
77 8 64
39 4 13
66 19 152
95 19 152
73 19 152
101 19 152
81 19 66
56 7 56
77 7 56
89 11 83
97 11 88
69 19 137
47 5 40
130 18 95
55 5 40
99 19 103
24 2 16
100 18 134
54 8 41
57 9 72
27 3 21
83 19 151
63 19 70
82 15 105
92 10 80
91 19 150
110 19 120
98 15 99
73 8 64
121 19 125
31 2 5
86 19 124
53 6 48
17 2 13
91 16 94
43 4 28
48 5 40
88 19 104
73 9 72
72 19 70
61 7 49
101 11 88
79 19 149
90 19 123
102 13 104
68 19 69
68 6 48
90 14 88
91 17 124
69 8 64
89 19 87
124 12 94
100 12 79
70 10 80
59 6 48
111 13 96
87 19 81
74 10 72
150 17 121
81 9 72
54 5 40
82 19 96
117 18 141
111 18 140
82 14 104
192 19 129
118 17 102
37 4 32
94 16 114
111 19 112
119 14 104
58 7 49
65 7 56
124 13 104
69 19 104
116 18 100
78 10 80
70 9 72
110 18 98
59 7 40
56 8 64
89 12 90
91 12 91
107 15 99
56 14 53
66 7 48
57 10 40
69 7 56
81 14 59
68 9 72
64 7 56
56 19 146
63 19 145
154 19 108
118 14 108
101 14 104
93 19 112
44 4 32
137 19 136
75 9 72
125 17 76
74 11 65
125 16 121
134 19 112
87 16 94
73 19 105
43 5 40
119 15 100
139 17 116
81 18 80
8 1 8
32 3 24
63 8 64
50 6 48
78 18 144
45 6 48
116 18 84
41 6 20
48 5 40
56 5 37
55 5 40
103 11 88
112 18 97
62 7 56
82 13 75
69 12 57
45 6 44
64 8 62
73 8 64
36 3 24
101 11 80
98 14 75
69 9 42
81 10 80
75 14 96
80 9 72
70 18 111
89 16 80
25 2 16
103 18 122
71 17 51
83 11 78
37 3 8
99 18 97
51 7 56
33 3 24
116 18 100
121 13 83
50 10 80
84 14 88
86 10 57
83 11 72
113 13 104
39 5 40
17 2 9
78 14 112
66 18 141
71 18 107
56 5 40
114 17 121
53 6 48
94 18 141
60 18 96
61 6 48
110 12 96
62 8 64
104 18 102
64 10 80
83 12 96
55 9 72
98 18 129
96 10 76
58 8 64
62 18 74
80 9 52
41 4 32
66 7 56
72 14 112
86 18 111
76 14 96
31 3 24
86 11 61
109 12 76
85 13 104
50 4 26
47 5 40
89 18 122
65 7 56
27 2 16
40 4 7
111 18 136
77 13 104
76 11 88
95 18 74
128 15 80
70 8 64
85 18 61
101 13 104
61 6 48
82 18 73
92 15 84
56 10 78
107 16 81
64 7 48
95 11 72
38 4 10
142 18 118
91 11 85
55 8 64
92 16 72
90 9 72
90 9 59
93 8 64
47 4 32
117 18 137
79 18 128
74 10 80
108 18 137
57 18 137
77 18 111
32 3 24
99 14 106
94 14 112
55 5 37
58 9 72
49 6 48
116 17 73
123 14 104
43 4 32
13 1 1
85 17 124
21 2 16
60 6 48
114 16 101
93 17 136
90 17 136
110 17 105
74 8 64
58 4 32
108 17 61
97 11 88
102 11 88
58 7 56
58 6 48
115 13 81
95 10 78
73 10 80
18 2 11
35 3 24
56 6 48
96 17 128
48 6 48
90 9 72
128 16 73
94 17 72
54 8 64
38 5 40
99 11 88
130 17 134
144 17 97
86 13 80
29 3 2
127 14 112
30 3 24
73 10 70
95 17 134
52 4 25
28 2 16
50 6 42
59 6 48
106 17 88
90 9 72
106 17 73
45 4 32
67 10 74
48 5 40
87 10 64
75 12 96
57 6 48
107 16 113
72 8 64
121 15 120
45 7 28
55 5 40
83 17 91
34 4 32
71 15 108
72 8 64
65 17 133
17 1 2
84 17 79
63 7 56
50 6 48
126 17 125
44 5 40
123 17 72
126 15 116
109 15 104
126 16 104
12 1 1
48 4 32
27 3 24
101 13 55
86 7 41
28 3 24
59 10 80
34 4 32
75 11 88
79 17 120
82 12 96
68 17 64
118 14 85
85 11 61
94 8 57
52 6 48
69 10 62
73 8 64
34 3 18
32 3 24
77 13 104
79 17 96
45 7 47
75 10 48
76 12 96
28 3 24
112 15 120
77 10 80
24 2 4
83 17 61
77 14 69
84 8 64
119 17 104
58 11 62
65 8 64
89 16 90
68 17 81
78 12 89
40 4 32
94 17 71
49 4 32
64 15 118
127 15 72
90 17 88
73 7 29
31 3 24
11 1 1
66 6 28
44 4 22
37 3 8
51 17 60
73 7 40
8 1 5
38 6 34
45 4 32
41 5 40
104 10 58
99 12 74
102 13 96
46 5 20
31 4 16
32 3 19
31 3 7
86 16 128
73 16 92
41 7 56
94 14 97
92 15 92
91 14 99
112 13 69
88 14 84
48 4 32
89 14 111
113 14 73
86 16 127
91 16 127
32 3 14
117 16 73
73 7 56
61 8 64
90 16 127
76 16 127
93 16 89
30 3 4
70 16 114
51 6 48
87 15 96
42 5 40
98 12 67
83 11 56
45 4 32
94 11 54
88 8 64
68 10 57
19 2 16
10 1 1
67 7 51
76 10 72
75 16 126
60 8 64
60 16 126
71 16 60
56 8 35
22 2 16
71 7 50
49 6 40
67 7 40
61 8 59
90 10 56
67 7 48
51 11 83
10 1 5
71 16 112
46 5 33
51 8 64
16 2 9
84 16 101
91 10 80
98 15 73
45 4 19
46 5 40
74 10 58
86 9 72
42 4 32
75 16 112
15 1 2
70 9 64
84 13 52
54 9 48
95 10 80
20 2 10
29 3 16
20 2 16
27 3 24
47 16 41
87 9 62
83 13 60
45 4 32
46 6 48
80 9 65
86 15 88
105 16 75
87 11 81
74 15 48
55 5 17
37 4 17
48 5 40
57 8 46
68 9 72
42 5 18
85 15 85
46 9 32
59 7 49
65 6 48
101 11 88
64 8 64
24 2 5
108 14 89
82 15 89
74 12 62
34 5 40
76 9 64
81 16 76
53 7 32
35 4 32
68 6 48
42 5 40
76 16 59
40 4 32
66 8 32
58 5 40
50 5 40
75 14 80
118 16 108
66 7 56
49 6 48
65 16 64
66 7 56
82 13 75
83 12 68
48 6 48
80 11 88
80 14 105
78 14 82
76 15 76
79 11 73
75 16 79
58 6 48
89 10 74
86 10 56
24 2 16
93 9 48
71 7 56
62 6 48
93 15 87
116 13 96
90 9 72
89 15 116
103 14 76
83 9 72
77 11 88
26 2 16
55 6 48
85 13 93
72 14 112
82 14 64
86 10 49
61 6 35
49 4 32
52 5 40
37 3 24
58 15 72
39 4 32
90 12 62
43 4 26
30 3 24
33 4 32
28 4 32
72 8 50
65 7 48
40 4 32
73 9 64
40 4 32
99 15 119
58 15 79
50 5 40
38 3 16
87 14 65
60 8 33
46 4 28
37 4 16
47 3 24
32 4 32
72 8 52
124 13 88
85 12 88
67 7 56
95 12 72
75 8 46
75 11 64
95 15 101
35 3 20
29 3 11
73 15 110
109 14 89
88 15 105
47 6 48
56 15 74
43 3 24
83 10 80
45 4 32
28 3 24
90 11 88
61 7 56
86 15 96
88 12 57
103 11 81
36 4 16
27 2 6
62 14 80
28 3 24
76 15 117
113 15 57
61 7 40
40 5 40
76 8 49
76 10 63
57 9 56
75 8 64
82 12 73
71 8 49
71 9 57
53 7 32
64 6 48
66 9 72
78 12 73
86 14 73
76 7 56
53 15 62
49 5 31
53 6 47
54 6 48
47 4 32
62 15 66
91 11 69
52 7 56
87 10 46
51 5 40
97 11 88
39 4 32
76 15 72
73 12 80
60 6 48
46 5 40
103 12 91
17 1 8
20 2 15
45 11 66
75 13 74
71 15 115
71 15 69
43 6 48
27 3 24
99 15 96
31 3 11
76 15 75
57 13 96
38 5 40
55 6 48
64 15 88
78 14 105
114 14 75
42 5 35
15 2 16
37 4 32
57 7 56
87 9 72
80 15 94
87 9 70
95 12 95
91 12 86
62 9 62
39 4 32
77 11 64
18 2 16
45 4 17
44 5 40
57 10 80
42 3 24
25 2 16
47 5 40
56 15 91
79 10 74
91 15 69
36 4 23
30 3 24
71 15 75
65 7 41
74 9 64
67 10 80
83 14 74
47 8 37
65 7 56
93 14 92
93 11 72
78 12 47
55 5 40
85 9 72
23 2 2
88 15 85
49 5 40
32 3 24
66 15 113
97 15 113
73 15 113
85 15 93
87 11 81
66 15 111
41 4 32
66 15 113
73 15 79
41 3 24
48 6 48
24 2 14
80 15 113
53 15 67
30 3 24
48 7 56
79 9 68
61 8 64
84 14 90
101 11 64
134 14 64
51 5 40
29 3 24
82 10 79
80 10 68
73 12 80
87 14 112
82 14 80
74 8 64
30 3 5
103 14 81
43 7 48
35 4 32
79 11 80
64 7 56
65 14 85
40 4 22
19 2 10
27 3 24
42 4 32
62 10 48
77 8 44
82 10 80
91 10 56
49 8 35
48 4 22
39 3 24
126 14 91
66 9 65
39 4 32
77 14 69
63 7 56
56 5 40
91 14 111
69 14 75
43 4 32
66 8 64
74 13 104
84 13 75
45 5 40
15 1 7
68 14 95
62 7 49
67 11 88
65 14 94
67 12 95
82 14 100
38 4 32
84 14 96
20 2 2
92 14 84
43 5 40
33 3 24
105 11 87
99 11 86
78 10 70
83 14 105
33 4 22
30 3 24
80 14 50
55 6 32
73 8 59
103 12 83
87 11 68
57 5 40
89 13 83
84 14 59
82 11 81
30 3 24
60 7 56
35 4 32
111 14 95
68 8 64
91 14 81
89 12 92
87 14 63
88 11 56
45 4 32
98 11 59
82 14 75
9 1 1
65 9 63
79 14 81
36 4 32
110 14 110
105 14 72
79 8 64
29 3 14
65 14 110
74 14 90
37 3 24
61 9 72
80 13 67
77 8 60
105 13 57
42 4 32
61 7 48
62 6 32
59 7 38
54 5 40
64 7 40
54 5 37
29 3 24
73 9 72
87 14 97
57 12 81
78 14 99
46 4 32
68 14 109
60 14 53
33 5 40
30 3 24
61 6 48
58 5 40
91 13 88
52 7 56
87 14 109
64 14 78
46 6 48
21 2 12
79 14 108
73 9 72
45 5 40
21 2 3
80 14 67
97 13 66
72 14 61
84 11 76
60 7 56
67 14 108
61 14 63
77 9 72
44 8 63
73 12 51
45 6 45
32 3 5
89 10 80
66 6 48
60 14 85
11 1 8
47 4 32
66 7 56
72 10 56
62 7 39
60 6 48
9 1 2
71 12 93
82 12 48
15 1 8
49 5 40
106 11 55
88 12 46
25 2 16
60 6 48
102 11 60
92 10 50
32 4 32
74 9 57
45 6 48
88 14 60
69 7 36
54 6 32
44 4 32
18 2 6
49 7 32
52 5 40
23 2 16
56 14 107
82 14 76
68 10 72
34 3 24
74 13 54
61 6 48
59 7 48
75 11 88
82 13 53
45 4 31
56 6 44
51 8 57
62 8 56
39 3 24
74 14 106
68 14 100
72 9 72
85 13 101
61 13 60
23 2 16
66 7 56
67 7 56
29 3 16
31 4 12
88 14 55
33 4 30
64 6 47
45 4 32
66 6 48
21 2 15
52 14 60
62 11 66
45 5 40
83 14 82
49 5 40
77 11 54
78 10 53
46 7 56
21 2 16
89 11 52
64 6 41
75 8 56
77 9 72
77 13 67
68 9 60
41 6 44
54 8 59
56 6 48
93 10 73
62 14 105
74 14 80
54 5 40
91 14 86
71 13 104
25 2 16
51 6 48
73 14 90
62 9 65
91 14 83
38 4 32
68 10 54
64 8 64
46 6 48
69 14 105
45 14 74
46 7 56
29 3 24
77 10 64
76 9 49
87 12 70
62 6 46
76 9 67
68 9 65
73 9 72
51 11 58
40 4 32
80 10 67
85 13 88
34 3 24
59 8 64
95 13 65
64 8 64
73 13 104
32 2 16
36 4 32
60 13 48
47 4 32
39 5 25
57 6 28
26 3 16
37 4 26
50 6 33
34 3 24
55 5 40
81 13 77
92 10 72
49 5 40
89 13 97
51 6 48
5 1 2
89 13 62
57 6 38
52 7 33
33 3 24
54 6 48
62 13 103
100 13 81
38 4 32
66 13 103
92 13 103
79 13 73
60 6 40
37 4 32
31 3 24
52 5 40
69 10 66
55 8 44
31 3 24
62 8 62
76 8 55
23 2 16
66 7 54
104 13 101
93 13 54
11 1 1
78 12 92
110 12 67
64 9 41
81 8 64
63 10 79
91 12 80
56 6 48
74 13 57
43 7 49
51 4 32
71 10 72
78 13 102
67 13 93
48 6 47
27 2 4
49 6 48
11 1 2
68 11 45
55 6 35
25 2 16
59 6 45
74 8 56
103 11 59
57 8 32
32 4 28
42 4 32
70 6 47
32 3 24
65 6 48
32 4 25
28 4 32
66 9 72
72 12 72
81 13 63
74 6 48
80 10 54
24 2 16
65 7 48
23 3 24
36 3 24
45 5 40
66 11 72
34 3 24
65 13 101
67 13 92
43 6 48
81 13 101
58 13 101
94 13 89
44 7 46
56 8 42
20 2 16
48 5 39
51 5 30
39 4 28
28 4 28
36 4 32
73 9 72
45 5 40
79 12 64
62 13 48
30 3 24
95 11 62
47 5 40
55 8 64
71 11 56
94 10 64
67 7 56
85 13 97
98 13 61
37 3 24
18 1 8
58 8 64
59 13 100
43 13 75
25 2 16
36 5 40
85 13 53
73 12 80
46 5 40
65 13 67
66 8 64
36 4 29
46 5 40
80 13 57
50 7 44
51 6 48
58 5 40
73 9 54
15 2 16
50 6 48
47 5 40
9 1 3
88 9 50
50 7 52
44 4 32
65 9 47
50 6 32
12 1 8
12 2 16
48 5 40
38 5 40
50 8 38
40 4 32
35 3 24
49 6 45
40 6 48
62 13 66
48 8 64
67 13 99
81 13 99
35 3 24
83 9 59
29 2 7
81 13 62
53 8 64
56 13 67
45 6 48
73 9 41
45 6 40
70 7 54
53 7 48
35 4 32
97 11 58
43 4 16
25 2 16
40 4 25
51 6 42
23 3 8
65 9 72
39 4 32
84 13 98
54 13 80
43 4 32
72 13 80
59 6 48
65 13 75
55 10 72
32 3 20
33 3 24
68 13 69
19 1 8
31 3 24
72 12 67
30 3 24
19 2 16
55 7 56
77 11 42
37 4 32
40 5 38
57 5 39
55 5 40
79 9 64
48 5 40
35 3 24
90 13 58
90 10 73
44 5 40
71 10 72
42 13 72
59 8 56
91 13 80
46 7 56
93 13 97
85 13 75
99 10 64
24 2 16
55 6 48
74 10 80
17 2 16
55 13 97
64 13 97
25 5 19
35 3 24
17 1 4
73 13 91
44 5 40
96 13 49
30 3 24
51 6 48
46 5 40
75 11 72
53 6 48
27 3 23
35 3 24
58 11 60
71 8 64
30 3 16
10 1 8
27 3 19
23 2 14
43 13 73
51 8 59
73 8 40
83 9 72
63 11 64
39 3 24
33 3 24
14 1 8
61 6 48
89 12 88
20 2 8
39 6 48
29 3 24
55 12 96
56 6 48
80 12 53
28 3 24
63 7 33
33 3 22
51 5 39
25 3 24
29 5 16
38 4 32
105 12 65
55 7 39
40 4 24
33 3 17
28 3 24
72 9 52
38 4 32
52 6 41
48 7 44
66 11 88
60 7 56
34 12 96
91 12 59
44 6 26
45 5 40
22 3 24
63 10 80
68 12 96
49 12 96
