nodesPerPartition bytesPerNode cliquesPerPartition
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
13 1 3
13 1 2
12 1 2
12 1 2
12 1 2
12 1 3
13 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 3
13 1 3
12 1 3
13 1 2
12 1 2
12 1 2
12 1 2
14 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
13 1 2
12 1 2
12 1 2
12 1 2
12 1 3
13 1 2
13 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 2
12 1 3
13 1 2
12 1 2
12 1 2
12 1 2
11 1 2
11 1 2
11 1 2
11 1 4
13 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
12 1 5
11 1 5
13 1 2
12 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 3
13 1 4
11 1 4
12 1 4
13 1 2
11 1 2
11 1 3
12 1 3
12 1 5
13 1 2
11 1 2
11 1 5
13 1 2
12 1 2
12 1 2
12 1 2
11 1 2
12 1 2
11 1 2
12 1 3
11 1 3
13 1 2
11 1 2
11 1 2
11 1 2
11 1 3
12 1 5
11 1 5
13 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
12 1 2
11 1 2
11 1 3
13 1 2
11 1 2
11 1 2
11 1 2
12 1 2
11 1 2
11 1 6
13 1 5
14 1 3
11 1 3
12 1 2
12 1 4
11 1 4
12 1 2
12 1 4
11 1 4
13 1 2
12 1 3
11 1 3
12 1 3
11 1 3
12 1 2
11 1 2
12 1 4
12 1 2
11 1 2
12 1 2
11 1 2
11 1 2
12 1 4
12 1 5
14 1 3
11 1 3
13 1 2
11 1 2
12 1 5
13 1 2
11 1 2
11 1 2
11 1 7
15 1 3
12 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 8
16 2 4
11 1 2
12 1 2
11 1 2
12 1 4
13 1 3
11 1 3
12 1 3
11 1 3
12 1 3
11 1 3
14 1 3
12 1 3
11 1 3
12 1 3
13 1 2
11 1 2
11 1 4
13 1 2
11 1 2
11 1 5
15 1 2
11 1 2
11 1 2
11 1 3
13 1 3
13 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 4
14 1 2
11 1 2
11 1 2
12 1 2
11 1 3
12 1 2
12 1 4
13 1 4
13 1 4
12 1 2
11 1 2
11 1 2
11 1 6
13 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 3
12 1 2
11 1 2
11 1 2
11 1 2
11 1 3
12 1 4
13 1 2
11 1 2
11 1 2
12 1 4
15 1 4
11 1 4
13 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 5
13 1 4
12 1 2
11 1 2
11 1 6
15 1 2
12 1 3
11 1 3
13 1 3
11 1 3
12 1 2
11 1 2
11 1 2
11 1 2
12 1 2
11 1 2
11 1 2
11 1 5
13 1 2
11 1 2
11 1 2
11 1 7
15 1 3
13 1 3
11 1 3
12 1 3
12 1 4
13 1 3
11 1 3
12 1 2
11 1 2
11 1 4
13 1 3
12 1 2
11 1 2
11 1 2
11 1 4
12 1 2
11 1 2
12 1 6
13 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 4
12 1 4
11 1 4
13 1 2
11 1 2
11 1 4
12 1 3
12 1 6
13 1 3
12 1 2
11 1 2
11 1 4
12 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 6
15 1 4
12 1 4
13 1 3
12 1 2
11 1 2
11 1 2
11 1 2
12 1 2
11 1 2
