nodesPerPartition bytesPerNode cliquesPerPartition
202 34 242
175 37 203
209 46 185
209 20 136
119 21 121
115 19 152
344 25 199
143 22 159
86 28 114
184 15 120
270 32 102
105 13 88
122 14 75
265 11 60
100 8 49
130 7 56
127 11 88
82 5 40
119 20 97
104 13 82
98 20 94
81 12 65
86 9 40
40 2 16
95 7 56
245 20 152
129 8 46
82 10 33
82 8 40
65 7 56
76 9 72
220 26 167
106 16 92
130 12 96
200 21 86
108 9 42
80 7 48
66 5 40
83 7 50
76 7 46
114 11 88
113 10 61
123 12 96
52 4 3
176 21 114
84 16 82
67 6 48
149 12 56
88 7 56
90 7 44
156 10 80
221 17 108
5 1 1
128 10 58
127 11 88
78 6 48
121 17 103
121 15 87
60 6 30
50 4 17
39 2 10
7 1 1
35 2 7
76 11 64
81 7 56
197 13 96
98 14 103
210 19 119
108 15 86
104 9 72
128 14 112
144 17 112
58 5 7
128 19 81
182 20 110
43 4 15
166 12 89
134 15 73
181 12 84
27 1 1
160 14 80
158 13 99
19 1 2
74 8 64
88 13 74
173 16 80
161 18 111
228 14 80
209 15 104
66 5 24
41 4 3
132 16 121
21 1 1
97 11 80
128 16 91
145 11 56
55 5 40
124 12 89
158 13 72
99 7 56
48 5 40
129 12 51
42 6 30
120 7 56
20 1 2
63 7 56
269 17 70
23 1 8
27 2 2
156 14 75
117 8 64
166 12 80
176 14 104
21 1 1
183 16 109
156 14 112
93 7 56
5 1 0
135 15 66
65 6 48
165 9 64
114 7 56
57 3 24
102 13 73
37 2 3
113 12 69
122 9 49
49 2 16
52 4 32
120 10 80
121 15 72
205 13 72
37 2 4
112 16 112
56 4 2
200 15 50
51 7 45
73 6 48
56 5 40
97 8 61
49 2 2
104 10 52
106 7 41
100 11 85
117 13 69
38 4 32
128 9 61
78 7 43
55 6 48
146 8 64
57 5 12
153 13 73
202 12 76
44 5 22
28 3 16
58 4 32
79 10 74
130 10 80
192 14 93
39 2 15
51 3 24
99 12 61
55 5 24
12 1 2
59 6 32
67 8 56
118 11 76
184 14 80
120 10 80
165 14 64
60 5 40
136 14 65
84 7 56
84 11 86
64 5 40
161 14 96
101 12 59
97 8 32
79 6 30
74 4 6
136 14 57
113 3 6
8 1 1
138 13 79
104 10 52
114 11 56
65 6 32
101 8 44
53 6 42
71 8 40
23 2 16
33 1 8
42 4 11
102 9 65
72 7 48
77 9 25
50 3 17
42 4 16
26 2 6
22 1 4
98 4 29
72 5 40
117 13 85
91 5 40
94 11 57
63 5 40
63 8 56
125 7 41
74 5 40
77 8 34
76 4 29
68 5 40
14 1 1
122 9 72
107 8 64
116 12 60
81 8 30
94 7 56
24 2 2
123 13 65
39 3 3
109 11 56
86 9 56
145 11 53
68 6 44
88 9 47
140 8 64
90 9 72
43 4 32
85 11 53
16 2 2
80 6 48
90 7 40
94 9 66
94 9 44
53 5 34
51 5 40
113 11 85
148 11 88
27 2 1
141 14 69
114 8 64
59 6 48
143 13 34
83 6 48
55 2 16
84 8 42
26 3 24
64 6 41
36 4 32
19 2 4
94 11 71
116 10 64
144 9 37
37 3 19
32 3 18
48 4 32
117 8 64
147 15 54
72 7 51
138 10 80
36 3 10
56 5 40
100 11 65
127 10 56
79 9 41
88 8 34
51 3 24
72 7 56
100 8 64
71 7 56
141 11 48
36 2 16
79 8 56
95 7 48
6 1 1
89 11 64
69 8 48
113 10 72
89 9 69
89 10 73
125 10 44
21 2 16
96 6 43
62 6 33
31 3 17
65 4 32
115 7 55
88 7 32
93 8 49
39 4 32
99 7 56
73 10 80
161 12 64
48 4 32
131 10 71
41 3 3
89 7 48
110 9 50
73 7 49
78 7 56
125 12 50
20 2 4
102 7 51
101 7 43
46 3 16
32 2 2
110 9 47
25 2 16
61 5 40
108 8 64
67 8 56
57 6 48
134 11 58
33 2 14
48 2 16
88 8 63
76 6 47
72 8 61
81 8 60
24 2 4
100 9 40
94 10 46
18 2 4
126 10 42
66 6 46
123 9 56
9 1 1
104 7 40
68 5 40
23 2 16
33 3 24
79 7 39
38 3 24
81 6 32
98 8 33
52 5 32
103 8 46
120 7 49
39 3 24
61 5 40
107 11 64
56 4 32
82 6 48
90 10 53
80 6 48
38 3 14
94 7 50
68 7 35
101 9 53
75 6 29
58 7 50
92 9 40
137 8 56
110 9 40
64 7 31
65 5 40
30 3 20
25 3 6
101 8 34
57 4 24
53 3 24
56 4 32
91 7 32
58 6 48
94 8 48
95 10 47
83 9 56
29 3 20
103 8 33
47 3 24
119 8 61
106 10 48
99 9 33
58 4 32
84 8 64
48 3 24
75 9 50
76 7 36
14 2 4
71 8 57
94 8 49
34 3 24
42 4 32
16 1 3
44 4 32
72 7 50
99 7 46
53 4 30
74 7 51
56 7 49
144 9 48
23 2 16
90 8 49
63 6 32
72 7 48
46 6 46
118 8 34
27 2 15
26 2 16
61 5 35
64 5 34
56 5 40
72 7 39
51 5 39
52 7 40
61 4 31
76 5 40
34 3 24
119 12 70
61 5 40
99 9 32
26 2 4
61 4 32
111 7 49
61 5 40
111 10 49
35 2 16
52 4 32
92 9 51
55 4 32
111 7 45
24 2 2
61 7 39
78 8 63
51 4 29
53 4 32
111 8 64
21 2 3
95 7 52
92 9 48
13 1 1
75 4 32
75 8 37
36 2 16
44 5 40
111 7 53
7 1 1
88 7 40
89 8 38
28 2 13
24 2 16
9 1 8
39 4 25
67 5 28
74 6 48
36 3 17
53 4 32
73 8 49
34 3 24
52 4 32
31 3 24
56 7 32
36 3 21
47 4 32
105 8 45
12 1 8
36 2 16
57 4 25
50 4 32
83 6 48
88 10 51
16 2 16
63 7 48
47 4 32
90 8 47
79 6 38
85 5 28
45 3 20
53 4 32
76 6 48
8 1 3
29 2 16
91 10 56
19 2 2
80 6 46
122 9 56
80 6 41
40 4 32
61 5 40
30 4 32
82 8 33
69 6 32
101 7 34
60 4 24
58 5 40
58 3 24
26 2 16
96 7 35
42 3 16
52 4 32
79 7 56
76 5 40
72 8 40
108 7 33
69 3 24
10 1 5
15 1 2
68 5 24
76 6 44
78 7 42
37 3 24
46 6 38
47 5 40
65 6 40
71 7 40
18 1 1
105 8 51
34 4 13
23 1 7
16 1 1
97 8 38
8 1 1
26 2 16
60 6 37
28 2 16
95 6 48
70 6 40
22 2 4
45 3 24
97 8 57
13 1 8
18 2 16
54 3 24
61 6 33
82 8 60
89 8 58
85 8 48
53 2 4
100 8 33
90 6 48
93 8 48
126 9 32
24 1 2
17 1 1
102 7 40
9 1 8
64 7 54
118 7 40
23 2 4
70 5 24
32 2 16
19 2 16
58 5 40
15 2 12
19 2 1
106 8 44
34 3 7
75 6 44
74 6 46
5 1 3
13 1 2
86 8 49
