nodesPerPartition bytesPerNode cliquesPerPartition
209 46 271
175 37 185
202 34 185
119 21 161
270 32 192
86 28 161
98 20 160
146 24 129
105 13 88
206 18 121
220 26 176
344 25 158
112 19 107
177 21 114
123 14 112
84 16 95
107 17 88
183 15 93
86 9 72
119 20 101
137 12 80
104 13 64
92 14 112
201 21 121
141 17 136
82 8 64
134 20 72
65 7 56
72 7 56
181 15 96
132 16 104
123 15 119
245 20 94
92 6 48
182 20 157
222 20 128
76 9 69
138 12 92
114 11 80
127 18 115
87 8 64
89 6 48
103 15 92
103 14 86
118 11 88
130 16 80
144 17 107
165 18 78
68 8 41
110 9 61
122 10 71
104 9 72
76 11 56
158 13 97
98 13 80
222 17 127
65 6 48
269 17 82
120 12 80
86 11 86
78 6 48
158 14 79
85 7 48
72 5 40
128 10 75
136 15 72
173 16 122
112 16 121
202 16 82
42 6 46
128 7 56
111 11 88
202 14 112
163 14 109
62 7 49
118 7 56
178 14 98
51 4 29
62 4 6
117 13 104
206 14 112
55 4 32
209 15 120
121 15 72
113 12 71
181 15 72
101 12 50
145 11 72
28 2 1
153 15 118
66 5 40
147 15 87
49 5 18
52 4 32
86 11 67
97 8 58
79 10 80
185 14 89
67 6 40
38 4 32
81 7 25
49 4 11
134 15 104
117 8 64
56 4 32
161 14 63
51 7 56
192 14 110
128 14 68
118 11 72
74 8 64
136 14 110
228 14 80
59 6 48
156 14 72
58 4 32
54 6 42
55 5 40
56 5 40
141 14 79
128 12 55
67 8 33
77 9 63
158 13 65
120 10 80
165 14 55
93 7 55
146 13 65
37 2 16
116 12 51
71 6 44
85 8 48
42 5 39
65 6 48
153 13 74
82 9 72
117 13 80
97 8 56
113 11 62
101 12 94
167 12 64
53 6 48
92 9 34
84 8 64
175 12 96
129 12 90
91 7 56
95 12 89
167 12 95
120 12 53
43 4 26
38 4 24
56 5 40
128 9 72
166 12 83
85 11 72
125 12 49
133 10 61
107 8 64
89 10 57
118 11 49
140 10 48
71 8 64
201 12 90
116 12 44
84 8 42
57 6 42
37 4 32
94 10 67
99 12 72
103 11 64
27 2 3
56 6 26
42 4 24
109 11 83
122 11 70
120 9 70
123 9 72
90 10 72
89 11 80
36 4 32
134 11 56
102 9 56
145 11 64
113 6 48
37 3 18
262 11 64
99 7 42
71 8 40
109 9 60
110 7 56
144 11 85
148 11 83
92 11 78
113 10 69
79 6 48
77 9 64
39 2 16
93 10 66
54 5 33
43 5 22
46 3 24
107 11 62
65 6 48
126 10 48
72 4 32
84 7 45
92 10 56
103 9 56
101 10 56
31 3 24
95 10 49
69 6 48
127 10 79
72 7 48
59 4 32
117 10 37
114 8 57
68 8 40
49 2 11
32 3 18
25 3 24
90 10 74
73 10 51
76 6 48
111 10 78
95 10 78
116 10 49
55 4 32
75 8 48
15 2 1
95 8 62
74 9 56
88 10 43
98 7 48
113 10 47
83 8 56
50 2 2
94 9 72
90 9 69
143 9 59
48 4 25
56 6 43
112 8 64
67 8 62
91 8 64
131 10 63
80 6 46
60 5 40
123 9 70
93 9 40
70 7 52
99 9 68
156 10 50
78 7 56
88 8 64
75 9 40
37 3 21
50 3 24
93 7 56
72 7 56
125 10 64
126 9 56
79 7 37
26 2 2
96 9 57
51 5 33
62 5 40
75 9 64
52 4 32
89 9 65
106 9 46
65 6 32
100 8 42
32 2 12
23 2 2
61 7 56
84 9 49
28 3 24
69 6 25
91 5 32
88 8 48
122 9 68
120 9 65
71 7 34
90 8 48
50 5 34
66 6 48
94 9 49
48 4 32
101 9 55
76 5 40
56 7 49
144 9 57
79 8 44
125 7 34
42 4 32
80 5 40
61 5 40
79 7 49
81 7 48
33 3 24
29 3 24
110 9 50
80 6 41
85 9 65
57 6 41
101 9 44
46 6 44
81 9 32
100 7 55
77 6 32
60 7 56
103 8 48
126 9 54
39 3 18
46 3 24
70 4 32
46 4 32
101 7 43
86 8 43
99 7 48
105 8 42
64 6 44
51 4 32
103 8 40
92 6 48
41 4 14
24 2 4
100 9 55
101 8 59
90 9 54
89 7 46
83 8 48
111 7 49
34 3 20
25 3 6
101 8 46
32 2 16
75 5 30
80 6 42
47 5 40
87 7 48
47 4 32
94 8 62
99 8 63
90 8 43
57 6 42
63 6 48
96 8 39
52 4 30
65 4 32
116 7 56
94 8 57
119 8 54
73 7 36
44 5 24
80 6 26
36 3 2
89 7 48
36 2 9
165 9 42
93 8 60
73 8 28
103 6 42
78 7 46
30 3 24
118 7 53
91 7 44
88 8 60
68 8 33
65 4 32
57 5 37
97 8 32
68 7 44
52 4 32
101 8 60
28 2 16
81 8 40
65 5 40
90 7 48
59 4 30
55 4 32
62 7 42
37 4 32
58 4 32
90 8 62
79 8 60
93 8 64
105 8 56
33 1 4
128 8 40
63 7 51
68 7 47
86 8 42
53 4 25
41 2 16
66 5 40
26 2 5
104 8 62
140 8 62
84 8 56
18 2 16
39 3 24
82 8 61
97 8 62
63 8 49
34 3 24
69 6 48
19 2 1
89 8 62
72 7 40
93 8 42
69 5 37
61 5 34
81 6 44
23 2 16
52 4 32
24 2 16
71 8 41
102 7 48
70 6 48
102 8 41
75 4 32
92 8 49
38 3 24
92 8 58
80 8 42
34 3 24
75 8 48
14 1 2
60 7 36
89 8 50
37 3 24
103 8 39
76 5 32
71 6 35
41 4 29
73 6 28
36 2 4
38 5 17
40 3 24
90 6 48
72 7 40
55 5 29
36 2 16
93 6 34
37 2 16
146 8 53
25 2 16
81 7 53
78 7 34
53 5 32
70 6 34
96 7 34
39 4 14
27 2 10
13 1 2
36 2 14
30 3 24
85 8 42
58 6 41
62 7 40
74 8 41
68 5 28
112 7 50
66 7 48
106 8 49
83 7 33
34 3 24
52 7 21
56 4 30
53 4 29
64 6 41
106 8 37
65 5 40
100 7 34
76 4 32
108 7 39
18 2 3
69 6 27
30 3 24
52 5 40
43 4 32
33 2 16
83 7 55
81 7 50
74 7 40
80 8 49
38 3 22
40 3 24
76 7 33
67 5 32
56 4 32
69 6 41
76 6 48
6 1 1
75 8 40
67 7 55
82 7 33
74 6 40
53 4 32
72 7 49
56 7 48
43 4 32
41 3 24
98 7 33
19 2 11
32 3 20
35 3 23
39 3 23
47 4 24
60 5 40
64 6 48
80 7 40
50 4 32
77 6 40
83 7 49
103 8 56
37 3 24
111 7 49
26 2 15
34 2 5
94 7 55
82 7 48
40 4 14
32 3 24
20 2 10
17 2 16
64 7 29
68 4 24
57 5 24
77 6 43
65 6 32
27 2 1
88 7 25
125 6 48
83 7 48
24 2 16
71 7 38
70 5 37
67 5 35
48 4 32
81 7 29
39 4 32
74 6 48
53 4 32
31 3 16
71 7 51
63 5 40
101 7 49
75 6 27
79 7 55
79 7 36
33 3 17
40 5 28
93 7 40
38 4 32
32 3 24
67 6 48
53 6 44
61 6 27
23 2 8
82 6 44
106 5 40
73 6 48
14 1 1
69 7 37
29 3 24
43 4 25
24 2 2
58 5 32
52 4 32
74 7 53
106 7 32
79 5 32
83 7 54
41 3 24
36 3 24
90 7 49
55 7 26
37 3 24
71 4 25
57 5 31
38 3 24
85 6 28
74 7 54
52 7 33
61 6 28
41 4 28
60 4 32
14 2 1
84 6 29
39 3 24
72 4 21
72 5 29
76 6 23
13 1 4
27 2 16
80 5 40
51 5 40
64 5 33
93 7 33
29 2 16
64 5 25
32 2 16
88 6 41
58 4 32
85 7 52
96 7 41
55 6 23
30 3 22
47 3 21
61 5 40
67 6 48
75 6 32
55 4 32
66 6 32
74 7 25
21 2 16
54 5 24
69 6 30
42 4 32
91 7 42
59 6 33
22 2 2
53 5 24
66 4 21
48 5 26
55 3 24
61 5 40
76 7 50
82 7 51
90 7 33
25 2 16
62 6 23
59 5 31
23 2 9
36 2 16
103 6 45
72 6 26
74 5 40
75 6 34
89 5 25
56 3 22
45 3 22
36 3 24
47 4 32
95 7 34
49 5 38
91 6 22
53 4 32
65 5 40
113 6 45
60 5 26
48 6 45
63 6 29
51 5 26
83 7 40
55 5 40
71 7 34
45 4 32
28 2 16
80 7 31
36 3 24
54 5 24
38 4 32
92 6 32
24 2 16
56 4 29
68 6 24
32 3 22
61 5 40
36 3 24
69 6 40
65 5 26
65 6 45
36 3 24
76 6 42
56 6 29
52 4 32
25 2 14
28 2 9
17 2 16
48 4 21
37 3 16
23 2 12
39 3 24
91 7 32
52 5 32
49 4 32
74 5 34
64 7 33
24 2 2
73 6 40
25 1 8
33 2 3
68 6 40
102 7 36
5 1 1
35 4 5
61 7 32
57 5 32
49 4 32
81 5 25
66 4 17
29 3 16
41 4 32
35 2 16
49 5 40
63 6 42
68 6 37
50 5 30
74 6 21
67 5 40
34 2 13
23 2 16
65 6 47
24 2 16
64 6 33
30 3 17
43 5 40
41 3 24
80 6 48
38 4 32
75 7 27
57 5 40
65 6 25
18 1 1
63 5 28
78 6 45
87 6 47
71 6 46
27 2 2
61 6 27
10 1 4
42 3 16
23 2 3
57 3 24
75 7 41
81 6 26
58 4 25
58 6 42
15 2 4
60 6 34
19 2 2
36 3 3
85 6 32
25 2 16
46 5 25
42 4 20
84 5 28
34 4 17
44 3 24
74 6 47
66 6 38
56 4 22
62 5 34
59 5 19
53 4 17
16 1 1
32 3 16
25 2 1
74 6 44
46 3 24
68 6 46
51 6 25
48 3 24
24 2 16
42 3 20
36 3 24
33 3 24
80 6 25
9 1 1
64 6 44
38 3 24
66 6 45
95 6 29
29 2 16
52 5 22
8 1 1
54 3 24
13 1 2
86 7 20
67 5 35
58 4 32
71 6 39
56 5 26
33 3 24
47 5 40
62 6 37
36 2 16
52 5 25
68 7 39
33 3 24
65 6 24
60 5 32
32 3 12
25 2 6
51 6 27
22 2 14
26 2 16
53 4 28
40 3 24
68 5 39
56 4 31
77 6 45
60 5 40
28 3 24
80 6 46
21 2 16
66 6 45
61 6 33
56 4 32
58 5 29
48 4 16
59 3 24
58 5 34
28 2 14
23 2 16
66 6 25
69 5 25
61 6 25
14 1 8
28 2 11
