nodesPerPartition bytesPerNode cliquesPerPartition
36 1 2
32 1 2
14 1 2
5 1 2
22 1 2
34 1 7
10 1 7
9 1 7
45 1 2
9 1 2
14 1 2
8 1 2
9 1 2
5 1 2
22 1 4
31 1 6
3 1 4
38 1 4
22 1 4
17 1 3
6 1 3
13 1 3
33 1 5
21 1 3
5 1 2
5 1 3
9 1 3
9 1 3
5 1 3
10 1 3
12 1 3
9 1 6
27 1 5
18 1 2
28 1 6
23 1 2
25 1 3
13 1 3
8 1 2
11 1 3
8 1 2
28 1 6
18 1 4
10 1 4
24 1 7
12 1 7
17 1 2
28 1 4
13 1 4
12 1 3
31 1 2
11 1 2
14 1 2
36 2 10
16 1 4
29 1 5
18 1 3
10 1 2
12 1 3
6 1 3
17 1 2
30 1 2
23 1 2
24 1 3
14 1 2
10 1 3
10 1 2
13 1 3
7 1 2
12 1 2
32 1 2
26 1 2
30 1 8
26 1 6
17 1 4
12 1 3
6 1 3
41 1 6
9 1 2
11 1 6
26 1 8
14 1 8
13 1 2
12 1 3
9 1 3
13 1 2
17 1 4
15 1 2
5 1 2
10 1 3
19 1 4
7 1 4
15 1 2
23 1 3
32 1 2
18 1 7
5 1 2
6 1 7
29 1 2
8 1 2
8 1 2
6 1 2
7 1 3
9 1 2
13 1 3
12 1 3
9 1 2
9 1 2
17 1 8
20 2 6
5 1 2
9 1 5
11 1 3
8 1 2
6 1 2
6 1 2
5 1 3
8 1 3
21 1 3
15 1 2
10 1 2
11 1 2
24 1 4
15 1 6
26 1 8
9 1 2
6 1 2
23 2 8
16 1 2
10 1 3
14 1 4
40 2 8
12 1 3
11 1 4
17 1 6
17 1 2
17 1 2
7 1 2
12 1 5
9 1 6
22 1 2
23 1 8
8 1 8
37 2 8
18 1 6
10 1 6
17 1 2
8 1 2
6 1 2
4 1 6
9 1 8
43 1 8
21 1 7
25 1 7
22 1 7
36 1 8
5 1 4
11 1 8
18 2 7
19 1 2
12 1 2
11 1 5
6 1 5
10 1 2
17 1 2
13 1 2
8 1 2
11 1 2
15 1 3
16 1 8
7 1 8
15 1 3
4 1 2
4 1 3
9 1 2
8 1 3
7 1 4
13 1 2
11 1 2
13 1 5
5 1 5
24 1 4
14 1 4
22 1 3
9 1 3
9 1 3
9 1 3
9 1 2
11 1 1
16 1 3
17 1 3
12 1 2
16 1 2
4 1 2
8 1 2
7 1 2
7 1 2
8 1 4
21 1 2
17 1 2
14 1 4
17 1 7
11 1 7
12 1 5
15 1 2
8 1 2
16 1 4
6 1 4
13 1 3
11 1 3
10 1 3
16 1 8
6 1 1
18 2 3
27 1 3
12 1 3
9 1 5
21 1 5
12 1 5
21 1 3
22 1 4
9 1 2
10 1 4
16 1 2
5 1 2
6 1 2
12 1 3
9 1 3
13 1 3
13 1 3
9 1 3
14 1 3
6 1 3
12 1 2
8 1 2
11 1 3
5 1 3
14 1 3
17 1 5
14 1 5
11 1 2
16 1 3
8 1 2
15 1 5
5 1 5
12 1 5
14 1 6
22 1 4
8 1 2
10 1 4
17 1 4
8 1 3
11 1 2
13 1 2
9 1 2
11 1 6
16 1 3
9 1 4
12 1 2
7 1 2
8 1 4
9 1 4
13 1 5
12 1 2
14 1 6
15 1 2
14 1 3
8 1 5
13 1 2
11 1 2
15 1 2
5 1 2
12 1 2
6 1 2
7 1 4
15 1 2
14 1 2
18 1 2
7 1 2
9 1 2
5 1 2
14 1 3
10 1 3
10 1 2
10 1 2
10 1 2
14 1 2
14 1 4
26 1 8
39 4 20
12 1 8
39 3 17
7 1 1
37 3 24
80 5 21
40 3 12
26 2 10
12 1 5
18 1 4
13 1 4
7 1 4
9 1 2
6 1 2
8 1 4
14 1 3
25 1 3
6 1 3
7 1 2
10 1 2
14 1 3
17 1 3
12 1 3
10 1 3
19 1 3
5 1 2
4 1 2
5 1 3
11 1 3
8 1 2
13 1 5
12 1 7
16 1 2
12 1 3
9 1 3
13 1 4
12 1 3
11 1 3
5 1 1
16 1 3
6 1 3
13 1 5
10 1 4
47 3 15
9 1 3
14 1 7
16 1 5
14 1 3
17 1 5
17 1 5
21 1 3
5 1 3
6 1 2
10 1 4
9 1 4
15 1 3
16 1 3
19 1 3
15 1 2
6 1 2
8 1 2
13 1 2
15 1 2
13 1 2
6 1 2
13 1 2
13 1 2
5 1 2
14 1 3
5 1 3
12 1 7
4 1 2
4 1 7
18 1 3
8 1 3
10 1 2
11 1 1
21 1 8
43 2 10
5 1 3
17 2 5
8 1 2
13 1 2
12 1 4
9 1 4
16 1 3
8 1 3
12 1 7
19 1 4
14 1 6
19 1 6
18 1 3
3 1 3
8 1 2
4 1 1
15 1 2
8 1 2
12 1 3
9 1 3
7 1 2
6 1 2
8 1 2
6 1 2
12 1 3
5 1 3
8 1 2
4 1 1
20 2 8
