nodesPerPartition bytesPerNode cliquesPerPartition
280 88 698
566 68 544
268 37 291
980 115 914
141 34 269
145 33 261
239 13 102
337 88 699
139 8 58
197 5 33
321 28 218
432 74 590
70 10 76
264 52 410
265 62 495
271 44 349
178 9 69
368 57 454
334 42 330
71 12 91
856 81 643
172 36 288
756 73 584
240 42 333
282 43 342
253 42 336
120 6 44
660 66 522
298 28 218
47 3 18
217 22 169
387 45 354
147 21 163
579 64 512
380 55 440
176 21 162
201 17 136
379 51 401
428 55 433
579 62 494
149 11 82
142 9 67
61 6 43
617 59 469
144 23 178
37 3 17
86 6 43
129 18 137
11 1 2
625 61 487
685 56 445
215 48 378
118 20 156
157 19 151
150 15 120
204 41 322
52 2 9
20 1 8
311 51 401
38 2 14
425 49 390
323 44 349
8 1 2
18 2 11
130 8 57
270 33 259
137 11 82
320 39 311
173 22 175
24 1 7
546 45 360
75 9 66
295 48 384
50 2 13
571 42 333
499 47 371
119 12 92
55 3 19
225 11 82
9 1 3
299 35 274
369 46 365
581 50 397
122 14 112
188 34 272
167 25 200
135 16 122
12 0 1
95 7 52
435 42 330
198 35 276
146 15 113
31 1 3
440 43 341
552 43 341
516 43 338
58 2 14
98 10 74
316 34 271
2 0 1
8 1 3
11 1 3
286 41 325
431 42 329
70 3 23
17 1 2
220 19 150
237 28 223
108 34 267
526 43 344
276 31 245
116 16 124
2 0 1
7 0 1
512 38 302
484 36 287
467 34 271
31 1 6
36 1 8
8 1 2
500 37 296
120 29 226
2 0 1
236 25 199
182 21 161
220 21 161
146 9 71
477 36 287
169 25 199
78 9 69
6 0 1
53 3 24
14 1 3
42 3 21
146 22 171
23 1 7
89 11 83
482 32 250
5 0 1
213 25 194
34 3 18
269 23 182
50 4 28
293 29 232
358 32 252
8 0 1
67 3 24
32 1 8
281 26 204
416 34 271
137 11 83
262 28 224
477 31 248
447 33 264
122 6 46
38 3 22
421 35 275
123 12 94
125 14 111
404 34 267
71 8 60
287 27 211
70 5 37
18 1 6
10 1 2
135 11 85
7 1 2
181 11 86
92 9 68
161 11 85
3 0 1
2 0 1
5 1 2
4 0 1
118 24 190
452 28 222
70 8 64
207 18 137
161 21 162
143 13 102
199 21 165
86 8 60
115 11 82
362 33 263
354 28 224
378 29 228
188 19 151
196 24 188
350 30 233
156 14 111
5 1 2
4 0 1
421 31 247
54 5 39
190 17 133
398 26 202
399 30 233
32 1 7
73 3 19
294 21 166
193 13 102
390 31 246
6 0 1
312 27 212
445 30 240
76 6 47
331 29 226
247 26 202
284 26 208
110 19 152
61 3 17
310 24 192
126 12 94
45 2 11
21 1 2
22 2 11
113 13 100
365 26 207
234 20 159
284 24 190
150 16 127
14 1 2
26 2 10
167 20 153
102 11 87
303 27 211
62 2 14
262 22 171
92 8 58
192 26 206
270 29 230
145 20 160
195 27 213
100 18 142
226 28 222
219 26 207
12 0 1
246 20 160
349 19 152
164 25 195
200 23 182
313 21 161
150 12 94
133 24 185
195 15 113
145 10 79
320 24 190
126 14 109
10 0 1
248 26 203
60 5 37
305 29 225
199 28 222
182 22 176
172 20 153
114 10 73
96 6 48
106 19 148
4 0 1
221 25 199
343 24 192
224 20 159
109 8 59
108 8 61
209 21 168
335 22 173
164 20 155
6 1 3
271 20 160
196 19 150
88 8 60
35 1 3
256 27 216
118 7 50
174 24 186
120 13 100
93 10 75
335 23 182
129 12 95
306 27 216
40 5 33
76 7 54
249 21 167
324 23 178
64 5 36
362 22 173
144 23 180
99 6 44
263 20 157
325 23 177
168 16 124
4 0 1
111 9 71
41 3 21
372 25 196
181 26 205
165 14 109
221 27 213
134 19 145
116 8 63
243 22 170
183 26 207
313 23 181
169 12 90
322 22 172
161 16 125
244 30 239
57 5 39
29 3 17
161 21 168
103 5 40
308 20 153
127 19 150
13 1 4
238 17 130
272 22 172
165 22 169
92 7 55
185 22 172
3 0 1
258 21 161
9 0 1
245 25 194
275 24 185
20 1 6
7 1 2
144 13 102
70 9 67
218 23 177
133 14 105
182 22 175
310 19 147
134 16 122
98 7 53
100 14 107
71 9 65
265 18 140
187 24 185
213 22 176
350 22 176
147 12 93
176 17 133
29 2 10
227 15 117
140 16 127
330 22 176
209 22 171
24 2 13
247 32 253
180 13 99
4 0 1
149 20 160
142 18 139
232 15 114
142 10 74
160 17 134
191 24 190
77 6 42
127 13 101
110 14 107
97 8 61
168 18 141
321 22 172
211 15 115
131 19 146
57 4 32
417 24 185
151 18 143
11 0 1
214 22 176
44 4 25
36 2 9
27 1 6
254 27 214
222 19 147
128 16 123
284 19 145
118 7 51
318 23 179
104 7 51
324 26 205
358 20 157
82 10 80
293 20 160
123 19 151
136 12 90
16 1 2
193 24 190
294 19 151
4 0 1
206 21 165
240 16 127
240 15 116
87 9 65
7 0 1
237 23 180
263 17 133
25 1 8
79 8 60
101 11 87
77 6 41
4 0 1
99 13 98
18 1 8
88 6 41
115 13 103
136 11 87
151 16 126
143 13 101
86 5 34
310 18 144
121 11 83
249 24 191
29 2 15
211 23 180
145 16 125
197 21 168
169 16 123
158 19 152
265 18 138
171 17 135
243 15 118
161 22 176
72 6 41
176 14 111
186 22 175
168 17 129
43 4 26
223 19 151
103 10 79
226 15 117
117 8 64
142 21 163
5 1 2
97 21 166
97 9 69
92 11 85
166 20 155
105 15 113
105 18 137
184 15 116
247 18 142
169 14 109
92 9 65
248 15 118
107 9 65
234 15 120
51 3 24
263 23 183
169 15 114
145 15 113
123 8 59
127 8 63
329 22 175
326 19 152
154 22 176
16 1 6
215 19 152
225 17 136
122 6 44
97 9 70
118 17 134
155 16 126
161 19 149
102 7 56
104 9 69
166 19 145
133 10 75
288 17 132
233 15 116
80 6 43
141 13 102
267 16 123
142 18 139
151 13 99
124 12 95
11 1 3
68 9 65
94 13 103
59 3 24
102 14 111
171 12 91
38 2 14
251 14 109
259 17 129
263 17 133
16 2 9
224 16 123
189 16 122
63 6 43
130 14 107
263 18 143
73 7 52
144 20 156
12 1 6
227 15 120
149 13 98
192 17 129
96 6 45
268 25 193
128 17 130
74 12 93
128 12 91
31 3 17
30 3 17
186 17 130
73 6 41
198 14 108
116 12 95
41 2 13
101 10 75
102 10 75
118 13 102
66 6 45
10 1 6
123 18 139
137 13 101
224 21 163
9 1 4
169 14 106
158 16 121
228 15 115
141 10 73
88 6 48
62 4 30
162 18 144
31 2 9
208 16 124
74 11 81
264 16 127
209 19 149
94 9 65
141 9 67
247 16 122
92 11 88
2 0 1
91 7 50
10 1 3
36 3 22
96 8 59
131 15 120
110 10 74
43 3 21
38 4 25
243 16 122
243 17 132
236 14 109
76 6 41
170 18 137
24 1 7
114 16 124
158 15 119
152 19 148
115 12 95
112 8 63
129 17 130
95 11 81
182 15 113
170 15 115
121 18 137
69 10 75
186 18 142
161 14 107
89 6 41
234 14 105
185 20 158
140 17 132
130 11 85
136 13 98
123 10 73
134 13 102
126 11 84
47 4 30
92 9 65
73 10 77
119 16 124
72 8 64
168 16 121
165 14 109
137 8 59
151 11 87
114 11 86
104 10 76
103 9 69
451 7 54
101 8 64
67 8 57
144 12 95
54 3 20
141 11 87
183 19 145
272 18 140
125 7 54
91 8 59
70 12 92
229 18 138
161 9 68
87 11 84
129 11 81
159 22 169
118 14 107
59 3 18
236 22 170
106 14 107
3 1 2
95 7 54
228 14 111
31 1 7
23 1 4
53 3 24
165 15 113
116 15 117
186 16 125
252 15 116
21 1 4
186 15 115
152 11 81
159 11 81
35 2 13
111 12 94
78 8 64
60 7 53
201 14 106
177 15 119
129 9 72
81 13 97
206 14 107
162 15 114
125 12 92
81 9 70
201 12 89
9 1 5
90 7 50
4 0 1
15 1 3
215 21 163
79 5 34
92 9 71
118 17 129
169 13 104
169 13 99
64 7 52
242 12 95
96 13 101
4 0 1
173 16 121
135 11 84
69 7 51
41 3 20
137 16 124
159 14 112
117 17 130
7 1 2
118 8 59
77 9 72
71 8 61
136 16 122
249 14 108
48 4 32
174 11 83
124 11 85
89 8 57
130 12 93
4 0 1
203 13 101
190 16 127
140 14 111
151 15 120
63 5 39
250 17 131
116 11 86
69 6 43
180 18 137
182 11 81
166 12 95
61 11 84
134 8 61
181 11 81
104 12 91
