nodesPerPartition bytesPerNode cliquesPerPartition
361 125 997
123 21 167
111 18 143
59 7 56
77 4 29
54 3 23
174 11 84
283 48 377
44 3 18
66 6 48
170 13 97
96 5 40
55 6 41
59 3 21
19 2 9
30 1 6
47 3 24
55 3 20
107 6 47
47 2 15
15 1 3
11 1 3
20 1 5
21 1 3
87 6 44
26 2 10
39 4 27
4 0 1
6 1 2
37 2 13
10 1 4
90 10 78
122 16 126
6 1 2
125 22 170
59 1 8
8 1 3
9 0 1
2 0 1
238 21 161
28 2 14
50 1 3
31 2 10
27 2 11
14 1 5
10 1 4
170 20 154
173 14 106
93 7 50
107 4 30
8 1 3
141 11 87
88 5 35
150 16 124
22 1 8
125 11 84
23 2 11
34 2 12
11 1 3
8 1 3
60 5 33
30 2 15
39 2 16
38 3 20
32 3 17
12 1 4
7 1 3
3 0 1
15 1 4
4 0 1
11 1 4
124 8 60
69 5 35
46 1 3
14 1 3
90 8 61
82 4 31
15 1 4
6 1 2
25 2 14
108 6 44
116 9 66
39 2 16
70 5 40
12 1 5
20 2 10
45 3 22
44 2 10
85 5 36
60 3 20
48 4 29
41 2 12
21 1 2
5 1 2
36 3 23
4 1 2
2 0 1
4 1 2
21 2 9
113 6 41
19 2 10
13 1 5
12 1 4
8 0 1
64 5 33
70 4 32
21 2 11
31 3 18
35 1 7
116 9 65
31 3 24
26 2 15
52 6 44
54 3 23
37 2 10
14 1 3
50 3 20
27 2 10
58 3 23
33 2 12
3 0 1
13 1 5
7 1 2
45 3 23
53 4 27
71 6 47
4 0 1
40 4 27
67 5 33
16 1 4
40 3 20
74 5 35
12 1 5
9 1 4
19 1 3
4 0 1
5 0 1
15 1 4
7 1 4
52 2 12
89 7 52
23 1 5
57 4 27
89 7 56
55 3 24
48 2 16
36 3 21
18 1 5
4 0 1
21 1 4
58 6 45
27 1 8
53 3 22
25 2 9
17 1 4
6 0 1
7 1 2
19 1 7
11 1 4
62 5 34
10 1 2
21 1 7
77 3 23
52 3 23
6 1 3
21 1 7
12 1 4
55 6 48
21 1 6
10 1 3
70 4 29
5 0 1
22 1 8
61 4 25
21 1 5
43 4 25
21 1 6
42 4 27
4 0 1
76 6 46
42 3 23
104 6 42
16 1 5
52 4 26
37 3 18
42 3 18
28 2 11
31 2 15
50 3 17
3 0 1
3 0 1
35 2 13
5 0 1
17 1 7
49 3 24
11 1 3
23 1 5
51 3 20
10 1 4
5 1 2
27 3 18
3 0 1
74 4 29
9 1 4
39 4 25
8 1 2
21 1 6
41 4 27
13 1 6
7 0 1
20 1 7
12 1 5
5 1 2
82 5 33
36 2 9
10 1 4
6 0 1
10 1 3
29 2 10
12 1 4
17 1 5
31 3 19
17 1 4
4 0 1
9 1 3
9 1 2
3 0 1
52 4 29
15 1 6
20 1 8
60 4 30
9 1 4
8 1 3
20 2 10
63 4 25
34 2 16
34 3 17
16 1 6
29 2 12
27 2 13
34 2 13
22 1 7
37 2 11
9 1 4
10 1 2
33 3 22
50 3 24
39 2 16
29 2 13
5 0 1
26 2 9
39 2 11
21 1 7
37 2 16
39 4 26
53 4 32
46 3 21
37 2 11
17 1 6
31 3 17
49 2 15
25 1 8
4 1 2
7 1 2
38 2 10
21 1 6
42 2 15
31 2 13
12 1 4
40 3 17
5 1 2
24 1 7
2 0 1
16 1 6
35 3 20
19 2 11
64 3 20
3 0 1
5 1 3
39 3 20
23 1 6
40 2 16
12 1 2
14 1 4
71 4 25
8 1 3
37 2 14
3 0 1
16 1 2
43 3 23
13 1 6
12 1 4
4 0 1
14 1 6
13 1 5
10 1 2
7 1 2
2 0 1
37 2 10
27 3 20
15 1 5
25 2 11
32 3 23
33 2 13
20 2 9
27 2 12
28 2 11
5 0 1
38 2 16
3 0 1
8 0 1
5 0 1
24 2 11
7 1 4
21 2 9
44 3 19
19 1 6
39 3 21
22 2 9
4 1 2
47 2 9
27 2 9
15 1 6
32 1 6
12 1 5
36 2 16
32 1 7
5 0 1
29 4 28
10 1 2
6 1 2
32 3 18
12 1 4
6 0 1
8 1 2
27 1 6
46 3 20
8 1 3
3 0 1
34 2 14
90 3 18
18 1 7
32 2 12
21 2 12
25 2 15
28 2 16
15 1 7
26 1 7
45 3 18
16 1 5
4 0 1
9 1 2
28 2 15
13 1 7
18 1 7
8 1 3
51 3 20
25 2 9
37 3 21
22 1 6
16 1 6
16 2 9
10 1 7
11 1 5
9 1 2
19 1 5
12 1 4
4 0 1
60 3 22
4 0 1
39 3 18
25 2 13
5 1 2
34 1 4
40 2 9
25 1 5
16 1 8
3 0 1
8 0 1
2 0 1
24 2 13
27 2 11
16 1 7
47 3 23
19 1 7
14 1 3
13 1 6
11 1 4
45 2 15
2 0 1
33 4 26
29 2 14
7 1 5
10 1 3
59 3 20
10 1 3
15 1 4
6 1 2
18 2 9
13 1 5
8 1 2
35 3 18
17 1 5
42 3 18
49 3 22
46 2 14
23 2 11
9 1 4
8 1 2
6 1 3
33 2 16
44 3 23
6 1 2
9 1 5
9 1 3
14 1 4
42 2 15
15 1 7
9 0 1
2 0 1
21 2 10
18 2 9
5 1 2
18 2 9
22 1 5
20 1 6
3 0 1
2 0 1
20 2 9
22 1 4
28 1 8
34 3 22
10 0 1
9 1 3
5 0 1
8 0 1
17 2 10
5 1 2
34 2 13
4 0 1
5 1 2
24 3 19
21 1 8
26 2 12
16 1 7
14 1 7
3 0 1
18 1 7
6 1 2
44 2 15
18 1 8
19 2 10
30 2 13
3 0 1
22 1 7
33 3 20
11 1 6
7 1 4
44 2 9
16 2 10
19 1 7
7 1 2
34 2 16
8 1 5
11 1 6
15 1 7
30 2 14
24 2 9
24 1 8
3 0 1
15 1 8
3 0 1
19 1 2
37 2 14
52 2 12
4 1 2
5 1 2
30 2 15
15 1 3
20 1 8
13 1 7
7 1 2
35 1 8
30 2 11
9 1 4
12 1 5
21 2 10
15 1 8
38 3 22
13 1 6
12 1 3
26 2 16
7 1 3
47 3 22
19 2 10
5 1 2
14 1 4
7 1 3
11 1 4
29 2 9
8 1 3
19 1 8
5 1 2
14 1 5
4 1 2
21 2 9
2 0 1
6 1 3
5 0 1
13 1 4
42 3 19
13 1 4
10 1 5
7 0 1
6 0 1
23 1 5
25 2 9
15 2 9
7 1 3
3 0 1
4 1 2
19 2 12
35 3 17
19 1 5
27 1 7
8 1 4
31 2 10
30 3 17
17 2 9
16 1 4
7 1 4
19 1 8
11 1 5
4 0 1
9 1 2
27 1 8
12 1 4
14 1 4
13 1 5
6 0 1
31 1 5
19 2 10
6 0 1
8 1 2
19 1 5
9 1 3
17 1 3
16 1 5
25 1 4
8 1 2
3 0 1
33 3 20
28 2 13
17 2 12
44 1 4
4 0 1
88 2 13
14 1 5
41 3 19
33 2 11
48 2 15
13 1 3
7 1 3
6 0 1
8 1 3
27 2 9
12 0 1
3 0 1
25 2 10
6 1 2
43 1 6
10 1 3
34 1 7
18 1 7
2 0 1
16 1 6
14 1 4
12 1 5
5 1 2
3 0 1
15 1 8
10 1 3
9 1 3
24 2 16
26 3 17
5 0 1
6 1 2
16 2 9
2 0 1
15 1 7
8 1 3
33 2 14
7 1 2
12 1 8
39 2 13
35 2 11
19 1 7
3 0 1
2 0 1
28 2 12
21 2 10
6 1 2
5 1 2
33 1 8
17 1 6
9 1 4
8 1 2
8 1 2
15 1 2
5 1 3
33 2 13
5 0 1
2 0 1
10 1 4
12 1 5
6 0 1
4 0 1
4 0 1
7 1 4
27 2 12
16 1 5
3 0 1
3 0 1
20 2 10
9 1 5
9 1 5
2 0 1
31 2 11
24 2 11
9 1 3
16 1 8
5 1 2
20 2 13
17 1 8
12 1 7
3 0 1
5 1 2
13 1 6
28 2 10
4 1 2
4 0 1
13 1 5
8 1 4
7 1 3
3 0 1
15 1 7
14 1 5
4 1 2
6 1 3
13 1 5
3 0 1
10 1 5
11 1 2
20 1 4
13 1 5
36 2 9
16 2 10
7 1 2
7 0 1
3 1 2
2 0 1
4 0 1
2 0 1
5 1 2
18 2 9
24 1 8
4 0 1
5 1 2
9 1 3
2 0 1
8 1 4
7 1 3
21 2 11
10 1 6
6 1 3
2 0 1
20 1 8
8 1 3
12 1 3
23 1 7
5 0 1
12 1 6
11 1 3
3 1 2
27 2 10
23 2 16
14 1 5
15 1 6
4 0 1
2 0 1
8 1 2
33 2 14
4 0 1
10 1 3
17 1 5
3 0 1
6 1 2
11 1 2
4 0 1
15 1 2
15 1 6
26 1 5
7 1 2
8 1 4
5 0 1
23 1 3
4 0 1
7 1 3
4 1 2
3 0 1
4 0 1
4 1 2
18 2 12
7 1 3
23 2 15
14 1 5
18 2 10
11 1 4
12 1 2
9 1 4
15 1 6
25 2 13
19 2 9
5 0 1
11 1 7
11 1 4
7 1 3
37 2 11
10 1 3
19 1 8
5 1 2
6 1 2
2 0 1
7 1 2
16 1 6
3 0 1
12 1 3
4 0 1
4 0 1
9 1 3
3 0 1
5 1 2
16 1 3
9 1 4
8 1 4
7 1 3
4 0 1
9 1 4
3 1 2
3 0 1
2 0 1
36 2 14
5 0 1
6 1 2
33 2 12
6 0 1
8 1 4
7 1 4
13 1 5
10 1 3
10 1 6
5 1 2
11 1 6
4 1 2
2 0 1
10 1 5
10 1 4
3 0 1
11 1 6
18 1 8
2 0 1
3 0 1
2 0 1
9 1 4
23 2 10
12 1 7
19 1 8
11 1 2
11 1 6
14 1 8
19 1 8
19 2 11
4 1 2
21 1 7
4 0 1
4 1 2
16 1 5
26 1 7
18 2 12
21 1 8
7 1 3
5 1 2
6 0 1
17 1 6
28 1 3
23 1 2
5 1 2
17 2 11
8 1 4
4 1 3
9 1 5
17 1 8
8 0 1
4 0 1
6 1 2
3 0 1
12 1 4
20 2 11
2 0 1
13 1 4
19 1 6
6 1 2
4 0 1
4 0 1
8 1 2
8 1 3
11 1 5
9 1 4
4 1 2
10 1 2
4 0 1
19 1 6
3 0 1
13 1 8
16 2 12
23 2 13
15 2 9
37 2 13
21 1 8
15 1 5
7 1 3
16 1 8
4 1 2
2 0 1
7 1 5
20 2 12
10 1 4
5 1 2
9 1 3
3 1 2
14 1 7
19 2 9
4 0 1
24 2 11
12 1 5
19 2 12
8 1 2
13 1 6
4 1 2
15 1 6
5 0 1
8 1 4
10 1 4
13 1 5
9 1 4
18 1 7
9 1 6
9 1 4
21 1 7
7 1 2
22 2 9
11 1 5
18 1 6
6 1 2
25 1 6
6 1 2
13 1 4
6 0 1
15 1 6
32 1 6
10 1 5
4 0 1
19 1 5
10 0 1
17 1 4
13 1 4
5 1 2
11 1 2
25 1 3
10 1 3
7 1 4
2 0 1
4 1 2
9 1 2
7 0 1
6 1 2
9 1 4
3 1 2
11 1 4
2 0 1
2 0 1
25 2 11
22 1 8
