nodesPerPartition bytesPerNode cliquesPerPartition
57 0 1
56 0 1
52 0 1
54 0 1
52 0 1
49 0 1
48 0 1
45 0 1
43 0 1
42 0 1
42 0 1
38 1 2
36 0 1
41 0 1
39 0 1
55 1 5
40 0 1
40 0 1
40 0 1
39 0 1
39 0 1
3 0 1
35 1 2
37 0 1
25 0 1
36 0 1
31 0 1
27 0 1
17 0 1
17 0 1
42 1 4
32 0 1
32 0 1
35 0 1
3 0 1
34 1 3
32 0 1
34 0 1
31 0 1
35 1 2
34 0 1
8 1 2
15 1 3
18 0 1
6 0 1
28 0 1
10 0 1
4 1 2
31 1 3
32 0 1
29 1 2
32 0 1
31 0 1
3 0 1
4 1 2
11 0 1
43 1 5
28 0 1
21 0 1
31 0 1
31 0 1
4 0 1
12 0 1
30 0 1
3 0 1
17 1 2
6 0 1
34 1 6
31 1 2
30 0 1
33 1 5
43 1 4
26 0 1
29 0 1
28 0 1
19 1 3
29 1 3
55 4 29
19 0 1
29 0 1
29 0 1
29 0 1
26 1 3
27 0 1
26 0 1
29 0 1
3 0 1
31 1 3
5 1 2
6 1 2
16 1 4
5 0 1
6 0 1
29 1 4
40 2 9
26 0 1
28 0 1
28 0 1
12 0 1
45 2 9
9 0 1
28 0 1
28 0 1
28 0 1
27 0 1
7 1 2
27 0 1
25 1 2
9 1 2
23 0 1
15 0 1
23 0 1
4 0 1
26 0 1
16 1 6
6 0 1
31 2 12
37 4 26
10 0 1
41 2 15
26 0 1
26 0 1
11 0 1
26 0 1
3 0 1
26 0 1
37 2 9
25 0 1
15 1 2
37 4 27
16 0 1
27 1 5
23 1 4
3 0 1
3 0 1
25 0 1
21 0 1
25 0 1
25 0 1
25 0 1
2 0 1
25 0 1
2 0 1
35 1 5
27 1 4
30 1 7
5 1 2
3 0 1
12 1 4
6 0 1
29 1 3
6 1 2
38 2 9
21 0 1
6 1 2
2 0 1
21 0 1
8 0 1
24 0 1
23 1 2
24 0 1
3 0 1
24 0 1
24 0 1
24 0 1
29 1 6
24 0 1
63 9 69
23 0 1
5 0 1
3 0 1
21 0 1
23 0 1
5 0 1
4 0 1
29 1 5
3 0 1
8 1 3
36 2 10
7 0 1
7 0 1
6 0 1
3 1 2
32 1 3
23 0 1
6 0 1
33 5 33
7 0 1
7 0 1
11 0 1
9 0 1
4 0 1
5 0 1
22 1 2
23 0 1
23 0 1
6 0 1
29 1 5
5 0 1
23 0 1
23 0 1
30 2 16
26 1 5
10 0 1
4 0 1
12 0 1
3 0 1
9 0 1
22 0 1
8 1 3
18 0 1
3 0 1
11 1 3
4 0 1
2 0 1
24 1 4
45 1 8
28 1 8
8 1 2
5 0 1
37 2 16
18 0 1
30 2 11
17 0 1
22 1 2
22 0 1
22 0 1
18 1 3
14 0 1
22 0 1
15 1 3
22 0 1
22 0 1
2 0 1
6 1 3
11 1 5
10 1 5
5 0 1
6 0 1
6 0 1
4 0 1
13 1 5
6 0 1
6 1 3
3 0 1
13 1 2
16 0 1
5 1 2
4 0 1
3 0 1
9 1 4
3 0 1
13 1 2
22 1 2
2 0 1
3 0 1
6 0 1
4 0 1
23 1 2
5 1 2
45 3 19
6 0 1
23 1 2
7 1 2
21 0 1
21 0 1
21 0 1
21 0 1
21 0 1
2 0 1
18 1 2
16 1 8
2 0 1
20 0 1
6 0 1
27 1 5
9 0 1
33 2 16
9 0 1
20 0 1
53 3 24
21 1 3
15 1 6
20 0 1
6 0 1
5 0 1
30 3 17
11 1 2
57 8 58
34 4 28
49 2 16
19 0 1
24 1 3
20 0 1
20 0 1
15 1 3
24 1 2
20 0 1
20 0 1
7 0 1
2 0 1
20 0 1
18 0 1
12 0 1
23 1 2
20 0 1
3 0 1
20 0 1
22 1 2
20 0 1
20 0 1
2 0 1
20 0 1
4 0 1
10 1 4
36 2 15
4 1 2
18 1 4
39 3 20
8 1 2
18 0 1
4 0 1
10 1 5
19 0 1
19 1 2
19 0 1
7 0 1
19 0 1
5 0 1
18 1 4
32 2 10
13 0 1
28 1 6
9 1 2
5 1 2
12 0 1
3 0 1
4 0 1
14 0 1
12 1 3
24 1 8
22 1 5
6 0 1
21 1 7
3 0 1
21 1 4
12 0 1
10 1 2
12 0 1
3 0 1
25 1 2
19 1 2
19 0 1
19 0 1
51 3 22
54 4 26
44 6 44
4 0 1
18 0 1
18 0 1
34 2 9
14 0 1
12 1 3
3 0 1
11 1 2
33 2 11
32 1 2
8 1 2
8 0 1
6 1 2
18 0 1
4 0 1
18 0 1
12 1 4
35 4 26
24 1 4
25 1 3
15 2 9
10 0 1
6 0 1
19 1 2
18 0 1
6 0 1
18 0 1
18 0 1
18 0 1
23 1 7
5 0 1
18 1 2
10 1 2
4 0 1
12 1 2
18 0 1
14 0 1
18 0 1
20 1 2
23 1 4
18 0 1
18 0 1
23 2 10
16 0 1
20 1 8
5 0 1
17 0 1
5 0 1
5 0 1
5 0 1
7 0 1
7 1 2
13 1 4
39 2 15
4 1 2
6 0 1
7 1 2
36 3 22
7 0 1
4 0 1
2 0 1
9 1 2
3 0 1
20 1 3
7 0 1
6 1 2
5 1 2
4 0 1
5 0 1
14 1 2
4 0 1
12 1 3
14 0 1
3 0 1
61 4 32
15 1 2
17 0 1
28 1 7
14 1 3
17 0 1
17 0 1
5 0 1
6 0 1
13 0 1
10 0 1
6 0 1
5 0 1
17 0 1
17 0 1
17 1 2
17 0 1
17 0 1
26 2 10
5 1 2
2 0 1
57 4 28
6 0 1
2 0 1
3 0 1
9 1 2
5 0 1
17 1 5
2 0 1
7 1 2
5 1 2
3 0 1
24 2 9
11 1 2
24 1 7
3 0 1
7 1 4
5 1 2
4 0 1
3 0 1
16 0 1
17 1 2
32 3 23
27 3 24
16 0 1
23 1 7
16 0 1
21 1 3
5 0 1
16 1 3
8 1 2
16 0 1
16 0 1
13 0 1
16 0 1
16 0 1
15 0 1
13 1 2
16 0 1
10 1 2
16 0 1
4 0 1
6 1 2
16 0 1
4 0 1
11 0 1
16 0 1
16 0 1
21 1 7
16 0 1
16 0 1
16 0 1
10 1 2
12 0 1
2 0 1
4 0 1
15 1 2
15 1 2
16 0 1
9 1 2
43 2 16
5 1 2
34 2 14
11 1 5
15 0 1
16 1 2
16 1 2
