nodesPerPartition bytesPerNode cliquesPerPartition
279 47 371
117 8 62
103 6 42
230 35 274
228 25 200
151 13 104
88 7 50
78 5 34
30 2 9
183 22 169
45 4 25
130 8 58
123 15 118
56 5 35
24 1 6
149 18 143
86 8 64
179 16 123
214 21 167
140 11 82
20 2 9
19 1 6
85 6 43
7 1 2
85 6 45
99 8 63
159 10 75
115 10 79
6 1 3
190 18 141
61 5 37
2 0 1
112 9 68
6 1 2
86 7 51
33 1 6
21 1 4
20 1 7
59 4 30
140 9 65
13 1 5
55 4 27
173 12 96
66 4 31
184 11 87
5 1 2
15 1 5
86 8 63
14 1 5
35 2 14
59 4 26
18 1 7
62 4 28
74 6 42
44 2 10
42 3 23
83 6 46
96 7 53
83 6 46
156 17 134
26 1 6
75 6 48
57 7 50
59 3 22
25 1 6
16 1 5
79 9 68
130 10 77
138 11 81
37 2 14
8 1 3
26 1 4
99 9 66
143 11 82
102 6 47
7 0 1
140 17 132
47 4 25
22 1 8
42 3 17
54 3 18
53 3 19
68 3 21
91 9 65
6 0 1
41 2 15
58 2 15
141 10 78
32 2 13
10 1 3
28 2 12
23 2 10
78 6 45
91 8 58
133 7 51
66 3 21
6 0 1
43 3 19
96 5 37
47 3 22
33 2 9
66 4 31
26 2 10
59 3 21
90 6 46
33 1 7
90 10 76
95 7 49
55 4 25
117 9 68
38 3 22
86 5 33
31 2 11
35 2 14
65 8 61
159 8 63
108 6 42
104 10 76
98 4 32
76 5 33
21 2 9
9 1 4
11 1 2
58 4 27
96 5 33
92 4 25
82 4 29
32 2 10
7 1 3
88 8 61
85 9 72
5 0 1
134 12 93
59 3 23
41 2 14
19 2 9
28 1 8
53 5 38
54 5 35
61 5 33
35 2 13
45 2 15
50 3 19
4 0 1
56 2 13
11 1 2
79 5 38
7 1 4
4 0 1
6 1 2
45 2 13
51 2 13
120 12 91
78 10 77
56 4 30
73 6 41
64 5 37
62 2 16
37 2 13
71 8 61
47 3 17
63 7 51
17 2 9
8 1 2
13 1 2
15 1 6
10 1 3
37 2 12
92 6 45
100 6 41
13 1 2
7 0 1
48 2 13
128 5 40
21 1 4
9 0 1
25 1 6
12 1 2
6 0 1
38 2 13
26 1 4
67 4 29
8 1 3
48 5 36
33 2 10
8 0 1
72 4 26
22 2 13
57 5 35
29 2 10
58 5 38
49 3 19
45 2 11
50 3 17
10 1 3
14 1 4
28 2 11
24 2 9
51 4 31
29 2 11
3 0 1
45 2 16
24 1 7
13 1 4
14 1 6
6 0 1
71 4 30
46 3 20
31 2 12
64 5 40
12 1 3
36 4 26
5 0 1
30 3 20
30 2 13
30 1 7
40 3 17
21 2 12
23 2 11
40 3 21
64 5 35
12 1 4
38 3 18
31 2 10
27 1 5
56 3 20
11 1 3
78 8 61
70 5 34
20 2 9
71 8 61
61 4 30
9 1 2
17 1 8
15 1 3
30 2 12
15 1 7
14 1 5
23 1 7
6 1 2
124 8 62
46 4 30
23 1 8
54 5 33
80 8 60
48 3 20
34 2 15
5 0 1
61 3 22
45 2 11
48 3 22
74 8 57
68 3 24
7 0 1
17 1 4
17 1 6
39 2 15
35 2 11
65 5 38
55 3 22
50 3 19
73 7 49
19 1 7
46 3 17
26 3 17
99 8 63
6 0 1
8 1 4
13 1 4
16 1 3
40 3 20
6 0 1
36 3 23
11 1 3
9 1 2
17 1 8
4 1 2
74 4 28
48 4 25
11 1 4
56 7 50
36 2 12
8 1 4
69 5 39
47 5 38
15 2 9
11 1 3
47 3 20
12 1 4
23 2 9
12 1 3
34 2 13
22 1 8
9 1 5
10 1 2
6 1 2
35 2 15
9 1 3
20 2 12
14 1 3
28 2 9
40 2 14
49 4 25
12 1 2
107 6 48
50 2 13
46 4 26
47 2 12
64 5 34
51 4 31
5 0 1
36 2 12
14 1 3
6 0 1
38 3 23
74 6 47
35 3 22
48 4 29
26 1 8
4 1 2
53 5 39
70 4 27
49 3 23
54 2 16
13 1 4
5 0 1
46 5 33
51 2 16
6 1 2
18 1 7
54 7 51
12 1 2
9 1 3
82 6 48
47 3 21
24 1 8
24 1 7
45 3 21
53 3 20
21 1 7
9 1 2
46 2 13
32 2 9
6 0 1
6 1 2
49 3 21
50 5 34
7 1 2
56 4 27
5 1 2
28 3 23
21 1 7
9 1 3
6 0 1
49 3 21
41 4 32
7 1 2
6 0 1
27 1 5
49 4 29
11 1 3
9 1 2
4 0 1
15 1 4
5 1 2
57 6 44
34 2 10
4 1 2
15 1 3
42 2 15
9 1 2
8 1 2
32 1 7
36 3 21
9 0 1
4 0 1
55 3 20
16 1 3
21 1 5
34 2 10
32 4 25
20 1 4
14 1 5
43 5 36
31 2 16
24 2 11
36 3 20
3 0 1
18 1 5
26 2 9
21 2 11
36 3 19
6 0 1
53 5 36
31 1 6
61 6 47
57 3 23
25 4 26
14 1 2
48 3 18
4 1 2
6 1 2
49 2 13
5 1 2
9 1 4
8 1 2
37 3 17
31 2 10
12 1 4
7 1 3
6 1 3
17 1 8
16 1 4
35 1 6
26 1 8
8 1 2
66 3 20
9 1 4
37 4 26
5 0 1
13 1 4
58 6 47
43 4 31
48 4 31
9 1 2
20 1 8
17 1 6
33 2 13
32 3 22
14 2 10
80 7 52
28 2 10
5 0 1
7 0 1
31 2 11
34 3 17
23 1 7
45 3 17
21 1 8
9 1 4
12 0 1
29 2 15
13 1 4
16 2 9
35 2 16
61 3 21
3 0 1
38 4 25
35 2 16
42 4 30
34 2 14
44 3 20
8 1 2
24 3 19
15 1 5
55 3 19
28 2 11
25 1 6
3 0 1
12 1 4
18 1 3
19 2 10
10 1 2
50 5 35
40 3 19
28 2 10
17 1 3
23 1 7
40 5 33
45 4 31
10 1 4
56 5 36
25 1 6
9 1 4
37 1 6
73 6 42
6 1 2
58 5 33
45 5 36
3 0 1
39 2 16
17 1 5
27 1 7
13 1 5
11 1 2
13 1 3
19 1 4
6 1 2
24 2 12
16 1 3
22 2 12
35 3 24
34 2 9
40 3 19
8 1 4
6 0 1
13 1 3
14 1 6
32 3 21
19 1 5
12 1 5
32 3 22
28 3 22
23 2 14
25 1 7
24 2 11
27 2 12
15 1 4
18 2 11
5 0 1
7 0 1
9 1 2
48 3 18
12 1 2
19 1 4
28 1 7
30 3 17
74 5 36
31 3 17
25 1 8
26 3 18
7 1 2
7 0 1
4 0 1
23 2 9
42 5 36
30 3 20
29 3 21
46 3 23
4 0 1
19 1 8
12 1 4
3 0 1
7 1 2
42 2 13
15 1 4
52 4 31
69 6 41
4 1 2
63 6 44
4 0 1
25 1 7
33 2 14
14 1 7
9 0 1
27 2 13
30 3 20
56 3 22
18 1 4
59 2 15
9 0 1
27 1 6
47 4 28
46 2 16
11 1 3
31 3 20
37 3 20
15 1 6
15 1 4
28 3 22
28 2 10
12 1 2
9 1 2
5 1 2
54 5 40
26 2 12
17 1 8
64 6 43
19 1 5
17 1 6
7 0 1
32 3 18
24 2 14
26 3 19
51 3 24
37 3 23
11 1 4
43 3 24
3 0 1
59 3 24
28 2 9
6 1 2
21 3 17
55 5 38
36 3 21
12 1 6
11 1 2
12 1 4
37 3 22
33 3 17
26 3 18
23 2 14
11 1 4
4 0 1
3 0 1
36 3 19
35 2 13
36 2 14
19 2 10
19 2 13
14 1 2
30 2 11
7 0 1
28 2 16
37 2 15
30 1 8
46 3 20
3 0 1
7 0 1
9 1 4
2 0 1
9 1 2
12 1 5
16 1 5
29 3 20
18 1 8
32 3 19
32 4 25
22 2 11
15 2 9
28 2 16
28 2 11
5 1 2
28 3 19
4 0 1
48 4 26
5 1 3
6 1 3
5 0 1
18 1 6
8 1 2
8 0 1
9 1 2
6 0 1
9 1 2
12 1 3
35 3 17
51 5 34
11 1 2
6 1 2
8 1 4
32 3 22
40 2 10
36 3 21
39 3 24
36 2 12
9 1 2
10 1 5
47 5 36
18 1 7
7 1 2
50 2 12
15 1 5
38 2 12
34 2 14
17 1 6
14 1 2
6 1 3
34 2 16
18 1 5
40 3 21
42 3 20
5 0 1
14 1 5
17 1 7
23 2 13
34 3 18
7 1 2
35 2 12
58 5 33
8 0 1
22 1 8
3 0 1
44 3 21
27 1 6
4 0 1
29 3 19
12 1 2
33 2 15
23 2 12
12 1 5
4 0 1
21 1 7
29 2 9
19 2 10
40 2 14
20 1 5
17 1 7
16 2 10
10 1 2
13 1 4
15 1 7
17 2 10
42 4 28
24 1 7
7 0 1
37 1 6
10 1 2
3 1 2
9 1 2
10 1 2
34 3 19
41 4 25
14 1 4
23 1 7
12 1 3
4 0 1
9 1 3
7 1 2
23 1 7
6 1 2
7 1 3
11 1 2
8 0 1
15 1 7
3 0 1
23 2 11
4 0 1
16 1 8
32 2 11
6 1 2
7 1 2
45 2 12
3 0 1
11 1 5
49 4 29
16 1 7
18 2 9
27 2 16
3 0 1
24 2 9
16 1 3
21 1 5
14 1 6
32 1 7
9 1 2
48 4 30
9 1 5
10 1 4
23 2 16
10 1 3
3 0 1
7 1 2
49 4 30
53 3 19
25 1 6
8 1 4
7 1 2
29 2 10
31 1 7
22 1 5
8 1 2
35 2 14
27 3 17
27 2 14
10 1 3
11 1 6
18 1 4
43 3 17
4 0 1
4 0 1
12 1 6
8 1 4
40 3 18
6 1 2
14 1 8
13 1 4
54 2 12
3 0 1
44 2 12
18 1 7
36 4 26
29 3 18
7 1 2
8 1 2
40 3 19
35 2 9
35 2 10
17 1 3
6 0 1
44 3 19
27 2 10
3 0 1
14 1 7
29 2 13
8 0 1
8 1 2
19 2 11
20 2 11
6 1 2
17 2 9
21 1 7
16 1 7
36 3 20
9 1 3
21 1 5
46 3 24
36 3 19
3 0 1
31 3 18
22 2 11
14 2 10
34 2 15
30 2 12
23 2 10
10 1 6
9 0 1
8 0 1
8 1 2
12 1 2
4 0 1
38 3 19
4 0 1
14 1 7
27 2 11
28 3 18
8 1 4
20 2 10
12 1 2
32 3 20
17 2 9
10 0 1
