nodesPerPartition bytesPerNode cliquesPerPartition
30 0 1
27 0 1
22 0 1
25 0 1
23 0 1
22 0 1
26 1 2
21 0 1
21 0 1
25 1 4
19 0 1
19 0 1
19 0 1
9 0 1
9 0 1
29 1 3
19 0 1
20 1 3
18 0 1
28 1 3
16 1 2
18 0 1
7 0 1
17 0 1
17 0 1
17 0 1
13 0 1
17 0 1
29 1 4
17 0 1
15 1 2
17 0 1
32 1 8
26 1 8
8 0 1
23 1 5
14 1 2
16 0 1
19 1 2
16 0 1
16 0 1
16 0 1
16 0 1
10 0 1
16 0 1
16 0 1
16 0 1
2 0 1
14 1 2
16 0 1
16 0 1
16 0 1
16 0 1
16 0 1
13 0 1
62 7 56
15 0 1
7 0 1
9 1 3
15 0 1
19 1 2
14 0 1
15 0 1
15 0 1
12 0 1
19 1 2
15 0 1
15 0 1
15 0 1
16 1 2
15 0 1
15 0 1
27 1 7
8 0 1
17 1 4
15 0 1
15 0 1
15 0 1
15 0 1
15 0 1
15 0 1
15 0 1
26 1 3
61 6 43
13 1 2
44 3 17
22 1 5
37 2 13
9 1 2
16 1 2
8 0 1
14 0 1
14 0 1
14 0 1
18 1 6
15 1 3
22 1 4
17 1 3
18 1 5
9 1 2
19 1 4
14 0 1
25 1 4
17 1 2
20 1 2
14 0 1
19 1 2
16 1 2
12 0 1
14 0 1
11 0 1
8 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 1 2
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
14 0 1
42 3 24
19 1 2
13 0 1
12 1 2
13 0 1
24 2 9
15 1 2
10 0 1
15 1 5
8 0 1
13 0 1
13 0 1
13 0 1
25 1 2
14 1 2
13 0 1
10 0 1
13 0 1
16 1 3
13 0 1
19 1 7
12 1 2
11 0 1
13 0 1
20 1 7
13 0 1
13 0 1
13 0 1
13 0 1
13 1 2
16 1 2
11 0 1
13 0 1
10 0 1
10 0 1
13 0 1
13 0 1
22 1 5
19 1 3
25 1 5
13 0 1
12 1 2
10 0 1
19 1 3
16 1 4
16 1 3
13 0 1
13 0 1
13 0 1
13 0 1
16 1 3
13 0 1
13 0 1
13 0 1
13 0 1
7 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
13 0 1
21 2 10
12 0 1
14 1 6
29 2 14
27 2 10
28 2 10
12 0 1
74 6 44
12 1 2
12 1 2
12 0 1
8 0 1
12 0 1
12 0 1
12 0 1
8 0 1
10 0 1
11 0 1
29 2 10
11 1 4
30 1 8
12 0 1
11 0 1
12 0 1
16 1 3
12 0 1
12 0 1
16 1 4
12 0 1
22 1 3
12 0 1
12 0 1
7 0 1
11 1 2
13 1 3
22 1 5
11 0 1
14 1 2
12 0 1
12 1 2
12 0 1
9 0 1
11 0 1
18 1 3
10 0 1
12 0 1
12 0 1
12 0 1
12 0 1
17 1 4
12 0 1
8 0 1
7 0 1
11 0 1
12 0 1
12 0 1
12 0 1
11 0 1
12 0 1
13 1 2
12 0 1
9 0 1
11 0 1
12 0 1
12 0 1
12 0 1
14 1 2
12 0 1
6 0 1
8 0 1
14 1 2
12 0 1
12 0 1
12 0 1
12 0 1
11 0 1
8 1 3
12 0 1
12 0 1
12 0 1
5 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
12 0 1
10 0 1
12 0 1
12 0 1
13 1 2
12 0 1
12 0 1
12 0 1
12 0 1
12 1 2
10 0 1
16 1 3
17 1 3
11 0 1
14 1 4
18 1 2
16 1 6
4 0 1
11 0 1
16 1 2
11 0 1
60 3 24
58 5 39
11 0 1
33 1 7
57 6 42
11 0 1
12 1 3
11 0 1
10 0 1
11 1 2
7 0 1
10 0 1
11 0 1
16 1 5
22 1 7
27 2 12
11 0 1
33 2 16
9 0 1
19 1 5
30 2 10
21 2 12
13 1 2
29 2 10
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
9 0 1
11 1 2
11 0 1
11 0 1
11 0 1
11 0 1
13 1 4
11 0 1
6 0 1
14 1 2
18 1 4
17 1 3
11 0 1
11 0 1
11 0 1
6 0 1
12 1 2
7 0 1
9 0 1
10 0 1
11 0 1
21 1 4
24 1 7
11 0 1
7 0 1
11 0 1
20 1 2
17 1 5
13 1 2
11 0 1
11 0 1
6 0 1
11 0 1
11 0 1
7 0 1
11 0 1
14 1 4
17 1 5
11 0 1
11 0 1
11 0 1
13 1 2
5 0 1
19 1 2
11 0 1
10 0 1
26 1 6
11 0 1
5 0 1
7 0 1
11 0 1
11 0 1
11 0 1
6 0 1
13 1 2
10 0 1
11 0 1
7 0 1
11 0 1
10 0 1
16 1 5
11 0 1
11 0 1
11 0 1
9 0 1
11 0 1
6 0 1
9 0 1
11 0 1
11 0 1
7 0 1
11 0 1
13 1 3
11 0 1
16 1 3
8 0 1
11 0 1
16 1 5
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
14 1 2
11 1 2
11 0 1
9 0 1
14 1 3
11 0 1
19 1 4
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
15 1 3
11 0 1
10 0 1
10 0 1
16 1 4
11 0 1
11 0 1
13 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
10 0 1
11 0 1
11 0 1
9 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
7 0 1
11 0 1
11 0 1
11 0 1
18 1 3
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
17 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
8 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
10 0 1
10 0 1
23 1 7
25 1 7
7 1 2
30 1 8
22 1 4
3 0 1
5 0 1
10 0 1
9 0 1
10 0 1
11 1 2
10 0 1
23 1 3
16 1 4
10 0 1
10 0 1
11 1 2
10 1 2
27 2 10
10 0 1
18 1 4
7 0 1
24 2 15
6 1 2
5 0 1
20 1 4
17 1 4
10 0 1
13 1 3
10 0 1
27 1 7
20 1 3
23 1 3
13 1 3
22 1 5
10 0 1
6 0 1
10 0 1
7 0 1
9 1 2
7 1 2
7 0 1
10 0 1
12 1 4
6 0 1
9 0 1
10 0 1
9 0 1
21 2 9
24 1 7
17 1 6
6 0 1
10 0 1
10 0 1
24 2 15
14 1 2
13 1 3
11 1 2
19 1 5
8 0 1
16 1 4
16 1 3
10 1 3
11 1 2
10 1 3
14 1 4
10 0 1
10 1 2
6 0 1
21 1 8
8 0 1
22 1 6
14 1 3
20 1 5
11 1 2
33 2 12
10 0 1
30 2 16
13 1 4
10 0 1
10 0 1
9 0 1
8 1 2
7 0 1
13 1 3
10 0 1
19 1 5
16 1 7
12 1 2
10 0 1
10 0 1
10 0 1
22 1 8
16 1 2
34 2 10
10 0 1
8 0 1
23 2 9
10 0 1
27 3 20
10 0 1
14 1 2
6 0 1
5 1 2
10 0 1
18 1 2
9 0 1
10 0 1
10 0 1
14 1 2
10 0 1
7 0 1
8 0 1
10 0 1
9 0 1
8 0 1
10 0 1
7 0 1
10 0 1
15 1 7
10 0 1
9 0 1
6 0 1
16 1 3
15 1 2
10 0 1
12 1 3
10 0 1
26 2 9
35 2 13
10 0 1
11 1 2
10 0 1
10 0 1
14 1 4
3 0 1
11 1 3
8 1 2
8 0 1
13 1 4
10 0 1
10 0 1
22 1 5
17 1 5
10 0 1
4 0 1
10 0 1
10 0 1
10 0 1
6 0 1
10 0 1
10 0 1
15 1 5
7 0 1
9 0 1
10 0 1
10 0 1
12 1 4
12 1 2
9 0 1
12 1 4
13 1 2
10 0 1
5 0 1
10 0 1
10 0 1
15 1 4
9 1 4
5 0 1
10 0 1
10 0 1
10 0 1
8 0 1
7 0 1
8 0 1
15 1 4
10 0 1
11 1 2
20 2 9
10 0 1
13 1 3
10 0 1
10 1 2
10 0 1
10 0 1
10 0 1
9 0 1
4 0 1
11 1 3
13 1 2
10 0 1
10 0 1
8 0 1
10 0 1
10 0 1
9 0 1
10 0 1
14 1 3
10 0 1
17 1 4
10 0 1
10 0 1
5 0 1
10 0 1
10 0 1
10 0 1
10 0 1
10 0 1
8 1 2
6 0 1
10 0 1
10 0 1
10 0 1
10 0 1
9 0 1
15 1 4
8 1 2
20 1 5
10 0 1
10 0 1
10 0 1
11 1 2
10 0 1
12 1 2
10 0 1
16 1 2
5 0 1
14 1 2
10 0 1
7 0 1
10 0 1
10 0 1
10 0 1
10 0 1
7 0 1
10 0 1
10 0 1
10 0 1
10 0 1
10 0 1
10 0 1
