nodesPerPartition bytesPerNode cliquesPerPartition
2753 332 2654
2278 284 2271
2282 309 2471
808 233 1857
1175 211 1681
723 208 1660
1513 207 1652
658 187 1496
560 148 1179
787 147 1176
483 145 1160
500 119 946
446 77 610
371 123 983
443 122 976
425 75 596
487 108 857
409 107 849
494 105 836
412 105 833
241 34 268
401 68 538
858 100 797
343 99 789
565 72 574
324 46 365
389 97 771
484 96 768
563 86 684
257 64 508
251 34 267
461 91 721
540 70 553
409 53 417
334 75 593
261 44 345
209 28 222
422 77 609
320 47 376
293 85 677
213 43 338
266 81 645
574 81 643
271 38 300
582 80 633
269 39 305
276 52 413
248 41 325
239 24 185
386 72 572
337 71 567
271 30 238
370 75 598
299 34 270
255 34 272
254 42 332
352 67 532
244 72 572
434 61 488
277 31 244
278 71 564
187 35 273
449 62 490
244 41 321
557 69 546
233 43 339
361 68 544
276 40 314
316 40 316
287 49 390
176 33 257
264 63 501
334 66 525
221 66 523
315 53 423
316 65 517
270 56 441
151 16 128
305 64 511
305 57 449
236 27 214
303 47 369
171 23 184
224 46 362
132 24 186
243 44 347
223 61 488
304 44 349
218 28 221
252 60 477
215 31 248
234 60 480
165 15 118
168 28 224
291 38 303
136 14 110
166 21 168
211 59 466
242 46 364
185 22 176
216 57 456
292 57 455
170 57 452
193 29 228
271 57 450
367 57 449
340 54 430
149 15 115
206 30 235
230 56 446
326 45 353
248 29 227
251 35 273
253 39 306
188 23 179
181 25 198
451 55 433
151 55 433
229 54 432
228 54 432
260 44 345
233 54 429
257 54 427
326 48 382
286 44 351
215 53 424
240 37 294
184 28 223
194 53 418
189 21 165
228 33 260
181 52 414
162 24 192
318 48 380
151 51 407
121 14 110
240 50 395
231 36 286
243 51 401
135 26 205
239 51 401
226 35 277
213 27 214
216 25 198
138 19 146
134 16 122
136 15 120
263 32 250
235 50 395
100 19 151
280 42 336
91 10 76
142 49 392
127 19 146
282 49 387
131 18 141
296 37 294
227 27 213
226 32 255
385 48 383
205 48 383
108 21 163
157 19 151
139 17 133
158 18 137
73 7 54
214 47 375
287 47 373
199 47 373
226 39 307
196 23 182
247 44 350
238 47 369
163 46 366
217 46 365
163 23 177
177 24 192
181 29 227
229 41 321
172 45 360
227 45 360
158 45 360
174 28 220
169 33 259
159 20 156
135 45 357
241 31 248
74 9 70
209 45 356
104 13 102
226 43 340
309 45 354
155 45 353
178 31 244
68 6 42
108 20 154
212 34 269
220 28 220
97 22 173
167 44 348
245 29 231
177 21 161
117 36 284
298 43 342
113 12 93
173 41 323
163 43 339
291 40 320
201 43 337
131 17 130
160 17 129
117 21 167
167 42 335
161 32 254
137 15 113
157 42 331
91 11 88
79 8 60
153 15 116
247 30 236
245 34 272
159 23 179
134 32 252
199 36 285
242 39 308
200 26 208
154 24 187
151 26 201
202 41 323
215 41 322
106 9 67
191 35 278
63 6 48
180 30 238
226 26 205
168 30 233
190 40 317
198 40 316
107 13 97
94 12 95
126 20 153
157 25 197
144 30 233
157 28 223
75 8 60
110 22 169
157 25 195
118 14 108
234 29 231
152 19 147
194 38 304
233 35 279
98 12 95
135 14 108
146 38 301
164 27 212
170 19 152
195 22 172
158 20 155
183 38 300
207 26 201
161 23 182
106 10 77
147 38 297
167 37 296
149 22 170
99 10 76
138 37 294
238 35 278
54 6 44
163 23 184
146 19 146
196 22 175
192 37 292
121 11 88
177 23 179
87 9 68
68 8 62
140 15 114
198 37 289
180 37 289
181 20 160
126 16 125
100 17 129
112 14 108
173 34 265
162 19 150
138 36 287
188 36 286
194 36 285
128 20 160
209 33 257
156 36 282
126 24 190
119 17 129
196 26 204
133 35 280
169 24 188
147 35 280
131 35 279
168 23 182
99 11 88
143 35 277
207 35 276
173 35 276
125 22 170
136 24 192
154 35 274
76 8 61
212 35 273
97 10 75
105 12 92
203 27 215
208 25 197
90 10 76
149 34 272
145 16 125
251 31 242
194 23 181
225 34 271
171 30 233
125 13 103
159 34 270
134 34 270
118 13 100
122 14 111
27 3 18
131 25 199
142 25 198
177 34 268
80 10 76
151 22 174
109 34 267
129 20 156
118 13 103
165 22 171
154 34 266
180 34 266
122 34 266
159 23 181
128 34 266
130 16 123
75 7 56
102 10 77
81 8 64
132 34 265
177 34 265
153 18 143
229 30 234
222 33 261
140 21 166
123 28 223
180 22 176
218 25 193
143 33 261
176 33 259
90 14 111
160 30 240
141 30 238
129 33 259
169 33 259
156 30 237
69 8 62
94 11 86
80 10 80
169 30 237
88 10 80
181 33 257
165 18 143
130 30 235
230 32 254
77 8 58
155 32 253
133 16 122
158 29 232
136 32 251
95 11 88
146 17 133
137 15 119
182 32 250
48 4 30
131 26 201
147 20 159
154 19 145
64 5 40
138 21 165
97 31 248
129 17 129
30 3 17
143 18 143
117 29 228
164 19 146
143 15 117
68 10 79
69 14 108
100 12 94
143 17 130
55 6 43
105 10 78
106 11 81
156 22 170
108 11 86
138 31 245
124 14 107
210 24 188
83 11 87
94 31 245
164 31 244
45 3 22
87 8 64
171 20 160
145 31 243
152 31 243
69 11 83
150 31 242
108 12 96
142 26 208
133 31 241
91 10 73
165 20 153
160 22 172
134 21 168
131 15 114
57 5 39
163 23 178
169 30 238
141 30 237
95 11 87
145 30 237
163 23 180
142 30 237
146 17 134
200 23 182
182 25 194
96 30 236
92 10 75
101 10 80
150 30 235
171 30 235
112 16 121
91 9 71
140 27 211
121 16 128
128 23 184
64 6 47
71 7 56
139 20 153
140 21 162
88 9 68
146 29 232
215 29 231
44 4 32
101 29 231
124 14 106
153 22 170
106 21 163
109 14 106
126 13 103
124 14 106
109 14 105
145 29 228
124 17 129
103 29 228
60 5 39
71 16 121
8 1 3
100 29 226
67 8 63
72 7 49
117 13 97
125 14 112
74 7 52
155 29 225
196 28 224
151 28 224
72 7 55
90 10 77
127 28 223
111 28 223
92 10 78
172 22 169
128 16 126
62 5 40
145 28 222
174 20 159
