nodesPerPartition bytesPerNode cliquesPerPartition
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
12 1 2
11 0 1
11 0 1
12 1 2
11 0 1
12 1 2
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
13 1 2
13 1 3
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
12 1 2
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
13 1 3
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
12 1 2
11 0 1
12 1 2
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
13 1 3
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
13 1 3
11 0 1
12 1 2
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
14 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
12 1 2
12 1 2
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
13 1 2
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
12 1 2
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
13 1 3
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
13 1 2
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
12 1 2
12 1 2
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
13 1 3
11 0 1
11 0 1
11 0 1
12 1 2
12 1 2
11 0 1
12 1 2
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 0 1
11 1 2
11 1 2
11 1 2
11 1 2
13 1 4
11 1 2
10 0 1
11 1 2
11 1 2
11 1 2
11 1 2
10 0 1
10 0 1
11 1 2
11 1 2
12 1 2
11 1 2
13 1 5
12 1 2
10 0 1
11 1 2
11 1 2
11 1 2
10 0 1
11 1 2
11 1 2
9 0 1
10 0 1
11 1 2
13 1 3
11 1 2
12 1 4
13 1 4
11 1 2
11 1 2
12 1 3
12 1 3
13 1 5
11 1 2
11 1 2
13 1 5
12 1 2
12 1 2
12 1 2
10 0 1
11 1 2
12 1 2
11 1 2
9 0 1
12 1 2
11 1 2
13 1 3
11 1 2
11 1 2
10 0 1
11 1 2
11 1 2
12 1 3
11 1 2
13 1 5
11 1 2
11 1 2
11 1 2
11 1 2
9 0 1
11 1 2
9 0 1
11 1 2
11 1 2
10 0 1
11 1 2
11 1 2
11 1 2
11 1 2
12 1 2
11 1 2
11 1 2
13 1 3
10 0 1
11 1 2
11 1 2
11 1 2
12 1 2
11 1 2
11 1 2
13 1 6
14 1 5
11 1 2
12 1 3
12 1 2
10 0 1
11 1 2
12 1 4
12 1 2
11 1 2
13 1 4
12 1 2
11 1 2
12 1 3
10 0 1
11 1 2
10 0 1
12 1 3
11 1 2
12 1 2
12 1 4
9 0 1
11 1 2
12 1 2
11 1 2
11 1 2
12 1 2
12 1 4
14 1 5
10 0 1
11 1 2
13 1 3
11 1 2
12 1 2
9 0 1
13 1 5
11 1 2
11 1 2
10 0 1
10 0 1
11 1 2
15 1 7
12 1 3
11 1 2
10 0 1
9 0 1
11 1 2
11 1 2
11 1 2
10 0 1
9 0 1
11 1 2
10 0 1
11 1 2
11 1 2
11 1 2
11 1 2
16 2 9
11 1 2
12 1 2
9 0 1
10 0 1
11 1 2
12 1 2
13 1 4
10 0 1
11 1 2
10 0 1
12 1 3
11 1 2
12 1 3
11 1 2
14 1 3
12 1 3
11 1 2
12 1 3
13 1 3
11 1 2
11 1 2
13 1 4
11 1 2
11 1 2
15 1 5
10 0 1
11 1 2
11 1 2
11 1 2
13 1 3
13 1 3
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
10 0 1
11 1 2
14 1 4
8 0 1
11 1 2
11 1 2
12 1 2
11 1 2
12 1 3
12 1 2
13 1 4
13 1 4
12 1 4
11 1 2
10 0 1
11 1 2
11 1 2
13 1 6
11 1 2
10 0 1
10 0 1
8 0 1
11 1 2
11 1 2
11 1 2
10 0 1
11 1 2
11 1 2
12 1 3
11 1 2
11 1 2
11 1 2
11 1 2
12 1 3
13 1 4
11 1 2
11 1 2
12 1 2
15 1 4
11 1 2
13 1 4
11 1 2
11 1 2
11 1 2
10 0 1
11 1 2
11 1 2
10 0 1
13 1 5
12 1 4
11 1 2
11 1 2
15 1 6
10 0 1
12 1 2
11 1 2
13 1 3
11 1 2
12 1 3
11 1 2
11 1 2
11 1 2
12 1 2
11 1 2
11 1 2
11 1 2
13 1 5
10 0 1
11 1 2
11 1 2
11 1 2
15 1 7
10 0 1
10 0 1
13 1 3
10 0 1
11 1 2
12 1 3
12 1 3
13 1 4
10 0 1
11 1 2
12 1 3
11 1 2
11 1 2
13 1 4
12 1 3
11 1 2
11 1 2
11 1 2
12 1 4
11 1 2
10 0 1
12 1 2
13 1 6
11 1 2
10 0 1
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
12 1 4
11 1 2
13 1 4
11 1 2
11 1 2
12 1 4
10 0 1
10 0 1
12 1 3
13 1 6
12 1 3
11 1 2
11 1 2
12 1 4
11 1 2
11 1 2
11 1 2
10 0 1
11 1 2
10 0 1
11 1 2
15 1 6
6 0 1
8 0 1
12 1 2
13 1 4
12 1 3
11 1 2
9 0 1
11 1 2
11 1 2
12 1 2
10 0 1
10 0 1
11 1 2
9 0 1
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
10 0 1
10 0 1
11 1 2
12 1 4
11 1 2
11 1 2
11 1 2
12 1 3
13 1 5
11 1 2
13 1 3
9 0 1
9 0 1
12 1 3
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
9 0 1
10 0 1
11 1 2
13 1 3
11 1 2
13 1 6
9 0 1
12 1 3
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
10 0 1
9 0 1
11 1 2
11 1 2
11 1 2
14 1 5
11 1 2
11 1 2
11 1 2
11 1 2
12 1 2
12 1 2
11 1 2
15 1 5
11 1 2
11 1 2
10 0 1
11 1 2
10 0 1
10 0 1
11 1 2
10 0 1
10 0 1
12 1 4
10 0 1
11 1 2
9 0 1
13 1 5
13 1 6
10 0 1
10 0 1
11 1 2
9 0 1
11 1 2
11 1 2
10 0 1
10 0 1
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
12 1 4
14 1 7
11 1 2
14 1 3
11 1 2
11 1 2
11 1 2
10 0 1
11 1 2
12 1 2
10 0 1
12 1 2
11 1 2
11 1 2
9 0 1
11 1 2
11 1 2
10 0 1
12 1 3
11 1 2
10 0 1
12 1 3
13 1 4
10 0 1
10 0 1
13 1 5
11 1 2
10 0 1
11 1 2
10 0 1
11 1 2
11 1 2
11 1 2
11 1 2
10 0 1
10 0 1
11 1 2
11 1 2
10 0 1
12 1 2
11 1 2
12 1 3
11 1 2
12 1 4
11 1 2
11 1 2
10 0 1
11 1 2
11 1 2
13 1 3
9 0 1
10 0 1
11 1 2
12 1 3
11 1 2
12 1 3
11 1 2
12 1 4
10 0 1
10 0 1
12 1 3
13 1 3
10 0 1
13 1 3
11 1 2
11 1 2
13 1 3
10 0 1
12 1 3
11 1 2
12 1 3
10 0 1
11 1 2
10 0 1
11 1 2
10 0 1
13 1 5
10 0 1
11 1 2
11 1 2
11 1 2
11 1 2
12 1 2
13 1 3
13 1 2
9 0 1
9 0 1
11 1 2
11 1 2
10 0 1
10 0 1
9 0 1
10 0 1
13 1 4
11 1 2
14 1 6
11 1 2
11 1 2
10 0 1
12 1 4
11 1 2
11 1 2
12 1 4
12 1 2
11 1 2
12 1 4
12 1 2
12 1 3
11 1 2
11 1 2
13 1 3
10 0 1
12 1 4
11 1 2
15 1 7
11 1 2
12 1 2
12 1 4
11 1 2
11 1 2
12 1 4
9 0 1
10 0 1
10 0 1
12 1 3
11 1 2
10 0 1
11 1 2
11 1 2
13 1 3
11 1 2
10 0 1
11 1 2
10 0 1
11 1 2
11 1 2
11 1 2
11 1 2
12 1 4
13 1 3
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
10 0 1
12 1 3
10 0 1
11 1 2
11 1 2
7 0 1
11 1 2
10 0 1
10 0 1
11 1 2
13 1 3
13 1 4
10 0 1
12 1 2
9 0 1
11 1 2
10 0 1
9 0 1
10 0 1
11 1 2
10 0 1
10 0 1
10 0 1
11 1 2
11 1 2
11 1 2
14 1 5
10 0 1
9 0 1
12 1 4
11 1 2
11 1 2
12 1 2
11 1 2
10 0 1
11 1 2
10 0 1
12 1 3
12 1 4
9 0 1
8 0 1
11 1 2
7 0 1
10 0 1
23 1 6
11 1 2
11 1 2
11 1 2
12 1 3
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
10 0 1
13 1 4
15 1 6
11 1 2
11 1 2
11 1 2
11 1 2
11 1 2
12 1 2
11 1 2
9 0 1
12 1 4
11 1 2
13 1 5
11 1 2
11 1 2
11 1 2
12 1 3
11 1 2
9 0 1
11 1 2
