nodesPerPartition bytesPerNode cliquesPerPartition
202 34 265
175 37 293
209 46 362
209 20 159
119 21 168
115 19 151
344 25 196
143 22 171
86 28 223
184 15 115
270 32 249
105 13 98
122 14 111
265 11 86
100 8 58
130 7 55
127 11 81
82 5 39
119 20 154
104 13 100
98 20 154
81 12 92
86 9 65
40 2 12
95 7 55
245 20 159
129 8 60
82 10 76
82 8 58
65 7 54
76 9 67
220 26 201
106 16 128
130 12 91
200 21 167
108 9 67
80 7 49
66 5 33
83 7 53
76 7 50
114 11 86
113 10 79
123 12 93
52 4 28
176 21 163
84 16 121
67 6 48
149 12 96
88 7 55
90 7 56
156 10 76
221 17 131
5 1 2
128 10 79
127 11 82
78 6 45
12 0 1
121 17 136
121 15 117
60 6 46
50 4 29
39 2 14
7 1 3
35 2 11
76 11 87
81 7 51
197 13 104
98 14 107
210 19 151
108 15 119
104 9 71
3 0 1
128 14 108
2 0 1
144 17 136
58 5 34
128 19 145
182 20 157
43 4 29
7 0 1
166 12 94
134 15 113
181 12 91
27 1 8
4 0 1
160 14 108
158 13 98
19 1 5
74 8 57
88 13 99
173 16 128
161 18 137
228 14 110
209 15 119
66 5 39
41 4 26
132 16 121
21 1 3
97 11 86
128 16 121
145 11 85
55 5 40
124 12 95
158 13 103
99 7 49
48 5 34
129 12 96
42 6 46
120 7 54
20 1 3
63 7 56
269 17 135
23 1 6
27 2 16
156 14 105
117 8 63
166 12 91
176 14 106
21 1 5
183 16 121
156 14 108
93 7 53
5 1 2
135 15 114
65 6 43
165 9 65
114 7 56
57 3 20
102 13 97
37 2 10
113 12 92
122 9 68
49 2 16
52 4 30
120 10 80
121 15 120
205 13 104
37 2 13
112 16 122
56 4 26
200 15 119
51 7 50
73 6 45
56 5 35
97 8 64
49 2 12
104 10 77
18 0 1
106 7 53
100 11 81
117 13 101
38 4 26
128 9 68
78 7 54
55 6 42
146 8 59
57 5 38
153 13 101
202 12 92
44 5 37
28 3 18
58 4 32
79 10 74
130 10 74
192 14 112
39 2 16
51 3 23
99 12 90
55 5 38
12 1 2
59 6 48
67 8 59
118 11 86
184 14 108
120 10 79
165 14 105
60 5 36
136 14 107
84 7 56
84 11 86
64 5 38
161 14 110
101 12 96
97 8 59
79 6 45
74 4 30
136 14 106
113 3 17
8 1 2
138 13 104
104 10 78
114 11 83
65 6 47
101 8 58
53 6 43
71 8 58
23 2 10
33 1 8
42 4 25
8 0 1
102 9 67
72 7 53
77 9 65
50 3 21
42 4 32
26 2 11
22 1 5
98 4 31
72 5 37
117 13 98
91 5 33
94 11 85
63 5 34
63 8 62
125 7 56
74 5 36
77 8 64
76 4 31
68 5 37
14 1 4
122 9 70
107 8 59
116 12 90
81 8 58
94 7 51
24 2 13
123 13 104
39 3 18
109 11 88
86 9 65
145 11 85
68 6 48
88 9 68
140 8 62
90 9 66
43 4 26
85 11 83
16 2 10
80 6 41
90 7 52
94 9 71
94 9 66
53 5 38
51 5 34
113 11 83
148 11 85
27 2 15
141 14 106
114 8 57
59 6 44
143 13 101
83 6 42
55 2 11
84 8 58
26 3 19
64 6 42
36 4 28
19 2 9
94 11 81
116 10 78
144 9 71
37 3 18
32 3 19
48 4 32
117 8 61
147 15 118
72 7 51
4 0 1
138 10 75
36 3 18
56 5 39
100 11 82
127 10 80
79 9 70
6 0 1
2 0 1
88 8 60
51 3 22
72 7 49
100 8 63
71 7 53
141 11 82
36 2 13
79 8 61
95 7 56
6 1 3
89 11 87
69 8 59
113 10 78
89 9 69
89 10 77
125 10 73
21 2 11
96 6 46
62 6 43
31 3 19
65 4 30
115 7 52
88 7 55
93 8 60
39 4 29
99 7 53
73 10 74
161 12 91
48 4 30
131 10 76
41 3 19
89 7 50
110 9 71
73 7 53
78 7 49
125 12 91
20 2 11
102 7 49
101 7 51
46 3 19
32 2 16
110 9 70
25 2 11
61 5 38
108 8 62
67 8 64
57 6 41
134 11 87
33 2 12
48 2 14
88 8 60
76 6 47
72 8 63
81 8 61
24 2 10
100 9 68
94 10 74
18 2 12
126 10 76
66 6 42
123 9 70
9 1 3
104 7 56
68 5 40
23 2 9
33 3 19
79 7 56
38 3 18
81 6 46
98 8 60
52 5 34
103 8 59
120 7 50
39 3 18
61 5 35
107 11 81
56 4 25
82 6 41
90 10 79
80 6 44
38 3 17
94 7 53
68 7 50
101 9 65
75 6 45
58 7 52
92 9 70
137 8 63
110 9 69
64 7 54
65 5 37
30 3 18
25 3 20
101 8 64
57 4 31
53 3 24
56 4 25
91 7 55
58 6 45
94 8 64
95 10 73
83 9 70
29 3 19
103 8 57
47 3 22
119 8 57
106 10 77
99 9 68
58 4 25
84 8 62
48 3 22
75 9 72
76 7 56
14 2 10
71 8 60
94 8 57
34 3 21
42 4 26
16 1 7
44 4 32
72 7 55
99 7 50
53 4 29
74 7 54
56 7 51
144 9 70
23 2 10
90 8 63
63 6 45
72 7 49
46 6 41
118 8 62
27 2 16
26 2 15
61 5 35
64 5 35
56 5 34
72 7 50
51 5 38
52 7 55
61 4 27
76 5 39
34 3 18
119 12 93
61 5 38
99 9 69
26 2 15
61 4 27
111 7 49
61 5 37
111 10 79
35 2 15
52 4 31
92 9 69
55 4 28
111 7 50
24 2 10
61 7 52
78 8 58
51 4 31
53 4 29
111 8 63
21 2 10
95 7 55
92 9 68
13 1 2
75 4 31
75 8 58
36 2 14
44 5 36
111 7 56
7 1 2
88 7 53
89 8 61
28 2 15
24 2 13
9 1 2
39 4 25
67 5 37
74 6 44
36 3 21
53 4 27
73 8 60
34 3 21
52 4 27
31 3 20
