nodesPerPartition bytesPerNode cliquesPerPartition
114 0 1
102 0 1
65 0 1
15 0 1
63 0 1
3 0 1
16 0 1
2 0 1
2 0 1
36 1 2
3 0 1
3 0 1
10 0 1
32 1 2
6 0 1
7 0 1
4 0 1
5 0 1
4 0 1
4 0 1
52 0 1
3 0 1
11 0 1
14 1 2
49 0 1
48 0 1
48 0 1
5 1 2
22 1 2
44 0 1
44 0 1
43 0 1
34 1 3
10 1 2
9 1 2
36 0 1
45 1 7
19 0 1
9 1 2
40 0 1
39 0 1
14 1 2
35 0 1
39 0 1
8 1 2
9 0 1
9 1 2
36 0 1
37 0 1
5 0 1
5 1 2
36 0 1
36 0 1
22 1 3
31 1 4
3 1 2
4 0 1
34 0 1
38 1 6
22 1 3
17 1 4
6 1 2
4 0 1
4 0 1
4 0 1
4 0 1
3 0 1
3 0 1
23 0 1
33 0 1
33 0 1
33 0 1
13 1 3
16 0 1
2 0 1
2 0 1
32 0 1
33 1 3
32 0 1
32 0 1
21 1 5
5 1 2
5 1 2
9 1 3
9 1 3
31 0 1
31 0 1
31 0 1
31 0 1
31 0 1
5 1 2
3 0 1
10 1 3
8 0 1
30 0 1
5 0 1
12 1 3
9 1 3
30 0 1
8 0 1
4 0 1
4 0 1
30 0 1
30 0 1
29 0 1
30 0 1
27 1 6
18 1 5
28 1 2
29 0 1
3 0 1
3 0 1
14 0 1
20 0 1
29 0 1
27 0 1
29 0 1
23 1 6
25 1 2
13 1 3
3 0 1
4 0 1
7 0 1
28 0 1
8 1 3
11 1 2
8 1 3
9 0 1
28 0 1
28 0 1
28 0 1
28 1 2
3 0 1
27 0 1
6 0 1
27 0 1
27 0 1
7 0 1
27 0 1
26 0 1
26 0 1
18 1 6
10 1 3
26 0 1
3 0 1
5 0 1
3 0 1
3 0 1
24 1 4
12 1 3
3 0 1
5 0 1
3 0 1
26 0 1
9 0 1
26 0 1
26 0 1
22 0 1
25 0 1
17 1 7
10 0 1
28 1 2
24 0 1
25 0 1
13 1 3
12 1 4
25 0 1
2 0 1
2 0 1
2 0 1
6 0 1
7 0 1
25 0 1
21 0 1
25 0 1
25 0 1
25 0 1
6 0 1
24 0 1
8 0 1
6 0 1
24 0 1
24 0 1
24 0 1
24 0 1
9 0 1
31 1 3
11 1 2
14 1 2
24 0 1
6 0 1
6 0 1
3 0 1
4 0 1
3 0 1
23 0 1
36 2 12
16 1 8
4 0 1
17 0 1
29 1 4
18 1 5
10 1 3
12 1 2
16 0 1
4 0 1
6 1 2
6 0 1
17 1 3
30 1 2
4 0 1
2 0 1
3 0 1
3 0 1
23 1 2
23 0 1
23 0 1
23 0 1
23 0 1
24 1 2
23 0 1
23 0 1
10 0 1
2 0 1
2 0 1
2 0 1
2 0 1
14 1 3
22 0 1
10 1 2
22 0 1
6 0 1
22 0 1
22 0 1
10 1 3
5 0 1
8 0 1
22 0 1
13 1 2
7 1 3
12 1 3
5 0 1
22 0 1
5 0 1
5 0 1
32 1 2
4 0 1
26 1 2
22 0 1
22 0 1
30 1 2
21 0 1
22 0 1
6 0 1
22 0 1
26 1 8
17 1 6
12 1 4
6 1 3
3 0 1
6 0 1
4 0 1
4 0 1
4 0 1
41 1 4
21 0 1
9 1 5
21 0 1
21 0 1
21 0 1
21 0 1
11 1 2
21 0 1
26 1 6
14 1 4
4 0 1
5 0 1
21 0 1
10 0 1
21 0 1
10 0 1
21 0 1
3 0 1
5 0 1
3 0 1
3 0 1
21 0 1
21 0 1
21 0 1
21 0 1
13 0 1
20 0 1
20 0 1
14 0 1
13 1 8
12 1 2
20 0 1
20 0 1
19 0 1
2 0 1
14 0 1
5 0 1
5 0 1
20 0 1
20 0 1
9 1 2
13 1 3
17 1 2
15 1 4
20 0 1
20 0 1
5 1 2
4 0 1
10 1 2
20 0 1
13 0 1
20 0 1
20 0 1
20 0 1
20 0 1
3 0 1
6 0 1
20 0 1
19 1 3
20 0 1
20 0 1
20 0 1
7 0 1
7 1 2
15 1 5
23 1 2
32 1 3
18 1 2
5 1 2
2 0 1
6 1 2
2 0 1
19 0 1
29 1 7
2 0 1
2 0 1
2 0 1
2 0 1
19 0 1
19 0 1
8 1 2
8 1 2
6 1 2
7 1 2
4 0 1
9 1 3
8 0 1
6 0 1
19 0 1
19 0 1
13 1 2
5 0 1
19 0 1
6 0 1
18 0 1
19 0 1
19 0 1
5 0 1
16 0 1
5 0 1
12 0 1
3 0 1
19 0 1
19 0 1
19 0 1
19 0 1
15 0 1
15 0 1
18 0 1
16 0 1
12 1 3
9 1 3
8 0 1
18 0 1
9 1 2
17 1 2
15 0 1
20 2 9
18 0 1
5 1 2
18 0 1
18 0 1
7 0 1
9 1 2
9 0 1
18 0 1
11 1 5
7 0 1
18 0 1
14 0 1
18 0 1
3 0 1
3 0 1
5 0 1
8 1 3
18 0 1
18 0 1
18 0 1
18 0 1
18 0 1
18 0 1
16 0 1
6 1 2
6 1 2
5 1 2
8 1 3
6 0 1
18 0 1
4 0 1
5 0 1
18 0 1
3 0 1
18 0 1
21 1 3
15 1 3
10 1 2
2 0 1
18 0 1
4 0 1
5 0 1
11 1 2
11 0 1
4 0 1
4 0 1
18 0 1
18 0 1
5 0 1
18 0 1
3 0 1
6 0 1
18 0 1
3 0 1
18 0 1
14 0 1
18 0 1
18 0 1
18 0 1
24 1 2
18 0 1
15 1 2
14 0 1
26 1 6
5 0 1
17 0 1
14 0 1
4 0 1
4 0 1
9 1 2
6 1 2
14 0 1
17 0 1
17 0 1
23 2 10
17 0 1
16 1 5
10 1 2
17 0 1
14 1 3
6 0 1
17 0 1
17 0 1
11 0 1
11 0 1
17 0 1
5 0 1
4 0 1
17 0 1
40 2 11
17 0 1
17 0 1
17 0 1
11 0 1
12 1 3
17 0 1
17 0 1
17 0 1
5 0 1
5 0 1
17 0 1
5 0 1
17 0 1
17 0 1
17 0 1
17 0 1
6 0 1
6 0 1
11 1 3
17 1 4
17 1 6
17 1 2
17 0 1
17 0 1
5 0 1
7 1 2
17 0 1
3 0 1
17 0 1
3 0 1
3 0 1
17 0 1
16 0 1
13 0 1
2 0 1
17 0 1
17 0 1
4 0 1
4 0 1
15 0 1
12 1 2
17 0 1
12 0 1
17 0 1
9 1 2
17 0 1
22 1 6
10 0 1
5 0 1
5 0 1
3 0 1
17 0 1
3 0 1
15 0 1
14 0 1
23 1 2
14 0 1
14 0 1
8 1 2
17 0 1
15 0 1
16 0 1
16 0 1
37 2 14
16 0 1
15 0 1
18 1 3
16 0 1
6 0 1
10 1 6
16 0 1
17 1 6
8 1 2
6 1 2
16 0 1
16 0 1
16 0 1
16 0 1
4 0 1
4 0 1
4 0 1
4 0 1
4 1 2
14 0 1
9 0 1
16 0 1
16 0 1
16 0 1
3 0 1
3 0 1
2 0 1
9 1 6
43 1 8
21 1 8
25 1 7
22 1 7
16 0 1
11 0 1
36 1 7
